# table produced by calculations.DamageProfiler
# using mapped file EASI241_rmdup.bam
# Sample ID: EASI241_rmdup.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	295
+	31	377
+	32	397
+	33	400
+	34	460
+	35	400
+	36	455
+	37	418
+	38	432
+	39	446
+	40	396
+	41	359
+	42	338
+	43	311
+	44	337
+	45	318
+	46	277
+	47	250
+	48	228
+	49	219
+	50	229
+	51	196
+	52	170
+	53	170
+	54	168
+	55	157
+	56	121
+	57	117
+	58	130
+	59	95
+	60	107
+	61	89
+	62	81
+	63	88
+	64	55
+	65	69
+	66	59
+	67	48
+	68	48
+	69	46
+	70	44
+	71	35
+	72	39
+	73	39
+	74	24
+	75	26
+	76	29
+	77	27
+	78	23
+	79	21
+	80	15
+	81	22
+	82	19
+	83	13
+	84	13
+	85	12
+	86	16
+	87	15
+	88	12
+	89	11
+	90	7
+	91	10
+	92	10
+	93	8
+	94	3
+	95	4
+	96	2
+	97	5
+	98	5
+	99	6
+	100	10
+	101	4
+	102	1
+	104	2
+	105	2
+	106	1
+	107	2
+	108	2
+	109	3
+	111	2
+	112	5
+	115	1
+	116	1
+	118	2
+	119	1
+	121	1
+	122	1
+	124	1
+	126	1
+	129	2
+	133	1
-	30	332
-	31	328
-	32	367
-	33	434
-	34	418
-	35	453
-	36	402
-	37	447
-	38	419
-	39	476
-	40	396
-	41	398
-	42	394
-	43	306
-	44	318
-	45	316
-	46	298
-	47	271
-	48	232
-	49	211
-	50	187
-	51	208
-	52	180
-	53	171
-	54	162
-	55	151
-	56	138
-	57	141
-	58	109
-	59	104
-	60	99
-	61	90
-	62	79
-	63	79
-	64	62
-	65	52
-	66	77
-	67	64
-	68	41
-	69	46
-	70	46
-	71	39
-	72	38
-	73	31
-	74	29
-	75	31
-	76	23
-	77	25
-	78	21
-	79	12
-	80	24
-	81	22
-	82	11
-	83	13
-	84	16
-	85	18
-	86	20
-	87	14
-	88	10
-	89	5
-	90	7
-	91	6
-	92	3
-	93	4
-	94	3
-	95	4
-	96	3
-	97	3
-	98	1
-	99	1
-	100	5
-	101	1
-	102	2
-	103	2
-	104	3
-	105	3
-	106	2
-	107	2
-	108	2
-	110	2
-	111	1
-	113	2
-	114	3
-	115	2
-	116	2
-	117	1
-	118	1
-	119	1
-	120	1
-	121	1
-	122	1
-	125	1
-	127	2
-	135	1
-	136	1
-	137	1
