#Coverage (X)	Coverage
1.0	38.27275135547621
2.0	9.51039052513795
3.0	1.9397190821792236
4.0	0.4926539656610771
5.0	0.20034895851867418
6.0	0.12364360591975299
7.0	0.07399411775006115
8.0	0.042137108275994706
9.0	0.0271688325479289
10.0	0.017227638102113474
11.0	0.010393066920613592
12.0	0.006213246528631089
13.0	0.004292788510696255
14.0	0.003389043561071503
15.0	0.0026547507895031686
16.0	0.0011296811870238344
17.0	5.648405935119172E-4
18.0	1.1296811869954126E-4
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
