#Coverage	Number of genomic locations
0.0	1619109.0
1.0	123857.0
2.0	11207.0
3.0	2688.0
4.0	1400.0
5.0	872.0
6.0	796.0
7.0	577.0
8.0	522.0
9.0	419.0
10.0	384.0
11.0	339.0
12.0	417.0
13.0	393.0
14.0	348.0
15.0	330.0
16.0	292.0
17.0	319.0
18.0	290.0
19.0	321.0
20.0	312.0
21.0	280.0
22.0	323.0
23.0	264.0
24.0	207.0
25.0	205.0
26.0	217.0
27.0	172.0
28.0	142.0
29.0	112.0
30.0	111.0
31.0	93.0
32.0	118.0
33.0	95.0
34.0	78.0
35.0	107.0
36.0	97.0
37.0	101.0
38.0	123.0
39.0	95.0
40.0	98.0
41.0	86.0
42.0	87.0
43.0	107.0
44.0	83.0
45.0	88.0
46.0	83.0
47.0	82.0
48.0	79.0
49.0	73.0
50.0	58.0
51.0	62.0
52.0	43.0
53.0	56.0
54.0	53.0
55.0	62.0
56.0	52.0
57.0	61.0
58.0	63.0
59.0	59.0
60.0	71.0
61.0	58.0
62.0	73.0
63.0	69.0
64.0	69.0
65.0	82.0
66.0	56.0
67.0	51.0
68.0	40.0
69.0	43.0
70.0	48.0
71.0	36.0
72.0	32.0
73.0	26.0
74.0	25.0
75.0	20.0
76.0	17.0
77.0	16.0
78.0	8.0
79.0	4.0
