#Coverage (X)	Coverage
1.0	50.19506769896934
2.0	17.253281865058455
3.0	4.6779533114062275
4.0	1.318394429316129
5.0	0.5957938580363589
6.0	0.41233363326369954
7.0	0.33743577056402785
8.0	0.28507504754547597
9.0	0.24898173362007014
10.0	0.21819792127367066
11.0	0.19018182783547388
12.0	0.16493345330549403
13.0	0.1449945803545205
14.0	0.1290095915581304
15.0	0.11426725206746369
16.0	0.10178427495084463
17.0	0.08924481377488291
18.0	0.0782869062607574
19.0	0.07032265389223369
20.0	0.06326214647333472
21.0	0.054676569451956425
22.0	0.04778551421111388
23.0	0.040047198080003454
24.0	0.0315745891773247
25.0	0.026716960073116525
26.0	0.02191581502826523
27.0	0.017848962754982267
28.0	0.012765397413375013
29.0	0.00937635385230351
30.0	0.006326214647344841
31.0	0.0037279479171843377
32.0	0.0010731971276811691
33.0	7.342927715683345E-4
34.0	2.824202967559586E-4
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
