GCA_000160815.2	SAMN00189531
GCA_000270085.1	SAMD00060966
GCA_000404205.1	SAMN05771124
GCA_001602155.1	SAMN04566196
GCA_001723625.1	SAMN05437124
GCA_003226675.1	SAMN09365478
GCA_003722215.1	SAMN10373677
GCA_003725505.1	SAMN10395786
GCA_006384935.1	SAMN03770844
GCA_006384955.1	SAMN03770845
GCA_007725185.1	SAMN12347781
GCA_022132165.1	SAMN23594043
GCA_022132215.1	SAMN23594042
GCA_023650665.1	SAMN28202791
GCA_029072005.1	SAMN32081991
GCA_029072025.1	SAMN32081989
GCA_029072035.1	SAMN32081987
GCA_029072045.1	SAMN32081988
GCA_029072085.1	SAMN32081986
GCA_029072095.1	SAMN32081990
GCA_029072125.1	SAMN32081983
GCA_029072135.1	SAMN32081985
GCA_029072145.1	SAMN32081981
GCA_029072155.1	SAMN32081984
GCA_029072205.1	SAMN32081982
GCA_029072225.1	SAMN32081977
GCA_029072235.1	SAMN32081976
GCA_029072265.1	SAMN32081978
GCA_029072285.1	SAMN32081980
GCA_029072295.1	SAMN32081979
GCA_029072325.1	SAMN32081974
GCA_029072345.1	SAMN32081975
GCA_029072365.1	SAMN32081973
GCA_029072385.1	SAMN32081971
GCA_029072405.1	SAMN32081972
GCA_029072425.1	SAMN32081970
GCA_029072445.1	SAMN32081966
GCA_029072465.1	SAMN32081969
GCA_029072485.1	SAMN32081968
GCA_029072505.1	SAMN32081967
GCA_029072525.1	SAMN32081965
GCA_029072545.1	SAMN32081961
GCA_029072555.1	SAMN32081964
GCA_029072565.1	SAMN32081963
GCA_029072605.1	SAMN32081960
GCA_029072615.1	SAMN32081962
GCA_029072645.1	SAMN32081957
GCA_029072665.1	SAMN32081956
GCA_029072675.1	SAMN32081955
GCA_029072705.1	SAMN32081958
GCA_029072715.1	SAMN32081959
GCA_029072745.1	SAMN32081954
GCA_029072765.1	SAMN32081953
GCA_029072785.1	SAMN32081952
GCA_029072805.1	SAMN32081949
GCA_029072815.1	SAMN32081951
GCA_029072845.1	SAMN32081950
GCA_029072855.1	SAMN32081948
GCA_029072885.1	SAMN32081947
GCA_029072905.1	SAMN32081945
GCA_029072925.1	SAMN32081946
GCA_029072945.1	SAMN32081944
GCA_029072965.1	SAMN32081943
GCA_029072975.1	SAMN32081942
GCA_029073005.1	SAMN32081941
GCA_029073025.1	SAMN32081940
GCA_029073045.1	SAMN32081939
GCA_029073055.1	SAMN32081938
GCA_029073065.1	SAMN32081936
GCA_029073105.1	SAMN32081935
GCA_029073125.1	SAMN32081934
GCA_029073145.1	SAMN32081931
GCA_029073165.1	SAMN32081932
GCA_029073175.1	SAMN32081933
GCA_029073205.1	SAMN32081929
GCA_029073215.1	SAMN32081930
GCA_029073235.1	SAMN32081928
GCA_029073265.1	SAMN32081925
GCA_029073275.1	SAMN32081926
GCA_029073305.1	SAMN32081924
GCA_029073325.1	SAMN32081923
GCA_029073345.1	SAMN32081919
GCA_029073355.1	SAMN32081920
GCA_029073365.1	SAMN32081922
GCA_029073405.1	SAMN32081921
GCA_029073425.1	SAMN32081918
GCA_029073445.1	SAMN32081915
GCA_029073455.1	SAMN32081916
GCA_029073475.1	SAMN32081917
GCA_029073505.1	SAMN32081913
GCA_029073525.1	SAMN32081914
GCA_029073545.1	SAMN32081911
GCA_029073565.1	SAMN32081912
GCA_029073585.1	SAMN32081910
GCA_029073595.1	SAMN32081909
GCA_029073625.1	SAMN32081908
GCA_029073645.1	SAMN32081906
GCA_029073665.1	SAMN32081904
GCA_029073685.1	SAMN32081907
GCA_029073695.1	SAMN32081903
GCA_029073715.1	SAMN32081905
GCA_029073745.1	SAMN32081902
GCA_029073765.1	SAMN32081901
GCA_029073785.1	SAMN32081899
GCA_029073805.1	SAMN32081898
GCA_029073815.1	SAMN32081900
GCA_029073845.1	SAMN32081897
GCA_029073865.1	SAMN32081896
GCA_029073885.1	SAMN32081895
GCA_029073895.1	SAMN32081893
GCA_029073915.1	SAMN32081892
GCA_029073945.1	SAMN32081891
GCA_029073955.1	SAMN32081894
GCA_029073985.1	SAMN32081889
GCA_029073995.1	SAMN32081890
GCA_029074005.1	SAMN32081888
GCA_029074035.1	SAMN32081887
GCA_029074065.1	SAMN32081885
GCA_029074085.1	SAMN32081884
GCA_029074095.1	SAMN32081886
GCA_029074105.1	SAMN32081883
GCA_029074145.1	SAMN32081882
GCA_029074155.1	SAMN32081880
GCA_029074185.1	SAMN32081879
GCA_029074205.1	SAMN32081878
GCA_029074215.1	SAMN32081881
GCA_029074245.1	SAMN32081876
GCA_029074265.1	SAMN32081877
GCA_029074285.1	SAMN32081875
GCA_029074305.1	SAMN32081874
GCA_029074315.1	SAMN32081873
GCA_029074345.1	SAMN32081872
GCA_029074355.1	SAMN32081870
GCA_029074385.1	SAMN32081868
GCA_029074405.1	SAMN32081866
GCA_029074425.1	SAMN32081867
GCA_029074445.1	SAMN32081864
GCA_029074465.1	SAMN32081865
GCA_029074475.1	SAMN32081863
GCA_029074505.1	SAMN32081862
GCA_029074515.1	SAMN32081861
GCA_029074545.1	SAMN32081859
GCA_029074555.1	SAMN32081860
GCA_029074585.1	SAMN32081858
GCA_029074605.1	SAMN32081857
GCA_029074615.1	SAMN32081855
GCA_029074625.1	SAMN32081856
GCA_029074635.1	SAMN32081854
GCA_029074685.1	SAMN32081853
GCA_029074705.1	SAMN32081849
GCA_029074715.1	SAMN32081851
GCA_029074745.1	SAMN32081850
GCA_029074765.1	SAMN32081852
GCA_029074785.1	SAMN32081848
GCA_029074805.1	SAMN32081847
GCA_029074825.1	SAMN32081846
GCA_029074835.1	SAMN32081844
GCA_029074865.1	SAMN32081845
GCA_029074885.1	SAMN32081843
GCA_029074905.1	SAMN32081840
GCA_029074915.1	SAMN32081841
GCA_029074945.1	SAMN32081839
GCA_029074955.1	SAMN32081838
GCA_029074965.1	SAMN32081836
GCA_029075005.1	SAMN32081835
GCA_029075015.1	SAMN32081834
GCA_029075045.1	SAMN32081833
GCA_029075055.1	SAMN32081832
GCA_029077385.1	SAMN32081837
GCA_029077405.1	SAMN32081831
GCA_029077425.1	SAMN32081830
GCA_029077445.1	SAMN32081829
GCA_029077455.1	SAMN32081828
GCA_029077485.1	SAMN32081827
GCA_029077505.1	SAMN32081826
GCA_029077525.1	SAMN32081825
GCA_029077545.1	SAMN32081824
GCA_029077565.1	SAMN32081823
GCA_029077585.1	SAMN32081822
GCA_029077605.1	SAMN32081821
GCA_029077625.1	SAMN32081820
GCA_029077635.1	SAMN32081819
GCA_029077665.1	SAMN32081818
GCA_029077685.1	SAMN32081817
GCA_029077705.1	SAMN32081816
GCA_029077715.1	SAMN32081815
GCA_029077745.1	SAMN32081814
GCA_029102525.1	SAMN32081927
GCA_029102535.1	SAMN32081869
GCA_029102545.1	SAMN32081871
GCA_029102585.1	SAMN32081842
GCA_029102595.1	SAMN32081937
GCA_031215075.1	SAMN20447757
GCA_033115815.1	SAMN20475132
GCA_033115835.1	SAMN20498933
GCA_033115845.1	SAMN20498728
GCA_033115855.1	SAMN20475061
GCA_033115885.1	SAMN20499086
GCA_035066585.1	SAMN22819427
GCA_036620455.1	SAMN38990803
GCA_900448055.1	SAMEA37367668
GCA_900637845.1	SAMEA48399418
GCA_947037165.1	SAMEA111417875
GCA_947037175.1	SAMEA111417874
GCA_947037435.1	SAMEA111417872
GCA_947037575.1	SAMEA111417879
GCA_947037675.1	SAMEA111417885
GCA_947038085.1	SAMEA111417877
GCA_947038205.1	SAMEA111417883
GCA_947038325.1	SAMEA111417881
GCA_947038705.1	SAMEA111417884
GCA_947038715.1	SAMEA111417882
GCA_947038735.1	SAMEA111417887
GCA_947038755.1	SAMEA111417886
GCA_947039675.1	SAMEA111417870
