# table produced by calculations.DamageProfiler
# using mapped file Pool-3-010-AZP-195_S14_rmdup.bam
# Sample ID: Pool-3-010-AZP-195_S14_rmdup.bam
pos	3pG>A
1	0.06279069767441861
2	0.037037037037037035
3	0.024509803921568627
4	0.0330188679245283
5	0.03722084367245657
6	0.042600896860986545
7	0.028423772609819122
8	0.02320185614849188
9	0.03712871287128713
10	0.028169014084507043
11	0.026845637583892617
12	0.022172949002217297
13	0.024943310657596373
14	0.022113022113022112
15	0.022675736961451247
