# table produced by calculations.DamageProfiler
# using mapped file Pool-3-038-AZP-223_S42_rmdup.bam
# Sample ID: Pool-3-038-AZP-223_S42_rmdup.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	31
+	31	28
+	32	27
+	33	34
+	34	28
+	35	39
+	36	36
+	37	31
+	38	31
+	39	26
+	40	28
+	41	31
+	42	47
+	43	32
+	44	30
+	45	32
+	46	36
+	47	33
+	48	32
+	49	30
+	50	22
+	51	33
+	52	21
+	53	19
+	54	24
+	55	28
+	56	29
+	57	16
+	58	25
+	59	47
+	60	1253
+	61	25
+	62	25
+	63	25
+	64	21
+	65	33
+	66	25
+	67	22
+	68	22
+	69	21
+	70	30
+	71	23
+	72	24
+	73	22
+	74	24
+	75	20
+	76	19
+	77	26
+	78	19
+	79	17
+	80	17
+	81	15
+	82	9
+	83	16
+	84	13
+	85	7
+	86	14
+	87	14
+	88	12
+	89	15
+	90	9
+	91	14
+	92	7
+	93	11
+	94	9
+	95	6
+	96	8
+	97	7
+	98	5
+	99	11
+	100	10
+	101	9
+	102	6
+	103	12
+	104	6
+	105	10
+	106	7
+	107	19
+	108	8
+	109	5
-	30	34
-	31	19
-	32	25
-	33	23
-	34	35
-	35	31
-	36	35
-	37	29
-	38	18
-	39	27
-	40	21
-	41	29
-	42	51
-	43	33
-	44	27
-	45	26
-	46	33
-	47	24
-	48	25
-	49	28
-	50	32
-	51	27
-	52	28
-	53	29
-	54	18
-	55	17
-	56	25
-	57	21
-	58	27
-	59	36
-	60	1218
-	61	12
-	62	16
-	63	13
-	64	18
-	65	14
-	66	19
-	67	21
-	68	18
-	69	16
-	70	14
-	71	22
-	72	12
-	73	15
-	74	23
-	75	9
-	76	18
-	77	23
-	78	14
-	79	10
-	80	6
-	81	18
-	82	14
-	83	10
-	84	11
-	85	10
-	86	8
-	87	5
-	88	17
-	89	8
-	90	12
-	91	12
-	92	7
-	93	8
-	94	10
-	95	11
-	96	7
-	97	8
-	98	7
-	99	13
-	100	12
-	101	5
-	102	10
-	103	9
-	104	8
-	105	10
-	106	10
-	107	9
-	108	2
-	109	6
