#Coverage	Number of genomic locations
0.0	1679547.0
1.0	93161.0
2.0	5699.0
3.0	2091.0
4.0	1185.0
5.0	1197.0
6.0	907.0
7.0	875.0
8.0	553.0
9.0	468.0
10.0	497.0
11.0	460.0
12.0	424.0
13.0	472.0
14.0	448.0
15.0	413.0
16.0	354.0
17.0	318.0
18.0	254.0
19.0	302.0
20.0	290.0
21.0	197.0
22.0	217.0
23.0	197.0
24.0	189.0
25.0	148.0
26.0	153.0
27.0	146.0
28.0	125.0
29.0	120.0
30.0	129.0
31.0	81.0
32.0	62.0
33.0	64.0
34.0	76.0
35.0	67.0
36.0	60.0
37.0	69.0
38.0	76.0
39.0	74.0
40.0	76.0
41.0	91.0
42.0	78.0
43.0	68.0
44.0	85.0
45.0	115.0
46.0	114.0
47.0	85.0
48.0	77.0
49.0	70.0
50.0	69.0
51.0	53.0
52.0	51.0
53.0	37.0
54.0	44.0
55.0	48.0
56.0	37.0
57.0	26.0
58.0	25.0
59.0	23.0
60.0	23.0
61.0	12.0
62.0	15.0
63.0	7.0
64.0	8.0
65.0	11.0
66.0	5.0
67.0	3.0
