Lab_ID	Seq_ID	Full_Seq_ID	Heatmap_ID
AZP-007	EASI236	EASI236	AZP-007
AZP-012	EASI241	EASI241	AZP-012
AZP-027	EASI256	EASI256	AZP-027
AZP-044	EASI273	EASI273	AZP-044
AZP-046	EASI275	EASI275	AZP-046
AZP-056	EASI285	EASI285	AZP-056
AZP-073	EASI300	EASI300	AZP-073
AZP-086	AZP-086	Pool.1.007.AZP.86_S7	AZP-086 
AZP-094	AZP-094	Pool.1.015.AZP.94_S15	AZP-094 
AZP-110	AZP-110	Pool.1.031.AZP.110_S31	AZP-110 
AZP-114	AZP-114	Pool.1.035.AZP.114_S35	AZP-114 
AZP-115	AZP-115	Pool.1.036.AZP.115_S36	AZP-115 
AZP-116	AZP-116	Pool.1.037.AZP.116_S37	AZP-116 
AZP-118	AZP-118	Pool.1.039.AZP.118_S39	AZP-118 
AZP-148	AZP-148	Pool.2.016.AZP.148_S16	AZP-148 
AZP-152	AZP-152	Pool.2.020.AZP.152_S20	AZP-152 
AZP-156	AZP-156	Pool.2.024.AZP.156_S24	AZP-156 
AZP-183	AZP-183	Pool.2.051.AZP.183_S51	AZP-183 
AZP-187	AZP-187	Pool.3.002.AZP.187_S6	AZP-187 
AZP-190	AZP-190	Pool.3.005.AZP.190_S9	AZP-190 
AZP-191	AZP-191	Pool.3.006.AZP.191_S10	AZP-191 
AZP-195	AZP-195	Pool.3.010.AZP.195_S14	AZP-195 
AZP-201	AZP-201	Pool.3.016.AZP.201_S20	AZP-201 
AZP-209	AZP-209	Pool.3.024.AZP.209_S28	AZP-209 
AZP-212	AZP-212	Pool.3.027.AZP.212_S31	AZP-212 
AZP-222	AZP-222	Pool.3.037.AZP.222_S41	AZP-222 
AZP-223	AZP-223	Pool.3.038.AZP.223_S42	AZP-223 
AZP-224	AZP-224	Pool.3.039.AZP.224_S43	AZP-224 
AZP-225	AZP-225	Pool.3.040.AZP.225_S44	AZP-225 
AZP-226	AZP-226	Pool.3.041.AZP.226_S45	AZP-226 
AZP-230	AZP-230	Pool.3.045.AZP.230_S49	AZP-230 
AZP-233	AZP-233	Pool.3.048.AZP.233_S52	AZP-233 
AZP-237	AZP-237	Pool.3.052.AZP.237_S56	AZP-237 
AZP-244	AZP-244	Pool.4.007.AZP.244_S8	AZP-244 
AZP-245	AZP-245	Pool.4.008.AZP.245_S9	AZP-245 
AZP-247	AZP-247	Pool.4.010.AZP.247_S11	AZP-247 
AZP-249	AZP-249	Pool.4.012.AZP.249_S13	AZP-249 
AZP-261	AZP-261	Pool.4.024.AZP.261_S25	AZP-261 
AZP-264	AZP-264	Pool.4.027.AZP.264_S28	AZP-264 
AZP-266	AZP-266	Pool.4.029.AZP.266_S30	AZP-266 
AZP-268	AZP-268	Pool.4.031.AZP.268_S32	AZP-268 
AZP-277	AZP-277	Pool.4.040.AZP.277_S41	AZP-277 
AZP-279	AZP-279	Pool.4.042.AZP.279_S43	AZP-279 
AZP-283	AZP-283	Pool.4.046.AZP.283_S47	AZP-283 
EBK-10	AZP_E10	Pool.4.062.AZP.E10_S63	AZP_E10 
AZP-289	AZP-289	Pool.4.000.UDI_54_S1	AZP-289
