Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	2	1	1	1	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	1	0	0	0	On	Off
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	1	0	0	0	On	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	45	13	13	13	Off	Off
Bordetella_bronchiseptica	30	12	16	16	Off	Off
Bordetella_genomosp._13	51	11	11	11	Off	Off
Bordetella_pertussis	16	1	10	10	Off	Off
Bordetella_pertussis_137	2	1	4	4	Off	Off
Bordetella_pertussis_18323	1	0	0	0	On	Off
Bordetella_petrii	38	18	19	19	Off	Off
Bordetella_trematum	27	9	13	13	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_melitensis_bv._2_str._63/9	1	1	1	1	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Brucella_suis_019	1	0	0	0	On	Off
Burkholderia_cepacia	32	8	10	10	Off	Off
Burkholderia_cepacia_ATCC_25416	16	4	13	13	Off	Off
Burkholderia_cepacia_JBK9	16	1	1	1	Off	Off
Burkholderia_gladioli	77	25	115	115	Off	Off
Burkholderia_gladioli_BSR3	15	7	14	14	Off	Off
Burkholderia_gladioli_pv._gladioli	65	19	54	54	Off	Off
Burkholderia_mallei	3	0	0	0	On	Off
Burkholderia_multivorans	91	23	41	41	Off	Off
Burkholderia_multivorans_ATCC_17616	20	9	30	30	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	12	3	13	13	Off	Off
Burkholderia_pseudomallei	29	11	26	26	Off	Off
Burkholderia_pseudomallei_1106b	2	1	1	1	Off	Off
Burkholderia_pseudomallei_1710a	2	0	0	0	On	Off
Burkholderia_pseudomallei_1710b	1	1	1	1	Off	Off
Burkholderia_pseudomallei_7894	1	1	3	3	Off	Off
Burkholderia_pseudomallei_MSHR2543	2	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR435	1	1	2	2	Off	Off
