Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	0
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	2
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	1
Blastomyces_dermatitidis	0
Bordetella_bronchialis	14
Bordetella_bronchiseptica	10
Bordetella_genomosp._13	7
Bordetella_pertussis	5
Bordetella_pertussis_137	1
Bordetella_petrii	10
Bordetella_trematum	10
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	0
Burkholderia_cepacia	11
Burkholderia_cepacia_ATCC_25416	3
Burkholderia_cepacia_JBK9	1
Burkholderia_gladioli	31
Burkholderia_gladioli_BSR3	6
Burkholderia_gladioli_pv._gladioli	19
Burkholderia_mallei	0
Burkholderia_multivorans	19
Burkholderia_multivorans_ATCC_17616	5
Burkholderia_multivorans_ATCC_BAA-247	4
Burkholderia_pseudomallei	7
Burkholderia_pseudomallei_7894	2
Burkholderia_pseudomallei_B03	2
Burkholderia_pseudomallei_MSHR1153	1
Burkholderia_pseudomallei_MSHR435	1
Burkholderia_pseudomallei_NCTC_13179	6
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	1
Campylobacter_showae	1
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	4
Corynebacterium_amycolatum	1
Corynebacterium_bovis	9
Corynebacterium_crudilactis	1
Corynebacterium_diphtheriae	8
Corynebacterium_jeikeium	4
Corynebacterium_jeikeium_K411	4
Corynebacterium_kroppenstedtii	2
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	15
Corynebacterium_matruchotii	3
Corynebacterium_minutissimum	8
Corynebacterium_pseudotuberculosis	1
Corynebacterium_renale	1
Corynebacterium_segmentosum	0
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	31
Corynebacterium_stationis	1
Corynebacterium_striatum	8
Corynebacterium_urealyticum	6
Corynebacterium_ureicelerivorans	5
Corynebacterium_xerosis	10
Cowpox_virus	0
Coxiella_burnetii	5
Coxiella_burnetii_str._Schperling	1
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	0
Enterococcus_cecorum	0
Enterococcus_durans	4
Enterococcus_faecalis	3
Enterococcus_faecalis_R712	1
Enterococcus_faecium	1
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	1
Enterococcus_hirae	0
Enterococcus_hirae_ATCC_9790	1
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	2
Erysipelothrix_rhusiopathiae_str._Fujisawa	10
Erythroparvovirus	0
Escherichia_coli	17
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	1
Fusobacterium_nucleatum	0
Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8	2
Goatpox_virus	0
Haemophilus_influenzae	0
Helicobacter_cinaedi	2
Helicobacter_pylori	2
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	2
Klebsiella_aerogenes_EA1509E	1
Klebsiella_michiganensis	3
Klebsiella_michiganensis_HKOPL1	1
Klebsiella_oxytoca	1
Klebsiella_pneumoniae	7
Klebsiella_pneumoniae_subsp._pneumoniae	4
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0
Legionella_anisa	0
Legionella_lansingensis	0
Legionella_pneumophila	2
Legionella_pneumophila_subsp._fraseri	1
