Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	NaN	NaN	NaN	NaN
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	NaN	NaN	NaN	NaN
Bordetella_bronchiseptica	66.16666666666667	62.97573888192056	58.5	23.189796606841266
Bordetella_genomosp._13	44.0	43.99999999999999	44.0	0.0
Bordetella_pertussis	NaN	NaN	NaN	NaN
Bordetella_petrii	NaN	NaN	NaN	NaN
Bordetella_trematum	38.0	37.99999999999999	38.0	0.0
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	48.0	48.00000000000001	48.0	0.0
Burkholderia_cepacia_ATCC_25416	35.0	34.99999999999999	35.0	0.0
Burkholderia_cepacia_JBK9	NaN	NaN	NaN	NaN
Burkholderia_gladioli	56.888888888888886	56.075168334461246	52.0	10.588253449512393
Burkholderia_gladioli_BSR3	39.0	38.53569773599538	39.0	8.48528137423857
Burkholderia_gladioli_pv._gladioli	52.0	51.18574093265307	53.5	9.715966241192895
Burkholderia_mallei	NaN	NaN	NaN	NaN
Burkholderia_multivorans	NaN	NaN	NaN	NaN
Burkholderia_multivorans_ATCC_17616	46.0	46.0	46.0	0.0
Burkholderia_multivorans_ATCC_BAA-247	36.0	36.0	36.0	0.0
Burkholderia_pseudomallei	45.5	45.16635916254486	45.5	7.7781745930520225
Burkholderia_pseudomallei_B03	41.0	41.00000000000001	41.0	0.0
Burkholderia_pseudomallei_MSHR1153	44.0	43.99999999999999	44.0	0.0
Burkholderia_pseudomallei_NCTC_13179	NaN	NaN	NaN	NaN
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	NaN	NaN	NaN	NaN
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	38.5	38.236108588610335	38.5	6.363961030678928
Corynebacterium_bovis	NaN	NaN	NaN	NaN
Corynebacterium_crudilactis	NaN	NaN	NaN	NaN
Corynebacterium_diphtheriae	38.0	37.99999999999999	38.0	0.0
Corynebacterium_diphtheriae_HC03	NaN	NaN	NaN	NaN
Corynebacterium_jeikeium	42.0	41.988093550434044	42.0	1.4142135623730951
Corynebacterium_jeikeium_K411	42.0	42.00000000000001	42.0	0.0
Corynebacterium_kroppenstedtii	NaN	NaN	NaN	NaN
Corynebacterium_kroppenstedtii_DSM_44385	NaN	NaN	NaN	NaN
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	48.0	46.907064610463934	44.5	12.30176139149729
Corynebacterium_matruchotii	NaN	NaN	NaN	NaN
Corynebacterium_minutissimum	40.5	40.42276586281546	40.5	3.5355339059327378
Corynebacterium_pseudotuberculosis	NaN	NaN	NaN	NaN
Corynebacterium_pseudotuberculosis_Cp162	NaN	NaN	NaN	NaN
Corynebacterium_renale	NaN	NaN	NaN	NaN
Corynebacterium_segmentosum	NaN	NaN	NaN	NaN
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	45.333333333333336	44.8845826355598	46.0	6.5551275326798155
Corynebacterium_stationis	57.0	57.00000000000001	57.0	0.0
Corynebacterium_striatum	45.0	44.99999999999999	45.0	0.0
Corynebacterium_urealyticum	41.333333333333336	41.206179360323105	39.0	4.041451884327381
Corynebacterium_ureicelerivorans	52.333333333333336	51.86305187640758	50.0	8.736894948054106
Corynebacterium_xerosis	44.0	43.99999999999999	44.0	0.0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	NaN	NaN	NaN	NaN
Coxiella_burnetii_str._Schperling	NaN	NaN	NaN	NaN
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_casseliflavus_EC20	NaN	NaN	NaN	NaN
Enterococcus_cecorum	NaN	NaN	NaN	NaN
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	NaN	NaN	NaN	NaN
Enterococcus_faecium	0	0	0	0
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	NaN	NaN	NaN	NaN
Enterococcus_hirae	0	0	0	0
Enterococcus_hirae_ATCC_9790	NaN	NaN	NaN	NaN
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	NaN	NaN	NaN	NaN
Erythroparvovirus	0	0	0	0
Escherichia_coli	52.2	50.43032835407288	42.0	16.05303709582707
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Fusobacterium	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0
Fusobacterium_nucleatum_subsp._nucleatum_ChDC_F316	NaN	NaN	NaN	NaN
