Node	EASI304.unmapped.rma6	EASI306.unmapped.rma6	EASI307.unmapped.rma6	EASI308.unmapped.rma6	EASI230.unmapped.rma6	EASI231.unmapped.rma6	EASI232.unmapped.rma6	EASI233.unmapped.rma6	EASI234.unmapped.rma6	EASI235.unmapped.rma6	EASI236.unmapped.rma6	EASI237.unmapped.rma6	EASI238.unmapped.rma6	EASI239.unmapped.rma6	EASI240.unmapped.rma6	EASI241.unmapped.rma6	EASI242.unmapped.rma6	EASI243.unmapped.rma6	EASI244.unmapped.rma6	EASI245.unmapped.rma6	EASI246.unmapped.rma6	EASI247.unmapped.rma6	EASI248.unmapped.rma6	EASI249.unmapped.rma6	EASI250.unmapped.rma6	EASI251.unmapped.rma6	EASI252.unmapped.rma6	EASI253.unmapped.rma6	EASI254.unmapped.rma6	EASI255.unmapped.rma6	EASI256.unmapped.rma6	EASI257.unmapped.rma6	EASI258.unmapped.rma6	EASI259.unmapped.rma6	EASI260.unmapped.rma6	EASI261.unmapped.rma6	EASI262.unmapped.rma6	EASI263.unmapped.rma6	EASI264.unmapped.rma6	EASI265.unmapped.rma6	EASI266.unmapped.rma6	EASI267.unmapped.rma6	EASI268.unmapped.rma6	EASI269.unmapped.rma6	EASI270.unmapped.rma6	EASI271.unmapped.rma6	EASI272.unmapped.rma6	EASI273.unmapped.rma6	EASI274.unmapped.rma6	EASI275.unmapped.rma6	EASI276.unmapped.rma6	EASI277.unmapped.rma6	EASI278.unmapped.rma6	EASI279.unmapped.rma6	EASI280.unmapped.rma6	EASI281.unmapped.rma6	EASI282.unmapped.rma6	EASI283.unmapped.rma6	EASI284.unmapped.rma6	EASI285.unmapped.rma6	EASI286.unmapped.rma6	EASI287.unmapped.rma6	EASI288.unmapped.rma6	EASI290.unmapped.rma6	EASI291.unmapped.rma6	EASI292.unmapped.rma6	EASI293.unmapped.rma6	EASI294.unmapped.rma6	EASI295.unmapped.rma6	EASI296.unmapped.rma6	EASI297.unmapped.rma6	EASI298.unmapped.rma6	EASI299.unmapped.rma6	EASI300.unmapped.rma6	EASI301.unmapped.rma6	EASI302.unmapped.rma6
Actinobacillus_equuli	0	0	0	1	0	1	1	0	0	46	22	3	55	0	0	60	0	1	2	2	0	0	2	1	0	0	0	1	0	1	2	0	2	1	1	0	0	0	0	0	1	0	1	0	1	0	3	35	0	0	0	0	0	2	0	0	1	185	0	102	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	1	1	5	0	1	0	160	30	15	108	1	0	122	0	0	4	2	0	0	3	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	97	2	1	0	1	0	0	1	1	0	478	0	228	0	0	2	0	1	0	0	0	0	1	0	1	1	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	1	2	1	1	0	0	1	1	2	4	0	1	1	0	3	14	0	0	1	1	3	0	2	0	0	0	1	2	2	0	4	0	1	5	1	0	1	2	1	1	0	0	2	2	3	0	2	0	0	0	3	1	1	0	1	1	0	11	2	12	2	0	2	0	1	1	2	1	1	1	1	1	0	0	1	1
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bartonella_henselae	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	5	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
