Taxon	0	1	2	3	4	5	6	7	8	9	10	higher
Actinobacillus_equuli	0	7	6	7	13	10	5	3	3	4	1	1
Actinobacillus_pleuropneumoniae	1	5	9	16	16	29	15	15	6	4	5	1
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	0	0	2	3	4	6	4	3	1	1	0	0
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0	2	5	5	4	2	2	1	1	2	0	1
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1	3	1	4	5	9	6	1	1	1	1	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	1	2	4	1	3	1	2	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	1	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	1	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0	3	3	3	1	2	2	0	1	0	1	0
Bordetella_bronchiseptica	0	2	1	2	2	4	1	1	0	0	0	0
Bordetella_genomosp._13	3	2	6	2	2	4	1	1	0	1	0	0
Bordetella_pertussis	0	0	0	0	2	3	0	2	0	1	0	1
Bordetella_pertussis_18323	0	0	0	0	0	0	0	0	1	0	0	0
Bordetella_petrii	0	7	5	3	1	3	1	1	1	0	0	0
Bordetella_trematum	1	3	4	4	1	2	1	2	1	1	0	0
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_crocidurae_DOU	0	0	0	1	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	1	0	0	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis_bv._2	0	0	1	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	0	0	8	3	4	6	4	1	0	0	1	0
Burkholderia_cepacia_ATCC_25416	2	0	2	0	1	1	1	1	0	0	0	0
Burkholderia_cepacia_JBK9	0	3	0	0	1	1	1	0	0	0	0	1
Burkholderia_gladioli	2	2	12	4	9	7	6	4	1	0	1	0
Burkholderia_gladioli_BSR3	0	2	2	0	3	1	2	2	1	1	0	0
Burkholderia_gladioli_pv._gladioli	1	5	4	7	5	5	4	3	1	0	0	0
Burkholderia_mallei	0	1	0	0	0	0	0	0	0	0	0	0
Burkholderia_multivorans	1	1	7	6	4	3	3	1	3	1	2	0
Burkholderia_multivorans_ATCC_17616	0	2	0	1	1	4	0	1	0	0	0	0
Burkholderia_multivorans_ATCC_BAA-247	0	0	0	0	1	1	1	0	0	0	0	0
Burkholderia_pseudomallei	1	2	4	4	3	6	3	1	1	0	1	0
Burkholderia_pseudomallei_1106b	0	0	0	0	0	1	0	0	1	0	0	0
Burkholderia_pseudomallei_MSHR1153	0	0	0	0	1	0	0	0	0	0	0	0
Burkholderia_pseudomallei_MSHR2543	0	0	0	1	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_NCTC_13179	0	0	0	0	0	0	1	1	0	0	0	0
Campylobacter_coli	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_coli_76339	0	0	0	2	0	0	0	0	0	0	0	0
Campylobacter_coli_RM1875	0	0	0	0	0	1	0	0	0	0	0	0
Campylobacter_coli_RM4661	0	0	0	0	1	0	0	0	0	0	0	0
Campylobacter_fetus	0	0	0	0	1	0	0	1	0	0	0	0
Campylobacter_fetus_subsp._testudinum	0	0	0	0	1	0	0	0	0	0	0	0
Campylobacter_fetus_subsp._testudinum_Sp3	0	0	0	0	1	0	1	0	0	0	0	0
Campylobacter_fetus_subsp._venerealis	0	0	0	0	0	0	1	0	0	0	0	0
Campylobacter_gracilis	0	0	0	1	0	0	0	0	0	0	0	0
Campylobacter_showae	0	0	1	0	1	0	0	0	0	0	0	0
Canine_morbillivirus	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae_AR39	0	1	0	0	0	0	0	0	0	0	0	0
Chlamydia_psittaci	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_suis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis_6276	0	0	1	0	0	0	0	0	0	0	0	0
Corynebacterium_ammoniagenes	2	2	0	0	1	0	0	0	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0	1	1	0	0	0	0	0	0
Corynebacterium_bovis	2	0	0	1	0	1	1	0	0	1	1	0
Corynebacterium_crudilactis	0	1	1	1	0	0	0	0	0	0	0	0
Corynebacterium_diphtheriae	0	0	0	0	0	0	1	0	0	0	0	0
Corynebacterium_jeikeium	0	1	0	0	0	1	0	0	0	0	0	0
Corynebacterium_jeikeium_K411	1	1	2	2	1	1	0	0	0	0	0	0
Corynebacterium_kroppenstedtii	1	0	1	2	3	1	2	1	0	0	0	0
Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_maris_DSM_45190	1	1	2	5	0	5	2	1	0	0	0	0
Corynebacterium_matruchotii	1	1	0	0	1	0	0	0	0	0	0	0
Corynebacterium_minutissimum	2	0	2	0	2	2	0	3	0	1	0	1
Corynebacterium_pseudotuberculosis	0	0	0	0	0	0	0	1	0	0	0	0
Corynebacterium_pseudotuberculosis_Cp162	0	0	0	1	0	0	0	0	0	0	0	0
Corynebacterium_renale	0	0	1	0	0	0	0	0	0	0	0	0
Corynebacterium_segmentosum	0	0	2	0	1	0	0	0	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	1	7	5	4	3	1	2	2	0	0	1	1
Corynebacterium_stationis	1	1	1	0	0	1	0	0	0	0	0	0
Corynebacterium_striatum	1	1	2	0	2	1	1	0	1	0	0	0
Corynebacterium_urealyticum	2	1	3	0	0	0	0	1	0	0	0	0
Corynebacterium_ureicelerivorans	1	0	0	2	0	2	0	2	0	0	0	0
Corynebacterium_xerosis	3	1	2	1	2	2	4	1	1	0	0	0
Cowpox_virus	0	0	0	0	0	0	0	0	0	0	0	0
Coxiella_burnetii	3	1	1	0	0	0	0	0	0	0	0	0
Coxiella_burnetii_Dugway_5J108-111	0	0	1	2	2	0	4	0	0	0	0	0
Cryptosporidium	0	0	0	0	0	0	0	0	0	0	0	0
Cryptosporidium_parvum	0	0	0	0	0	0	0	0	0	0	0	0
Deltaretrovirus	0	0	0	0	0	0	0	0	0	0	0	0
Ehrlichia_canis	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_avium	3	1	1	0	1	0	3	0	1	0	0	0
Enterococcus_casseliflavus	0	2	0	0	2	0	1	0	1	0	0	0
Enterococcus_cecorum	1	0	1	0	2	1	1	1	0	0	1	0
Enterococcus_durans	0	1	2	0	0	1	0	1	0	0	0	0
Enterococcus_faecalis	0	1	1	0	2	0	3	2	1	1	0	0
Enterococcus_faecalis_62	0	0	0	0	0	1	0	0	1	0	0	0
Enterococcus_faecalis_ATCC_29212	0	0	1	0	1	0	1	0	0	0	0	0
Enterococcus_faecalis_D32	0	0	0	0	0	0	1	0	0	0	0	0
Enterococcus_faecalis_R712	0	0	0	0	1	0	0	0	0	0	0	0
Enterococcus_faecium	1	0	0	4	2	2	4	0	0	1	0	0
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	0	0	0	0	1	0	0	0	0	0	0	0
Enterococcus_hirae	0	0	1	1	2	2	2	0	0	0	0	0
Enterococcus_hirae_ATCC_9790	0	0	0	0	0	0	1	0	0	1	0	0
Enterococcus_mundtii	0	2	2	3	1	1	0	4	0	1	0	0
Enterovirus_B	0	0	0	0	0	0	0	0	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0	0	0	0	0	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelothrix_rhusiopathiae	2238	1129	453	207	92	48	36	33	22	13	6	5
Erysipelothrix_rhusiopathiae_str._Fujisawa	6249	2349	813	265	128	48	39	39	27	26	8	9
Erythroparvovirus	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli	2	5	4	6	5	6	2	5	2	0	1	0
Escherichia_coli_K-12	0	0	0	1	0	0	0	0	0	0	0	0
Escherichia_coli_O111	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O139:H28_str._E24377A	0	0	0	0	0	1	0	0	0	0	0	0
Escherichia_coli_O145:H28_str._RM12581	0	0	0	1	0	0	0	0	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O26	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O7:K1_str._CE10	0	0	0	0	0	0	1	0	0	0	0	0
Escherichia_coli_TW11681	0	0	0	0	1	0	0	0	0	0	0	0
Escherichia_coli_UMN026	0	0	0	0	0	1	0	0	0	0	0	0
Francisella_tularensis	0	1	0	0	0	1	1	0	1	0	0	0
Francisella_tularensis_subsp._novicida	0	0	0	0	0	0	0	1	0	0	0	0
Francisella_tularensis_subsp._novicida_PA10-7858	0	0	0	0	0	0	0	0	1	0	0	0
Fusobacterium	7	9	9	5	7	3	1	4	1	2	2	1
Fusobacterium_canifelinum	1	0	0	1	1	0	0	0	0	0	1	0
Fusobacterium_gastrosuis	1	3	8	4	4	4	0	3	1	1	0	0
Fusobacterium_gonidiaformans_ATCC_25563	0	0	0	0	1	0	0	0	0	0	0	0
Fusobacterium_hwasookii	0	0	2	0	0	0	1	0	0	0	0	0
