Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	1
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	1
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	1
Bartonella_quintana	0
Bartonella_quintana_RM-11	2
Blastomyces_dermatitidis	0
Bordetella_bronchialis	36
Bordetella_bronchiseptica	20
Bordetella_genomosp._13	34
Bordetella_pertussis	11
Bordetella_pertussis_137	1
Bordetella_pertussis_18323	2
Bordetella_petrii	26
Bordetella_trematum	22
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	1
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	0
Burkholderia_cepacia	35
Burkholderia_cepacia_ATCC_25416	8
Burkholderia_cepacia_JBK9	7
Burkholderia_gladioli	55
Burkholderia_gladioli_BSR3	15
Burkholderia_gladioli_pv._gladioli	55
Burkholderia_mallei	1
Burkholderia_multivorans	49
Burkholderia_multivorans_ATCC_17616	13
Burkholderia_multivorans_ATCC_BAA-247	12
Burkholderia_pseudomallei	30
Burkholderia_pseudomallei_1106b	4
Burkholderia_pseudomallei_7894	1
Burkholderia_pseudomallei_B03	2
Burkholderia_pseudomallei_MSHR2543	3
Burkholderia_pseudomallei_MSHR346	1
Burkholderia_pseudomallei_MSHR435	2
Burkholderia_pseudomallei_NCTC_13179	1
Campylobacter_coli	1
Campylobacter_coli_RM1875	1
Campylobacter_fetus	0
Campylobacter_gracilis	0
Campylobacter_showae	0
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_caviae_GPIC	1
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pecorum_P787	2
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	4
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	0
Corynebacterium_amycolatum	1
Corynebacterium_bovis	11
Corynebacterium_crudilactis	1
Corynebacterium_diphtheriae	0
Corynebacterium_jeikeium	3
Corynebacterium_jeikeium_K411	4
Corynebacterium_kroppenstedtii	2
Corynebacterium_kroppenstedtii_DSM_44385	2
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	5
Corynebacterium_matruchotii	1
Corynebacterium_minutissimum	7
Corynebacterium_pseudotuberculosis	0
Corynebacterium_pseudotuberculosis_Cp162	1
Corynebacterium_renale	3
Corynebacterium_segmentosum	2
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	14
Corynebacterium_stationis	0
Corynebacterium_striatum	5
Corynebacterium_urealyticum	2
Corynebacterium_ureicelerivorans	9
Corynebacterium_xerosis	13
Cowpox_virus	0
Coxiella_burnetii	1
Coxiella_burnetii_str._Schperling	2
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Ehrlichia_canis_str._Jake	1
Enterococcus_avium	2
Enterococcus_casseliflavus	1
Enterococcus_casseliflavus_EC20	1
Enterococcus_cecorum	1
Enterococcus_durans	1
Enterococcus_faecalis	0
Enterococcus_faecium	0
Enterococcus_hirae	1
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	1
Erysipelothrix_rhusiopathiae_str._Fujisawa	1
Erythroparvovirus	0
Escherichia_coli	13
Escherichia_coli_O111	0
Escherichia_coli_O139	1
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	3
Fusobacterium_gastrosuis	2
Fusobacterium_gonidiaformans_ATCC_25563	1
Fusobacterium_necrophorum_subsp._funduliforme	2
Fusobacterium_nucleatum	2
Fusobacterium_nucleatum_subsp._animalis	1
Fusobacterium_pseudoperiodonticum	1
Fusobacterium_ulcerans	2
Goatpox_virus	0
Haemophilus_influenzae	1
Haemophilus_influenzae_R2846	1
Helicobacter_cinaedi	0
Helicobacter_pylori	5
Helicobacter_pylori_Aklavik86	1
Helicobacter_pylori_India7	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	6
Klebsiella_aerogenes_EA1509E	3
Klebsiella_michiganensis	2
Klebsiella_oxytoca	6
Klebsiella_pneumoniae	5
Klebsiella_pneumoniae_subsp._pneumoniae	3
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0
Legionella_anisa	1
Legionella_lansingensis	1
Legionella_pneumophila	11
Legionella_pneumophila_subsp._fraseri	1
Legionella_pneumophila_subsp._pascullei	1
Legionella_pneumophila_subsp._pneumophila	3
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	1
Leptospira_alexanderi	0
Leptospira_alstonii	0
Leptospira_biflexa	0
Leptospira_biflexa_serovar_Patoc	2
Leptospira_borgpetersenii	1
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	2
Leptospira_interrogans_serovar_Manilae	1
Leptospira_kirschneri	0
Leptospira_kmetyi	1
Leptospira_licerasiae	0
Leptospira_noguchii	4
Leptospira_santarosai	1
Leptospira_weilii	4
Leptospira_wolffii	0
Listeria_monocytogenes	1
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	0
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	0
Morbillivirus	0
Mycobacterium_avium	24
Mycobacterium_avium_subsp._avium	4
Mycobacterium_avium_subsp._hominissuis	10
Mycobacterium_avium_subsp._paratuberculosis	4
Mycobacterium_canettii	1
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	5
Mycobacterium_intracellulare	8
Mycobacterium_intracellulare_subsp._yongonense	6
Mycobacterium_kansasii	15
Mycobacterium_leprae	0
Mycobacterium_leprae_Kyoto-2	5
Mycobacterium_marseillense	6
Mycobacterium_sp._JS623	30
Mycobacterium_sp._YC-RL4	12
Mycobacterium_tuberculosis	5
Mycobacterium_tuberculosis_KZN_1435	5
Mycobacterium_tuberculosis_complex	2
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	17
Mycobacteroides_abscessus_subsp._abscessus	2
Mycobacteroides_abscessus_subsp._massiliense	2
Mycobacteroides_abscessus_subsp._massiliense_CCUG_48898_=_JCM_15300	1
Mycoplasma_haemocanis	0
Mycoplasma_haemofelis	0
Mycoplasma_mycoides	0
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	0
Neisseria_elongata	0
Neisseria_elongata_subsp._glycolytica	2
Neisseria_gonorrhoeae	0
Neisseria_meningitidis	0
Neisseria_mucosa	2
Neisseria_sicca	0
Neisseria_subflava	1
Neisseria_weaveri	1
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	0
Pasteurella_multocida	0
Pasteurella_multocida_subsp._multocida	4
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	2
Porphyromonas_gingivalis_AJW4	1
Porphyromonas_gingivalis_W83	0
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_conorii	0
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	1
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	6
Salmonella_enterica_subsp._enterica	2
Salmonella_enterica_subsp._enterica_serovar_Agona_str._460004_2-1	1
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	1
Salmonella_enterica_subsp._enterica_serovar_Derby	1
Salmonella_enterica_subsp._enterica_serovar_Dublin	1
Salmonella_enterica_subsp._enterica_serovar_Kentucky	1
Salmonella_enterica_subsp._enterica_serovar_Macclesfield_str._S-1643	1
Salmonella_enterica_subsp._enterica_serovar_Saintpaul_str._SARA26	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Salmonella_enterica_subsp._houtenae_str._ATCC_BAA-1581	1
Salmonella_enterica_subsp._salamae_serovar_55:k:z39_str._1315K	1
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	0
Staphylococcus_cohnii	1
Staphylococcus_epidermidis	0
Staphylococcus_epidermidis_ATCC_12228	1
Staphylococcus_equorum	0
Staphylococcus_hominis	2
Staphylococcus_nepalensis	0
Staphylococcus_saprophyticus	0
Staphylococcus_simulans	0
Staphylococcus_succinus	0
Streptococcus_agalactiae	1
Streptococcus_anginosus	1
Streptococcus_canis	0
Streptococcus_cristatus	0
Streptococcus_dysgalactiae	0
Streptococcus_dysgalactiae_subsp._dysgalactiae	1
Streptococcus_dysgalactiae_subsp._equisimilis	2
Streptococcus_equi	0
Streptococcus_gallolyticus	1
Streptococcus_gordonii	1
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	0
