Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	NA	0	0	0	0	0
Actinobacillus_pleuropneumoniae	NA	0	0	0	0	0
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	NA	1	1	1	1	4832009
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	Bartonella_bacilliformis	1	1	1	1	1443410
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	1	33	33	35	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	0.872	13	15	16	5081368
Bordetella_genomosp._13	Bordetella_genomosp._13	0.955	38	40	40	5380929
Bordetella_pertussis	Bordetella_pertussis	1	6	6	6	4102575
Bordetella_pertussis_137	Bordetella_pertussis	0.049	0	2	2	4111050
Bordetella_pertussis_18323	Bordetella_pertussis_18323	1	3	3	4	4043846
Bordetella_petrii	Bordetella_petrii	1	20	20	20	5287950
Bordetella_trematum	Bordetella_trematum	1	22	22	22	4480141
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_melitensis	Brucella_melitensis	1	1	1	1	2126158
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_ovis_ATCC_25840	Brucella_ovis_ATCC_25840	1	1	1	1	1164220
Brucella_suis	Brucella_suis	1	1	1	1	1187980
Burkholderia_cepacia	Burkholderia_cepacia	1	8	8	8	3688624
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	1	5	5	5	3396958
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	1	6	6	6	1290392
Burkholderia_gladioli	Burkholderia_gladioli	0.941	16	18	18	4272194
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	1	9	9	10	3700833
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	1	19	19	19	4668350
Burkholderia_mallei	Burkholderia_mallei_NCTC_10229	1	1	1	1	3458208
Burkholderia_multivorans	Burkholderia_multivorans	0.919	14	16	16	3350628
