Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	35.0	34.99999999999999	35.0	0.0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	46.42857142857143	45.10444785949527	46.0	12.752217360876797
Bordetella_bronchiseptica	47.0	45.85915661105898	47.0	10.89954127475097
Bordetella_genomosp._13	50.357142857142854	48.96206197178819	50.0	13.171105571592006
Bordetella_pertussis	39.333333333333336	39.1472003239579	39.5	4.1311822359545785
Bordetella_pertussis_137	52.0	52.00000000000001	52.0	0.0
Bordetella_petrii	48.86666666666667	48.20362552341715	47.0	8.492573786774509
Bordetella_trematum	41.083333333333336	40.66402758674418	41.0	6.022055422789757
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	35.0	34.99999999999999	35.0	0.0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	44.61538461538461	44.082056563707305	48.0	7.006407323995915
Burkholderia_cepacia_ATCC_25416	54.5	52.74794796116754	49.5	15.315724879072116
Burkholderia_cepacia_JBK9	49.25	48.230792683623015	47.5	11.786291472158096
Burkholderia_gladioli	46.111111111111114	44.863174305917504	42.0	11.560016735632546
Burkholderia_gladioli_BSR3	42.25	40.415549786448835	35.0	15.861378670636842
Burkholderia_gladioli_pv._gladioli	47.904761904761905	47.0362550009508	46.0	9.369657207735841
Burkholderia_mallei	44.0	43.954521951671815	44.0	2.8284271247461903
Burkholderia_mallei_NCTC_10247	43.5	43.3589667773576	43.5	4.949747468305833
Burkholderia_multivorans	44.5	43.210484490348676	43.5	11.31755081816464
Burkholderia_multivorans_ATCC_17616	50.083333333333336	49.72428891931261	49.0	6.459078647121195
Burkholderia_multivorans_ATCC_BAA-247	43.666666666666664	42.46201912434741	40.0	12.897028081435401
Burkholderia_pseudomallei	44.0	42.96455292369656	42.0	10.862780491200215
Burkholderia_pseudomallei_1106b	35.0	34.99999999999999	35.0	0.0
Burkholderia_pseudomallei_1710a	39.0	38.99999999999999	39.0	0.0
Burkholderia_pseudomallei_7894	56.0	56.00000000000002	56.0	0.0
Burkholderia_pseudomallei_B03	53.0	53.00000000000001	53.0	0.0
Burkholderia_pseudomallei_MSHR1153	42.333333333333336	42.25394148773246	41.0	3.214550253664318
Burkholderia_pseudomallei_MSHR2543	48.0	47.609093665471704	47.0	7.54983443527075
Burkholderia_pseudomallei_MSHR435	49.0	48.99999999999999	49.0	0.0
Burkholderia_pseudomallei_NCTC_13179	50.166666666666664	49.49012924471468	50.0	8.953584012375527
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	41.0	40.18084778637209	36.0	10.44030650891055
Corynebacterium_bovis	43.38461538461539	42.776564228637845	44.0	7.5447383601472175
Corynebacterium_crudilactis	45.0	44.95553358597805	45.0	2.8284271247461903
Corynebacterium_diphtheriae	36.857142857142854	36.55191920749034	35.0	5.30498417932204
Corynebacterium_diphtheriae_NCTC_13129	57.0	57.00000000000001	57.0	0.0
Corynebacterium_jeikeium	40.75	40.16834828444019	40.5	7.932002689527196
Corynebacterium_jeikeium_K411	46.5	46.36809247747851	46.5	4.949747468305833
Corynebacterium_kroppenstedtii	43.0	42.839426996356025	44.5	3.9496835316262997
Corynebacterium_kroppenstedtii_DSM_44385	40.0	40.0	40.0	0.0
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	46.6875	45.20320466223903	45.5	12.615962111547418
Corynebacterium_matruchotii	37.75	37.56746306429221	38.5	4.193248541803041
Corynebacterium_minutissimum	42.4	41.34217387686561	39.0	11.104053313993049
Corynebacterium_pseudotuberculosis	39.0	38.53569773599538	39.0	8.48528137423857
Corynebacterium_renale	43.0	42.7730971934519	45.0	5.291502622129181
Corynebacterium_segmentosum	40.5	39.59797974644666	40.5	12.020815280171307
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	42.10526315789474	41.234946324743945	38.5	9.191034037888938
Corynebacterium_stationis	32.0	32.0	32.0	0.0
Corynebacterium_striatum	52.8	51.6508601019551	60.0	11.691877522451216
Corynebacterium_urealyticum	40.0	39.468389994813926	41.0	6.928203230275509
Corynebacterium_ureicelerivorans	44.666666666666664	43.412859579683364	47.5	11.272385136547928
Corynebacterium_xerosis	46.46666666666667	45.1652262915488	42.0	12.194065691771472
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	42.25	41.40232906485145	41.5	9.776672917374976
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	48.0	48.00000000000001	48.0	0.0
Enterovirus_B	0	0	0	0
