Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	1	0	0	0	On	Off
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	3	0	0	0	On	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	2	2	2	2	Off	Off
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	19	8	8	8	Off	Off
Bordetella_bronchiseptica	11	2	2	2	Off	Off
Bordetella_genomosp._13	24	4	4	4	Off	Off
Bordetella_pertussis	6	0	0	0	On	Off
Bordetella_petrii	19	4	4	4	Off	Off
Bordetella_trematum	14	5	9	9	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_afzelii_PKo	1	0	0	0	On	Off
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Brucella_suis_019	1	1	1	1	Off	Off
Burkholderia_cepacia	35	7	9	9	Off	Off
Burkholderia_cepacia_ATCC_25416	7	3	14	14	Off	Off
Burkholderia_cepacia_JBK9	9	0	0	0	On	Off
Burkholderia_gladioli	37	6	17	17	Off	Off
Burkholderia_gladioli_BSR3	3	1	1	1	Off	Off
Burkholderia_gladioli_pv._gladioli	32	11	24	24	Off	Off
Burkholderia_mallei	1	0	0	0	On	Off
Burkholderia_multivorans	34	10	18	18	Off	Off
Burkholderia_multivorans_ATCC_17616	8	3	10	10	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	8	2	6	6	Off	Off
Burkholderia_pseudomallei	17	4	14	14	Off	Off
Burkholderia_pseudomallei_1106b	2	1	2	2	Off	Off
Burkholderia_pseudomallei_1710a	1	0	0	0	On	Off
Burkholderia_pseudomallei_7894	2	0	0	0	On	Off
Burkholderia_pseudomallei_B03	2	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR1153	1	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR2543	1	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR346	4	0	0	0	On	Off
Burkholderia_pseudomallei_NCTC_13179	1	0	0	0	On	Off
Burkholderia_pseudomallei_Pasteur_52237	4	0	0	0	On	Off
Campylobacter_coli	1	0	0	0	On	Off
Campylobacter_coli_RM4661	2	0	0	0	On	Off
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	1	0	0	0	On	Off
Campylobacter_showae	0	0	0	0	na	na
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_caviae_GPIC	1	0	0	0	On	Off
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	1	0	0	0	On	Off
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	0	0	0	0	na	na
Chlamydia_suis	0	0	0	0	na	na
Chlamydia_trachomatis	0	0	0	0	na	na
Corynebacterium_ammoniagenes	2	1	1	1	Off	Off
Corynebacterium_amycolatum	5	1	1	1	Off	Off
