Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	51.09375	49.54341812695323	47.0	13.896760762041612
Actinobacillus_pleuropneumoniae	52.55128205128205	51.3255998260528	51.0	11.774557025221506
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	51.785714285714285	51.28147888929661	51.5	7.687938319497341
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	53.86666666666667	52.394449504722566	50.0	13.206419795293645
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	54.0625	53.122554817949236	49.5	10.717392406737751
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	47.833333333333336	47.46045733086692	50.0	6.2742861479746574
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Bartonella_quintana_RM-11	NaN	NaN	NaN	NaN
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	42.0	41.97617425777673	42.0	1.5811388300841898
Bordetella_bronchiseptica	43.833333333333336	43.62418942834444	43.0	4.665476038590988
Bordetella_genomosp._13	52.54545454545455	50.85594564503646	51.0	14.369158892319593
Bordetella_pertussis	42.0	42.00000000000001	42.0	0.0
Bordetella_pertussis_137	NaN	NaN	NaN	NaN
Bordetella_pertussis_18323	NaN	NaN	NaN	NaN
Bordetella_petrii	43.666666666666664	42.872188718229296	40.5	9.39503414930817
Bordetella_trematum	45.75	45.20489267679006	44.5	8.301606270274847
Borrelia_crocidurae	NaN	NaN	NaN	NaN
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	NaN	NaN	NaN	NaN
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	54.42857142857143	53.12696719709062	58.0	12.765280292746453
Burkholderia_cepacia_ATCC_25416	53.6	52.016215243751155	54.0	14.328293687665674
Burkholderia_cepacia_JBK9	NaN	NaN	NaN	NaN
Burkholderia_gladioli	48.1	46.73406148853439	48.0	12.142212868062119
Burkholderia_gladioli_BSR3	41.666666666666664	41.16727221504492	38.0	8.144527815247079
Burkholderia_gladioli_pv._gladioli	46.61538461538461	45.95817740209982	46.0	8.694236228084879
Burkholderia_mallei	NaN	NaN	NaN	NaN
Burkholderia_mallei_NCTC_10247	NaN	NaN	NaN	NaN
Burkholderia_multivorans	41.666666666666664	41.042720622338365	43.5	7.711463328491336
Burkholderia_multivorans_ATCC_17616	34.0	34.00000000000001	34.0	0.0
Burkholderia_multivorans_ATCC_BAA-247	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei	46.0	45.32313642900523	44.5	9.011104260855047
Burkholderia_pseudomallei_1106b	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_7894	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_MSHR346	67.0	66.99999999999997	67.0	0.0
Burkholderia_pseudomallei_NCTC_13179	NaN	NaN	NaN	NaN
