Taxon	0	1	2	3	4	5	6	7	8	9	10	higher
Actinobacillus_equuli	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	1	0	0	0	0	0	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0	1	0	0	3	3	2	1	0	1	0	0
Bordetella_bronchiseptica	0	2	1	2	1	0	2	2	3	0	0	0
Bordetella_genomosp._13	0	3	4	4	4	3	4	3	0	0	1	1
Bordetella_pertussis	0	0	0	0	2	1	1	0	0	0	0	0
Bordetella_pertussis_137	0	0	0	0	1	0	0	1	0	0	0	0
Bordetella_pertussis_18323	0	0	0	0	2	2	0	1	0	0	0	1
Bordetella_petrii	0	1	2	4	1	2	0	0	0	0	1	0
Bordetella_trematum	1	1	1	0	2	4	2	2	1	2	0	1
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis_ATCC_25840	0	0	0	0	0	1	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	0	2	3	3	1	2	0	3	1	4	0	0
Burkholderia_cepacia_ATCC_25416	1	0	0	2	1	1	1	1	0	1	0	2
Burkholderia_cepacia_JBK9	1	0	2	1	0	0	1	0	0	0	0	0
Burkholderia_gladioli	0	2	5	2	6	5	5	1	1	4	2	0
Burkholderia_gladioli_BSR3	0	1	2	0	1	0	0	1	0	1	0	0
Burkholderia_gladioli_pv._gladioli	0	1	5	7	4	8	6	5	3	3	1	2
Burkholderia_mallei	0	0	0	1	2	0	0	0	0	1	0	0
Burkholderia_mallei_NCTC_10247	0	0	0	0	0	1	0	0	0	0	0	0
Burkholderia_multivorans	0	4	2	7	8	3	4	4	1	3	1	2
Burkholderia_multivorans_ATCC_17616	0	1	1	1	1	1	1	2	2	1	0	0
Burkholderia_multivorans_ATCC_BAA-247	0	1	2	1	4	1	2	0	2	0	0	1
Burkholderia_pseudomallei	1	0	5	3	8	2	4	3	1	0	0	0
Burkholderia_pseudomallei_B03	0	0	1	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_MSHR2543	0	1	0	0	1	0	0	1	0	0	0	0
Burkholderia_pseudomallei_MSHR346	0	0	0	1	1	0	1	0	0	0	0	0
Burkholderia_pseudomallei_MSHR435	1	0	0	0	0	0	0	0	1	0	0	0
Burkholderia_pseudomallei_NCTC_13179	0	0	0	1	0	0	0	0	0	1	0	0
Campylobacter_coli	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_fetus	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_showae	0	0	0	0	1	0	0	0	0	0	0	0
Canine_morbillivirus	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum_P787	0	0	0	0	0	1	0	0	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_psittaci	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_suis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	1	1	0	0	0	0	0	0	0
Corynebacterium_amycolatum	0	1	1	0	0	1	1	0	0	0	0	0
Corynebacterium_bovis	1	2	2	2	2	2	1	1	0	1	0	0
Corynebacterium_crudilactis	0	0	0	0	0	0	1	0	0	0	0	0
Corynebacterium_diphtheriae	0	1	0	0	0	0	0	0	0	1	0	1
Corynebacterium_jeikeium	0	1	0	0	2	2	0	0	0	0	0	0
Corynebacterium_jeikeium_K411	1	0	0	1	0	0	0	2	0	0	0	1
Corynebacterium_kroppenstedtii	0	1	0	0	3	1	0	0	0	0	0	0
Corynebacterium_kroppenstedtii_DSM_44385	1	1	0	1	1	0	0	0	0	0	0	0
Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_maris_DSM_45190	1	2	3	1	3	1	0	0	0	1	0	1
Corynebacterium_matruchotii	1	2	2	0	0	0	0	2	0	0	0	0
Corynebacterium_minutissimum	0	3	2	0	0	0	1	0	0	0	0	0
Corynebacterium_pseudotuberculosis	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_renale	0	0	0	0	2	1	0	1	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0	0	1	1	0	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	4	8	5	1	3	9	4	1	0	1	0	0
Corynebacterium_stationis	0	0	1	0	0	0	0	0	0	0	0	0
Corynebacterium_striatum	0	1	1	1	0	1	2	1	1	0	0	0
Corynebacterium_urealyticum	0	3	0	0	0	0	1	0	1	0	1	0
Corynebacterium_ureicelerivorans	0	1	0	2	1	1	1	0	0	0	0	0
Corynebacterium_xerosis	3	2	2	4	4	3	2	4	0	1	0	1
Cowpox_virus	0	0	0	0	0	0	0	0	0	0	0	0
Coxiella_burnetii	0	0	0	0	0	0	0	0	0	0	0	0
Cryptosporidium	0	0	0	0	0	0	0	0	0	0	0	0
Cryptosporidium_parvum	0	0	0	0	0	0	0	0	0	0	0	0
Deltaretrovirus	0	0	0	0	0	0	0	0	0	0	0	0
Ehrlichia_canis	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_avium	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_casseliflavus	0	0	1	0	0	0	0	0	0	0	0	0
Enterococcus_casseliflavus_EC20	1	0	0	0	0	0	1	0	0	0	0	0
Enterococcus_cecorum	0	0	0	0	0	0	0	0	1	0	0	0
Enterococcus_durans	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis	2	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium	0	2	1	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	2	1	1	0	0	0	0	0	0	0	0	0
Enterococcus_hirae	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_mundtii	0	0	0	0	0	0	0	0	0	0	0	0
Enterovirus_B	0	0	0	0	0	0	0	0	0	0	0	0
