Node	NumberOfAssignedReads
Actinobacillus_equuli	3
Actinobacillus_pleuropneumoniae	15
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	1
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	3
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	3
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	1
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	10
Bordetella_bronchiseptica	7
Bordetella_genomosp._13	9
Bordetella_pertussis	7
Bordetella_pertussis_18323	4
Bordetella_petrii	10
Bordetella_trematum	13
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	1
Brucella_suis	0
Burkholderia_cepacia	12
Burkholderia_cepacia_ATCC_25416	2
Burkholderia_cepacia_JBK9	5
Burkholderia_gladioli	25
Burkholderia_gladioli_BSR3	5
Burkholderia_gladioli_pv._gladioli	26
Burkholderia_mallei	2
Burkholderia_multivorans	17
Burkholderia_multivorans_ATCC_17616	2
Burkholderia_multivorans_ATCC_BAA-247	4
Burkholderia_pseudomallei	26
Burkholderia_pseudomallei_1710b	3
Burkholderia_pseudomallei_7894	1
Burkholderia_pseudomallei_B03	2
Burkholderia_pseudomallei_MSHR1153	1
Burkholderia_pseudomallei_MSHR2543	1
Burkholderia_pseudomallei_MSHR346	2
Burkholderia_pseudomallei_MSHR435	3
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	0
Campylobacter_showae	1
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	6
Corynebacterium_bovis	25
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	5
Corynebacterium_diphtheriae_HC04	1
Corynebacterium_diphtheriae_NCTC_13129	1
Corynebacterium_jeikeium	5
Corynebacterium_jeikeium_K411	8
Corynebacterium_kroppenstedtii	0
Corynebacterium_kroppenstedtii_DSM_44385	3
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	15
Corynebacterium_matruchotii	11
Corynebacterium_minutissimum	4
Corynebacterium_pseudotuberculosis	1
Corynebacterium_renale	3
Corynebacterium_segmentosum	3
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	55
Corynebacterium_stationis	0
Corynebacterium_striatum	9
Corynebacterium_urealyticum	1
Corynebacterium_ureicelerivorans	8
Corynebacterium_xerosis	17
Cowpox_virus	0
Coxiella_burnetii	1
Coxiella_burnetii_str._Schperling	2
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	1
Enterococcus_casseliflavus_EC20	1
Enterococcus_cecorum	0
Enterococcus_durans	1
Enterococcus_faecalis	1
Enterococcus_faecium	1
Enterococcus_hirae	0
Enterococcus_hirae_ATCC_9790	1
Enterococcus_mundtii	0
Enterovirus_B	0
