Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	1	1	1	1	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	1	1	4	4	Off	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	40	40	40	40	Off	Off
Bordetella_bronchiseptica	24	24	37	37	Off	Off
Bordetella_genomosp._13	41	41	42	42	Off	Off
Bordetella_pertussis	11	11	93	93	Off	Off
Bordetella_pertussis_137	1	1	18	18	Off	Off
Bordetella_pertussis_18323	4	4	25	25	Off	Off
Bordetella_petrii	23	23	23	23	Off	Off
Bordetella_trematum	23	23	34	34	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	1	1	1	1	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_microti_CCM_4915	1	1	1	1	Off	Off
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	37	37	53	53	Off	Off
Burkholderia_cepacia_ATCC_25416	13	13	50	50	Off	Off
Burkholderia_cepacia_JBK9	14	14	15	15	Off	Off
Burkholderia_gladioli	72	72	258	258	Off	Off
Burkholderia_gladioli_BSR3	16	16	31	31	Off	Off
Burkholderia_gladioli_pv._gladioli	70	70	193	193	Off	Off
Burkholderia_mallei	2	2	11	11	Off	Off
Burkholderia_mallei_NCTC_10229	1	1	6	6	Off	Off
Burkholderia_multivorans	78	78	153	153	Off	Off
Burkholderia_multivorans_ATCC_17616	17	17	50	50	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	13	13	36	36	Off	Off
Burkholderia_pseudomallei	34	34	225	225	Off	Off
Burkholderia_pseudomallei_1106b	1	1	7	7	Off	Off
Burkholderia_pseudomallei_7894	2	2	5	5	Off	Off
Burkholderia_pseudomallei_B03	5	5	7	7	Off	Off
Burkholderia_pseudomallei_MSHR2543	2	2	3	3	Off	Off
Burkholderia_pseudomallei_MSHR346	2	2	9	9	Off	Off
