Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	52.0	52.00000000000001	52.0	0.0
Actinobacillus_pleuropneumoniae	38.0	37.99999999999999	38.0	0.0
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	43.0	43.0	43.0	0.0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	49.5	49.19349550499537	49.5	7.7781745930520225
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	56.0	54.4701753255853	56.0	18.384776310850235
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	44.97560975609756	43.98848390676863	44.0	9.600749462615012
Bordetella_bronchiseptica	49.0	47.491818097262296	48.0	12.839670667783611
Bordetella_genomosp._13	48.70175438596491	47.242482992754766	46.0	13.651223012034885
Bordetella_pertussis	42.77777777777778	42.41905333288559	43.0	5.995368582868316
Bordetella_pertussis_137	51.5	50.61620293937507	51.5	13.435028842544403
Bordetella_pertussis_18323	53.0	53.00000000000001	53.0	0.0
Bordetella_petrii	44.630434782608695	43.608045610793695	43.0	9.857560427638326
Bordetella_trematum	45.0625	44.2632947045586	43.5	8.994397898046712
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	46.0	44.885049054702904	43.0	12.244896896258457
Burkholderia_cepacia_ATCC_25416	47.69230769230769	47.275666347470725	47.0	6.600310792993203
Burkholderia_cepacia_JBK9	43.285714285714285	42.55368304683957	43.0	8.557925872435169
Burkholderia_gladioli	46.234042553191486	45.05211482538988	44.0	11.115643855429628
Burkholderia_gladioli_BSR3	49.05882352941177	48.12587338734666	49.0	9.896151955654872
Burkholderia_gladioli_pv._gladioli	46.8955223880597	45.877250196150705	44.0	10.473826437996724
Burkholderia_mallei	49.5	48.92851929090029	49.5	10.606601717798213
Burkholderia_mallei_NCTC_10247	52.5	52.49761899362676	52.5	0.7071067811865476
Burkholderia_multivorans	48.59574468085106	47.11643391468978	46.0	13.345996915649481
Burkholderia_multivorans_ATCC_17616	45.125	44.37499688469607	44.0	8.87599759651462
Burkholderia_multivorans_ATCC_BAA-247	49.142857142857146	48.25182607794645	47.0	9.968080926770075
Burkholderia_pseudomallei	46.333333333333336	44.60767406598702	44.0	13.350479171836758
Burkholderia_pseudomallei_1106b	45.666666666666664	44.597899181814014	48.0	11.676186592091328
Burkholderia_pseudomallei_1710a	47.0	46.99999999999999	47.0	0.0
Burkholderia_pseudomallei_1710b	35.0	34.99999999999999	35.0	0.0
Burkholderia_pseudomallei_7894	63.0	62.99999999999999	63.0	0.0
Burkholderia_pseudomallei_B03	49.5	49.07137658554119	49.5	9.192388155425117
Burkholderia_pseudomallei_MSHR1153	51.5	51.303021353522645	51.5	6.363961030678928
Burkholderia_pseudomallei_MSHR2543	41.0	40.69397989875161	41.0	7.0710678118654755
Burkholderia_pseudomallei_MSHR435	37.5	37.094473981982816	37.5	7.7781745930520225
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_abortus_LLG	45.0	44.99999999999999	45.0	0.0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	44.0	43.89760813529594	44.0	4.242640687119285
Corynebacterium_amycolatum	37.5	37.16168656773151	37.5	5.802298395176403
Corynebacterium_bovis	44.111111111111114	43.599194514843184	43.0	7.218802609235905
Corynebacterium_crudilactis	42.666666666666664	42.03058995983081	45.0	8.736894948054106
Corynebacterium_diphtheriae	47.25	45.84183426274412	42.5	14.221462653327892
Corynebacterium_jeikeium	44.0	43.06116229332434	45.0	10.0
Corynebacterium_jeikeium_K411	40.666666666666664	40.21545881731167	38.5	6.918574034197124
Corynebacterium_kroppenstedtii	43.8	43.69949519690109	45.0	3.271085446759225
Corynebacterium_kroppenstedtii_DSM_44385	33.0	32.86335345030996	33.0	4.242640687119285
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	50.0	48.98271804902643	46.0	11.69045194450012
Corynebacterium_matruchotii	42.0	41.89272013130682	42.0	4.242640687119285
Corynebacterium_minutissimum	39.2	38.88356009859202	38.5	5.202563470700445
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	46.411764705882355	45.936091008918005	45.0	7.053889206755127
Corynebacterium_stationis	54.0	54.00000000000001	54.0	0.0
Corynebacterium_striatum	45.0	44.200173400044235	43.0	9.1104335791443
Corynebacterium_urealyticum	60.0	59.999999999999986	60.0	0.0
Corynebacterium_ureicelerivorans	47.333333333333336	46.373969998766874	44.0	10.801234497346433
Corynebacterium_xerosis	47.46153846153846	46.4882306085996	45.0	10.162146956683454
Cowpox_virus	0	0	0	0
Coxiella_burnetii	47.333333333333336	45.24312849066956	49.0	16.563010998406458
Coxiella_burnetii_str._Schperling	41.0	41.00000000000001	41.0	0.0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	47.0	46.99999999999999	47.0	0.0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	36.0	36.0	36.0	0.0
Enterococcus_faecalis_D32	57.0	57.00000000000001	57.0	0.0
Enterococcus_faecalis_R712	47.0	46.99999999999999	47.0	0.0
Enterococcus_faecium	40.0	40.0	40.0	0.0
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	42.0	42.00000000000001	42.0	0.0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	51.86363636363637	50.45220710298738	51.0	12.589850237565535
Escherichia_coli_042	36.0	36.0	36.0	0.0
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O126	34.0	34.00000000000001	34.0	0.0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Francisella_tularensis_subsp._novicida	41.0	41.00000000000001	41.0	0.0
Fusobacterium	34.0	34.00000000000001	34.0	0.0
Fusobacterium_necrophorum	53.0	53.00000000000001	53.0	0.0
Fusobacterium_necrophorum_subsp._funduliforme	47.0	46.99999999999999	47.0	0.0
Fusobacterium_nucleatum	0	0	0	0
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	73.0	72.99999999999999	73.0	0.0
Helicobacter_cinaedi	46.0	45.607017003965524	46.0	8.48528137423857
Helicobacter_pylori	38.5	38.34057902536163	38.5	4.949747468305833
Helicobacter_pylori_J99	35.0	34.99999999999999	35.0	0.0
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_5	0	0	0	0
Human_adenovirus_54	0	0	0	0
Human_adenovirus_7	0	0	0	0
Human_alphaherpesvirus_1	0	0	0	0
Human_alphaherpesvirus_2	0	0	0	0
Human_alphaherpesvirus_3	0	0	0	0
Human_gammaherpesvirus_4	0	0	0	0
Human_herpesvirus_4_type_2	0	0	0	0
Human_mastadenovirus_C	0	0	0	0
JC_polyomavirus	0	0	0	0
Klebsiella_aerogenes	47.0	46.635571704661366	45.0	6.97614984548545
Klebsiella_michiganensis	47.0	46.77477973557302	47.0	5.059644256269407
Klebsiella_michiganensis_KCTC_1686	42.5	41.83300132670377	42.5	10.606601717798213
Klebsiella_oxytoca	38.0	37.818359176530414	37.0	4.0
Klebsiella_pneumoniae	48.0	46.90022459261599	48.0	11.937336386313323
Klebsiella_pneumoniae_subsp._pneumoniae	48.0	47.73383304456704	46.5	5.94418483337567
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0	0	0	0
Legionella_anisa	0	0	0	0
Legionella_lansingensis	0	0	0	0
Legionella_pneumophila	42.5	41.64132562731402	42.5	12.020815280171307
Legionella_pneumophila_subsp._fraseri	45.0	44.82186966202993	45.0	5.656854249492381
Legionella_pneumophila_subsp._pascullei	48.0	45.91296113299599	48.0	19.79898987322333
Leptospira_alexanderi	0	0	0	0
Leptospira_alstonii	0	0	0	0
Leptospira_biflexa	0	0	0	0
Leptospira_borgpetersenii	0	0	0	0
Leptospira_broomii	0	0	0	0
Leptospira_fainei	0	0	0	0
Leptospira_inadai	0	0	0	0
Leptospira_interrogans	59.0	59.000000000000014	59.0	0.0
Leptospira_interrogans_serovar_Icterohaemorrhagiae	60.0	59.999999999999986	60.0	0.0
Leptospira_kirschneri	0	0	0	0
Leptospira_kmetyi	40.0	40.0	40.0	0.0
Leptospira_licerasiae	0	0	0	0
Leptospira_noguchii	0	0	0	0
Leptospira_santarosai	0	0	0	0
Leptospira_weilii	109.0	108.99999999999997	109.0	0.0
Leptospira_wolffii	0	0	0	0
Listeria_monocytogenes	49.0	48.63126566315133	49.0	8.48528137423857
Lumpy_skin_disease_virus	0	0	0	0
Lymphocryptovirus	0	0	0	0
Mannheimia_haemolytica	0	0	0	0
Mannheimia_haemolytica_M42548	42.0	42.00000000000001	42.0	0.0
Measles_morbillivirus	0	0	0	0
Methanobrevibacter_oralis	0	0	0	0
Moraxella_catarrhalis	0	0	0	0
Morbillivirus	0	0	0	0
Mycobacterium_avium	48.2	47.07622675155479	47.5	10.905234428064098
Mycobacterium_avium_subsp._avium	50.0	48.62300318871007	45.0	13.92838827718412
Mycobacterium_avium_subsp._hominissuis	42.55555555555556	42.289954700351984	43.0	4.927248499698161
Mycobacterium_avium_subsp._paratuberculosis	41.0	40.38298796860743	42.0	8.54400374531753
Mycobacterium_canettii	0	0	0	0
Mycobacterium_colombiense	0	0	0	0
Mycobacterium_colombiense_CECT_3035	45.46153846153846	44.20355313983783	41.0	11.500836090008013
Mycobacterium_intracellulare	44.2	43.785994594308214	43.0	6.545566777937909
