Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Actinobacillus_equuli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Actinobacillus_pleuropneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.045454545454545456	2
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.0	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.045454545454545456	0.045454545454545456	2
Bordetella_bronchiseptica	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	2
Bordetella_genomosp._13	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.6	0.015151515151515152	0.0	0.04545454545454545	0.030303030303030304	0.015151515151515152	0.015151515151515152	0.0	0.0	0.015151515151515152	0.0	0.015151515151515152	0.0	0.0	0.0	0.0	0.0	0.015151515151515152	0.0	0.0	0.04545454545454545	6
Bordetella_pertussis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis_18323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	0	1.0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.030303030303030304	0.0	0.04545454545454545	0.0	0.030303030303030304	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.04545454545454545	0.030303030303030304	0.030303030303030304	0.015151515151515152	0.0	0.0	0.04545454545454545	6
Bordetella_trematum	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.0	0.022727272727272728	0.022727272727272728	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.022727272727272728	0.0	0.022727272727272728	0.0	4
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	0.3128834355828221	0.27976190476190477	0.2032967032967033	0.3604060913705584	0.22435897435897437	0.05056179775280899	0.020833333333333332	0.026595744680851064	0.008130081300813009	0.046052631578947366	0.024691358024691357	0.05194805194805195	0	0	0.01639344262295082	0.3423913043478261	0.22	0.3253012048192771	0.47674418604651164	0.28	0.01818181818181818	0.023404255319148935	0.013539651837524177	0.0195357833655706	0.017794970986460348	0.009671179883945842	0.00851063829787234	0.007736943907156673	0.005802707930367504	0.009864603481624759	0.008317214700193424	0.010251450676982592	0.0075435203094777565	0.007736943907156673	0.007930367504835589	0.023597678916827854	0.01334622823984526	0.015473887814313346	0.023404255319148935	0.01702127659574468	470
Burkholderia_cepacia_ATCC_25416	0.08695652173913043	0.23972602739726026	0.1201923076923077	0.38764044943820225	0.35	0	0	0	0.03167420814479638	0.051470588235294115	0	0.102803738317757	0.04895104895104895	0	0.01282051282051282	0.1891891891891892	0.2342857142857143	0.4692982456140351	0.2903225806451613	0.610738255033557	0.009090909090909092	0.010181818181818183	0.013090909090909092	0.03090909090909091	0.021818181818181816	0.008	0.006363636363636363	0.007818181818181818	0.009090909090909092	0.012545454545454545	0.0061818181818181816	0.015090909090909092	0.008909090909090908	0.005454545454545454	0.006363636363636363	0.008181818181818182	0.01909090909090909	0.025454545454545452	0.014363636363636363	0.02	500
Burkholderia_cepacia_JBK9	0.3448275862068966	0.2641509433962264	0.26666666666666666	0.2972972972972973	0.26	0.05555555555555555	0.05	0.07142857142857142	0.12	0.05263157894736842	0.04878048780487805	0	0.045454545454545456	0.09523809523809523	0.027777777777777776	0.14634146341463414	0.29545454545454547	0.3953488372093023	0.21951219512195122	0.4117647058823529	0.022727272727272728	0.014462809917355372	0.015151515151515152	0.012396694214876033	0.01790633608815427	0.01584022038567493	0.0048209366391184574	0.006198347107438017	0.014462809917355372	0.009641873278236915	0.009641873278236915	0.005509641873278237	0.007575757575757576	0.012396694214876033	0.008264462809917356	0.01721763085399449	0.013085399449035813	0.01652892561983471	0.014462809917355372	0.024104683195592284	132
Burkholderia_gladioli	0.20178041543026706	0.19656786271450857	0.1936026936026936	0.27203647416413373	0.27245949926362295	0.020833333333333332	0.03896103896103896	0.07425742574257425	0.10344827586206896	0.04807692307692308	0.07515657620041753	0.039586919104991396	0.018518518518518517	0.0651085141903172	0.03993055555555555	0.26148969889064977	0.35893854748603354	0.42937062937062936	0.31366906474820144	0.4110738255033557	0.015085351329892815	0.012207225089321158	0.014589122667725288	0.017467248908296942	0.016971020246129415	0.006748709805478364	0.010966653433902341	0.009329098848749504	0.01275307661770544	0.010321556173084558	0.008733624454148471	0.007939658594680429	0.007790789996030171	0.011512504962286622	0.008535132989281461	0.014489876935291784	0.020246129416435096	0.020791980944819374	0.015333465660976578	0.020146883684001585	1832
