Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	2	0	0	0	On	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	1	0	0	0	On	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	1	0	0	0	On	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	120	15	15	15	Off	Off
Bordetella_bronchiseptica	91	12	14	14	Off	Off
Bordetella_genomosp._13	97	7	7	7	Off	Off
Bordetella_pertussis	24	3	30	30	Off	Off
Bordetella_pertussis_137	10	1	10	10	Off	Off
Bordetella_pertussis_18323	3	0	0	0	On	Off
Bordetella_petrii	92	23	23	23	Off	Off
Bordetella_trematum	58	14	18	18	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_abortus_bv._6_str._870	2	0	0	0	On	Off
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	1	0	0	0	On	Off
Brucella_melitensis_bv._2_str._63/9	1	1	2	2	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	1	1	1	1	Off	Off
Brucella_suis_019	2	0	0	0	On	Off
Brucella_suis_bv._2	1	0	0	0	On	Off
Burkholderia_cepacia	171	15	24	24	Off	Off
Burkholderia_cepacia_ATCC_25416	60	9	36	36	Off	Off
Burkholderia_cepacia_JBK9	62	16	16	16	Off	Off
Burkholderia_gladioli	226	36	92	92	Off	Off
Burkholderia_gladioli_BSR3	59	3	5	5	Off	Off
Burkholderia_gladioli_pv._gladioli	187	26	74	74	Off	Off
Burkholderia_mallei	23	0	0	0	On	Off
Burkholderia_mallei_NCTC_10229	7	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	10	0	0	0	On	Off
Burkholderia_multivorans	246	35	107	107	Off	Off
Burkholderia_multivorans_ATCC_17616	109	11	28	28	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	100	11	34	34	Off	Off
Burkholderia_pseudomallei	230	30	65	65	Off	Off
Burkholderia_pseudomallei_1106b	10	1	1	1	Off	Off
Burkholderia_pseudomallei_1710a	3	1	3	3	Off	Off
Burkholderia_pseudomallei_7894	14	0	0	0	On	Off
Burkholderia_pseudomallei_B03	5	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR1153	4	1	2	2	Off	Off
Burkholderia_pseudomallei_MSHR2543	6	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR346	12	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR435	37	9	16	16	Off	Off
Burkholderia_pseudomallei_NCTC_13179	30	8	10	10	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	11	0	0	0	On	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	5	0	0	0	On	Off
Campylobacter_showae	1	0	0	0	On	Off
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	1	0	0	0	On	Off
Chlamydia_suis	3	0	0	0	On	Off
Chlamydia_trachomatis	0	0	0	0	na	na
Corynebacterium_ammoniagenes	0	0	0	0	na	na
Corynebacterium_amycolatum	3	0	0	0	On	Off
Corynebacterium_bovis	82	10	10	10	Off	Off
Corynebacterium_crudilactis	0	0	0	0	na	na
Corynebacterium_diphtheriae	6	0	0	0	On	Off
Corynebacterium_diphtheriae_HC03	3	0	0	0	On	Off
Corynebacterium_jeikeium	10	1	1	1	Off	Off
Corynebacterium_jeikeium_K411	26	5	5	5	Off	Off
Corynebacterium_kroppenstedtii	4	0	0	0	On	Off
Corynebacterium_kroppenstedtii_DSM_44385	1	0	0	0	On	Off
