Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	3	1	1	1	Off	Off
Actinobacillus_pleuropneumoniae	3	0	0	0	On	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	2	2	2	2	Off	Off
Bartonella_henselae	1	0	0	0	On	Off
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	27	2	2	2	Off	Off
Bordetella_bronchiseptica	14	2	2	2	Off	Off
Bordetella_genomosp._13	63	6	6	6	Off	Off
Bordetella_pertussis	9	0	0	0	On	Off
Bordetella_pertussis_137	1	0	0	0	On	Off
Bordetella_pertussis_18323	1	0	0	0	On	Off
Bordetella_petrii	42	6	6	6	Off	Off
Bordetella_trematum	20	4	4	4	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	2201	306	470	470	Off	Off
Burkholderia_cepacia_ATCC_25416	1037	106	500	500	Off	Off
Burkholderia_cepacia_JBK9	1137	126	132	132	Off	Off
Burkholderia_gladioli	3933	444	1832	1832	Off	Off
Burkholderia_gladioli_BSR3	792	109	169	169	Off	Off
Burkholderia_gladioli_pv._gladioli	2677	297	863	863	Off	Off
Burkholderia_mallei	48	3	3	3	Off	Off
Burkholderia_mallei_NCTC_10229	4	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	27	4	15	15	Off	Off
Burkholderia_multivorans	5025	572	1861	1861	Off	Off
Burkholderia_multivorans_ATCC_17616	1667	176	606	606	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	1591	207	586	586	Off	Off
Burkholderia_pseudomallei	1650	193	706	706	Off	Off
Burkholderia_pseudomallei_1106b	33	1	3	3	Off	Off
Burkholderia_pseudomallei_1710a	5	1	8	8	Off	Off
Burkholderia_pseudomallei_1710b	19	1	2	2	Off	Off
