Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	0
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	3
Aspergillus_fumigatus	0
Bartonella_bacilliformis	1
Bartonella_henselae	1
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	93
Bordetella_bronchiseptica	68
Bordetella_genomosp._13	69
Bordetella_pertussis	26
Bordetella_pertussis_18323	7
Bordetella_petrii	70
Bordetella_trematum	45
Borrelia_crocidurae	1
Borrelia_crocidurae_DOU	1
Borrelia_recurrentis	0
Borrelia_recurrentis_A1	1
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	2
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	1
Brucella_suis	0
Burkholderia_cepacia	136
Burkholderia_cepacia_ATCC_25416	42
Burkholderia_cepacia_JBK9	44
Burkholderia_gladioli	159
Burkholderia_gladioli_BSR3	46
Burkholderia_gladioli_pv._gladioli	116
Burkholderia_mallei	10
Burkholderia_mallei_NCTC_10229	1
Burkholderia_mallei_NCTC_10247	1
Burkholderia_multivorans	181
Burkholderia_multivorans_ATCC_17616	56
Burkholderia_multivorans_ATCC_BAA-247	54
Burkholderia_pseudomallei	172
Burkholderia_pseudomallei_1106b	8
Burkholderia_pseudomallei_1710a	2
Burkholderia_pseudomallei_1710b	3
Burkholderia_pseudomallei_7894	7
Burkholderia_pseudomallei_B03	4
Burkholderia_pseudomallei_MSHR1153	5
Burkholderia_pseudomallei_MSHR2543	5
Burkholderia_pseudomallei_MSHR346	11
Burkholderia_pseudomallei_MSHR435	14
Burkholderia_pseudomallei_NCTC_13179	5
Burkholderia_pseudomallei_Pasteur_52237	3
Campylobacter_coli	1
Campylobacter_fetus	0
Campylobacter_gracilis	4
Campylobacter_showae	2
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	9
Corynebacterium_bovis	52
Corynebacterium_crudilactis	2
Corynebacterium_diphtheriae	4
Corynebacterium_diphtheriae_HC03	1
Corynebacterium_diphtheriae_HC04	4
Corynebacterium_jeikeium	15
Corynebacterium_jeikeium_K411	14
Corynebacterium_kroppenstedtii	13
Corynebacterium_kroppenstedtii_DSM_44385	10
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	32
Corynebacterium_matruchotii	9
Corynebacterium_minutissimum	7
Corynebacterium_pseudotuberculosis	3
Corynebacterium_pseudotuberculosis_Cp162	1
Corynebacterium_renale	7
Corynebacterium_segmentosum	12
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	96
Corynebacterium_stationis	9
Corynebacterium_striatum	14
Corynebacterium_urealyticum	13
Corynebacterium_ureicelerivorans	15
Corynebacterium_xerosis	38
Cowpox_virus	0
Coxiella_burnetii	26
Coxiella_burnetii_Dugway_5J108-111	6
Coxiella_burnetii_str._Schperling	7
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	2
Enterococcus_casseliflavus	8
Enterococcus_cecorum	0
Enterococcus_durans	4
Enterococcus_faecalis	1
Enterococcus_faecalis_R712	1
Enterococcus_faecium	8
Enterococcus_hirae	1
Enterococcus_mundtii	1
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erysipelothrix_rhusiopathiae_str._Fujisawa	2
Erythroparvovirus	0
Escherichia_coli	51
Escherichia_coli_E110019	3
Escherichia_coli_NCCP15648	4
Escherichia_coli_O111	0
Escherichia_coli_O121_str._RM8352	2
Escherichia_coli_O145:NM	1
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Escherichia_coli_O7:K1_str._CE10	6
Francisella_tularensis	1
Francisella_tularensis_subsp._novicida	3
Fusobacterium	5
Fusobacterium_gonidiaformans_ATCC_25563	1
Fusobacterium_mortiferum_ATCC_9817	1
Fusobacterium_necrophorum	13
Fusobacterium_necrophorum_subsp._necrophorum	4
Fusobacterium_nucleatum	2
Fusobacterium_nucleatum_subsp._polymorphum	1
Fusobacterium_nucleatum_subsp._vincentii	1
