Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	NaN	NaN	NaN	NaN
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	66.0	65.87867636800243	66.0	5.656854249492381
Bordetella_bronchiseptica	43.0	43.0	43.0	0.0
Bordetella_genomosp._13	49.2	48.640001279113214	50.0	7.791020472312982
Bordetella_pertussis	NaN	NaN	NaN	NaN
Bordetella_petrii	NaN	NaN	NaN	NaN
Bordetella_trematum	NaN	NaN	NaN	NaN
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	63.357142857142854	61.41217925369991	61.0	16.112523143873393
Burkholderia_cepacia_ATCC_25416	63.351351351351354	61.92759751164575	62.0	13.709721239195801
Burkholderia_cepacia_JBK9	63.15384615384615	61.391573104495166	60.0	15.508864783659313
Burkholderia_gladioli	60.3421052631579	57.98681116545222	59.5	17.952303647690744
Burkholderia_gladioli_BSR3	70.1	68.30438913701627	66.5	16.835478411180755
Burkholderia_gladioli_pv._gladioli	60.69230769230769	58.94275062350091	58.0	14.839863155081265
Burkholderia_mallei	NaN	NaN	NaN	NaN
Burkholderia_multivorans	63.03463203463203	60.81829829892005	60.0	16.784532598137062
Burkholderia_multivorans_ATCC_17616	66.88311688311688	64.12519544744718	64.0	19.2606594041722
Burkholderia_multivorans_ATCC_BAA-247	65.6	63.62508925364994	61.0	16.4922330204251
Burkholderia_pseudomallei	67.09433962264151	64.88979857880881	65.0	17.301916468929768
Burkholderia_pseudomallei_1106b	60.0	59.999999999999986	60.0	0.0
Burkholderia_pseudomallei_1710a	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_1710b	42.0	42.00000000000001	42.0	0.0
Burkholderia_pseudomallei_7894	58.0	57.999999999999986	58.0	0.0
Burkholderia_pseudomallei_B03	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_MSHR1153	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_MSHR2543	73.0	72.99999999999999	73.0	0.0
Burkholderia_pseudomallei_MSHR346	73.0	71.83313998427182	73.0	18.384776310850235
Burkholderia_pseudomallei_MSHR435	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_NCTC_13179	76.0	70.84537849713345	68.0	31.32091952673165
Burkholderia_pseudomallei_Pasteur_52237	49.0	48.99999999999999	49.0	0.0
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	0	0	0	0
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	0	0	0	0
Corynebacterium_jeikeium	0	0	0	0
Corynebacterium_kroppenstedtii	0	0	0	0
Corynebacterium_maris	0	0	0	0
Corynebacterium_matruchotii	NaN	NaN	NaN	NaN
Corynebacterium_minutissimum	NaN	NaN	NaN	NaN
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	NaN	NaN	NaN	NaN
Corynebacterium_urealyticum	0	0	0	0
Corynebacterium_ureicelerivorans	60.0	59.999999999999986	60.0	0.0
Corynebacterium_xerosis	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	NaN	NaN	NaN	NaN
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	NaN	NaN	NaN	NaN
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	NaN	NaN	NaN	NaN
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	NaN	NaN	NaN	NaN
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Fusobacterium	NaN	NaN	NaN	NaN
Fusobacterium_nucleatum	0	0	0	0
Fusobacterium_nucleatum_subsp._polymorphum	NaN	NaN	NaN	NaN
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	0	0	0	0
Haemophilus_influenzae_R2866	NaN	NaN	NaN	NaN
Helicobacter_cinaedi	0	0	0	0
Helicobacter_pylori	NaN	NaN	NaN	NaN
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_5	0	0	0	0
Human_adenovirus_54	0	0	0	0
Human_adenovirus_7	0	0	0	0
