Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Actinobacillus_equuli	0	0.3333333333333333	0	0.16666666666666666	0	0	0.2	0	0.2222222222222222	0	0	0.25	0	0	0.16666666666666666	0.3333333333333333	0	0	0	0	0.013986013986013986	0.024475524475524476	0.0034965034965034965	0.0034965034965034965	0.0034965034965034965	0.013986013986013986	0.010489510489510488	0.020979020979020976	0.01748251748251748	0.006993006993006993	0.006993006993006993	0.013986013986013986	0.006993006993006993	0.01748251748251748	0.024475524475524476	0.020979020979020976	0.020979020979020976	0.020979020979020976	0.01748251748251748	0.01748251748251748	26
Actinobacillus_pleuropneumoniae	0.1875	0	0.14285714285714285	0	0	0	0.037037037037037035	0.047619047619047616	0.2542372881355932	0.027777777777777776	0	0	0	0	0	0	0.4583333333333333	0	0.17647058823529413	0	0.019393939393939394	0.00909090909090909	0.013939393939393939	0.01090909090909091	0.005454545454545455	0.009696969696969697	0.013939393939393939	0.012121212121212121	0.016969696969696968	0.006060606060606061	0.0048484848484848485	0.012727272727272728	0.01090909090909091	0.013333333333333334	0.0048484848484848485	0.028484848484848484	0.011515151515151515	0.01090909090909091	0.02303030303030303	0.018787878787878787	150
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.012987012987012988	0.0	0.012987012987012988	0.006493506493506494	0.0	0.012987012987012988	0.0	0.0	0.0	0.012987012987012988	0.032467532467532464	0.0	0.0	0.012987012987012988	0.0	0.012987012987012988	0.012987012987012988	0.032467532467532464	14
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0	0	0	0	0	0	0	0.4	0	0	0	0	0.16666666666666666	0	0.07142857142857142	0	0	0	1.0	0	0.013986013986013986	0.038461538461538464	0.020979020979020976	0.0	0.0	0.0	0.006993006993006993	0.020979020979020976	0.0	0.0	0.010489510489510488	0.0	0.027972027972027972	0.0	0.006993006993006993	0.010489510489510488	0.0	0.0	0.03146853146853147	0.020979020979020976	26
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.026515151515151516	0.0	0.0	0.026515151515151516	0.0	0.0	0.007575757575757576	0.0	0.01893939393939394	0.015151515151515152	0.026515151515151516	0.01893939393939394	0.015151515151515152	0.01893939393939394	0.01893939393939394	0.015151515151515152	0.022727272727272724	0.0	0.015151515151515152	24
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013986013986013986	0.013986013986013986	0.0	0.013986013986013986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006993006993006993	0.006993006993006993	0.0	0.0	0.006993006993006993	0.013986013986013986	0.0	13
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	2
