Taxon	0	1	2	3	4	5	6	7	8	9	10	higher
Actinobacillus_equuli	0	0	0	0	0	0	2	0	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0	0	0	0	1	0	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	1	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0	1	1	8	14	13	21	18	19	18	4	4
Bordetella_bronchiseptica	0	0	1	3	8	13	7	6	21	18	6	5
Bordetella_genomosp._13	0	1	4	2	15	21	15	35	20	27	6	7
Bordetella_pertussis	0	0	0	0	2	0	1	7	5	27	1	0
Bordetella_pertussis_137	0	0	0	1	0	1	0	2	0	3	0	1
Bordetella_pertussis_18323	0	0	0	0	0	2	0	0	2	1	0	1
Bordetella_petrii	0	1	2	6	10	16	13	17	22	14	8	6
Bordetella_trematum	0	3	1	5	2	7	13	11	16	15	0	5
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	0	0	0	0	1	0	0	0
Brucella_abortus_bv._6_str._870	0	0	0	0	0	0	1	0	1	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	0	0	0	0	0	0	0	0	0	2	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis_ATCC_25840	0	0	0	0	0	0	3	0	0	0	0	0
Brucella_suis	0	1	0	0	0	0	1	0	0	1	0	0
Brucella_suis_bv._2	0	0	0	0	0	0	1	0	0	0	0	0
Burkholderia_cepacia	1	2	12	11	23	10	20	13	30	42	1	5
Burkholderia_cepacia_ATCC_25416	1	4	2	1	3	9	2	7	10	7	2	6
Burkholderia_cepacia_JBK9	0	2	0	3	3	7	5	3	9	9	0	1
Burkholderia_gladioli	1	7	9	7	12	18	32	38	42	37	4	18
Burkholderia_gladioli_BSR3	0	1	3	5	2	2	6	13	7	16	2	0
Burkholderia_gladioli_pv._gladioli	2	0	10	10	17	22	10	40	35	36	8	10
Burkholderia_mallei	1	1	0	1	3	0	0	1	2	1	1	0
Burkholderia_mallei_NCTC_10247	0	0	0	0	0	0	0	0	0	0	1	1
Burkholderia_multivorans	4	5	9	11	16	21	27	31	40	24	7	8
Burkholderia_multivorans_ATCC_17616	1	4	1	5	5	13	10	20	5	16	4	1
Burkholderia_multivorans_ATCC_BAA-247	4	0	6	4	3	4	9	12	12	10	1	2
Burkholderia_pseudomallei	6	6	2	12	10	6	9	14	17	26	6	6
Burkholderia_pseudomallei_1106b	0	0	0	2	1	3	2	0	3	1	0	0
Burkholderia_pseudomallei_1710a	0	0	0	0	0	0	0	0	1	0	0	3
Burkholderia_pseudomallei_1710b	0	1	0	0	0	0	0	3	0	0	0	0
Burkholderia_pseudomallei_7894	0	0	0	0	0	0	0	0	0	1	0	1
Burkholderia_pseudomallei_B03	0	1	0	0	0	0	0	0	4	3	0	0
Burkholderia_pseudomallei_MSHR1153	0	0	0	0	0	0	1	2	0	0	0	0
Burkholderia_pseudomallei_MSHR2543	0	0	0	0	2	0	0	0	1	2	0	2
Burkholderia_pseudomallei_MSHR346	0	2	0	0	0	1	1	1	0	4	0	1
Burkholderia_pseudomallei_MSHR435	0	0	0	0	1	0	1	2	1	0	0	0
Burkholderia_pseudomallei_NCTC_13179	4	0	0	0	0	0	2	1	0	0	0	0
Burkholderia_pseudomallei_Pasteur_52237	0	0	0	1	1	0	0	0	7	1	0	0
Campylobacter_coli	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_fetus	0	0	0	0	0	0	0	1	0	0	0	0
Campylobacter_fetus_subsp._testudinum_Sp3	0	0	0	0	0	0	0	0	0	1	0	0
Campylobacter_gracilis	0	0	0	0	0	0	0	1	1	0	0	0
Campylobacter_showae	0	0	1	0	0	0	1	0	0	0	0	0
Canine_morbillivirus	0	0	0	0	0	0	0	0	0	0	0	0
