Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	2	2	10	10	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	6	6	8	8	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	2	2	2	2	Off	Off
Bartonella_henselae	4	4	8	8	Off	Off
Bartonella_quintana	1	1	3	3	Off	Off
Bartonella_quintana_RM-11	2	2	8	8	Off	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	129	129	132	132	Off	Off
Bordetella_bronchiseptica	113	113	171	171	Off	Off
Bordetella_genomosp._13	156	156	156	156	Off	Off
Bordetella_pertussis	45	45	575	575	Off	Off
Bordetella_pertussis_137	3	3	58	58	Off	Off
Bordetella_pertussis_18323	5	5	36	36	Off	Off
Bordetella_petrii	85	85	85	85	Off	Off
Bordetella_trematum	73	73	106	106	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borrelia_recurrentis_A1	1	1	1	1	Off	Off
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	1	1	2	2	Off	Off
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	1	1	2	2	Off	Off
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	3	3	6	6	Off	Off
Brucella_melitensis_bv._2_str._63/9	1	1	4	4	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	1	1	1	1	Off	Off
Brucella_suis	1	1	1	1	Off	Off
Burkholderia_cepacia	233	233	382	382	Off	Off
Burkholderia_cepacia_ATCC_25416	85	85	406	406	Off	Off
Burkholderia_cepacia_JBK9	76	76	83	83	Off	Off
Burkholderia_gladioli	270	270	921	921	Off	Off
Burkholderia_gladioli_BSR3	67	67	118	118	Off	Off
Burkholderia_gladioli_pv._gladioli	227	227	667	667	Off	Off
Burkholderia_mallei	4	4	5	5	Off	Off
Burkholderia_mallei_NCTC_10229	1	1	1	1	Off	Off
Burkholderia_mallei_NCTC_10247	1	1	1	1	Off	Off
Burkholderia_multivorans	464	464	1433	1433	Off	Off
Burkholderia_multivorans_ATCC_17616	154	154	537	537	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	140	140	455	455	Off	Off
Burkholderia_pseudomallei	248	248	1081	1081	Off	Off
Burkholderia_pseudomallei_1106b	7	7	13	13	Off	Off
Burkholderia_pseudomallei_1710a	11	11	38	38	Off	Off
Burkholderia_pseudomallei_1710b	8	8	23	23	Off	Off
Burkholderia_pseudomallei_7894	7	7	23	23	Off	Off
Burkholderia_pseudomallei_B03	12	12	14	14	Off	Off
Burkholderia_pseudomallei_MSHR1153	55	55	90	90	Off	Off
Burkholderia_pseudomallei_MSHR2543	7	7	22	22	Off	Off
Burkholderia_pseudomallei_MSHR346	10	10	21	21	Off	Off
Burkholderia_pseudomallei_MSHR435	8	8	12	12	Off	Off
Burkholderia_pseudomallei_NCTC_13179	9	9	17	17	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	4	4	7	7	Off	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_coli_76339	1	1	2	2	Off	Off
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_fetus_subsp._venerealis	2	2	6	6	Off	Off
Campylobacter_gracilis	11	11	15	15	Off	Off
Campylobacter_showae	3	3	3	3	Off	Off
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_abortus_LLG	1	1	1	1	Off	Off
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_caviae_GPIC	1	1	1	1	Off	Off
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	1	1	1	1	Off	Off
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pecorum_P787	2	2	4	4	Off	Off
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_pneumoniae_AR39	2	2	4	4	Off	Off
Chlamydia_psittaci	2	2	2	2	Off	Off
Chlamydia_suis	3	3	4	4	Off	Off
Chlamydia_trachomatis	0	0	0	0	na	na
Chlamydia_trachomatis_6276	3	3	3	3	Off	Off
Corynebacterium_ammoniagenes	4	4	5	5	Off	Off
Corynebacterium_amycolatum	3	3	5	5	Off	Off
Corynebacterium_bovis	43	43	44	44	Off	Off
Corynebacterium_crudilactis	3	3	3	3	Off	Off
Corynebacterium_diphtheriae	5	5	6	6	Off	Off
Corynebacterium_diphtheriae_HC03	1	1	5	5	Off	Off
Corynebacterium_diphtheriae_HC04	2	2	6	6	Off	Off
Corynebacterium_diphtheriae_NCTC_13129	1	1	3	3	Off	Off
Corynebacterium_jeikeium	34	34	34	34	Off	Off
Corynebacterium_jeikeium_K411	55	55	85	85	Off	Off
Corynebacterium_kroppenstedtii	5	5	5	5	Off	Off
Corynebacterium_kroppenstedtii_DSM_44385	9	9	19	19	Off	Off
Corynebacterium_maris	0	0	0	0	na	na
Corynebacterium_maris_DSM_45190	52	52	53	53	Off	Off
Corynebacterium_matruchotii	21	21	32	32	Off	Off
Corynebacterium_minutissimum	46	46	96	96	Off	Off
Corynebacterium_pseudotuberculosis	4	4	12	12	Off	Off
Corynebacterium_renale	2	2	2	2	Off	Off
Corynebacterium_segmentosum	17	17	17	17	Off	Off
Corynebacterium_sphenisci	0	0	0	0	na	na
Corynebacterium_sphenisci_DSM_44792	55	55	60	60	Off	Off
Corynebacterium_stationis	16	16	16	16	Off	Off
Corynebacterium_striatum	50	50	91	91	Off	Off
Corynebacterium_urealyticum	10	10	12	12	Off	Off
Corynebacterium_ureicelerivorans	17	17	17	17	Off	Off
Corynebacterium_xerosis	52	52	53	53	Off	Off
Cowpox_virus	0	0	0	0	na	na
Coxiella_burnetii	17	17	47	47	Off	Off
Coxiella_burnetii_Dugway_5J108-111	8	8	23	23	Off	Off
Coxiella_burnetii_str._Schperling	4	4	9	9	Off	Off
Cryptosporidium	0	0	0	0	na	na
Cryptosporidium_parvum	0	0	0	0	na	na
Deltaretrovirus	0	0	0	0	na	na
Ehrlichia_canis	0	0	0	0	na	na
Enterococcus_avium	2	2	2	2	Off	Off
Enterococcus_casseliflavus	9	9	58	58	Off	Off
Enterococcus_cecorum	4	4	8	8	Off	Off
Enterococcus_durans	3	3	3	3	Off	Off
Enterococcus_faecalis	3	3	42	42	Off	Off
Enterococcus_faecalis_R712	1	1	2	2	Off	Off
Enterococcus_faecium	5	5	9	9	Off	Off
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	3	3	153	153	Off	Off
Enterococcus_hirae	3	3	6	6	Off	Off
Enterococcus_hirae_ATCC_9790	1	1	7	7	Off	Off
Enterococcus_mundtii	2	2	3	3	Off	Off
Enterovirus_B	0	0	0	0	na	na
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0	na	na
Equine_rhinitis_A_virus	0	0	0	0	na	na
Erysipelothrix_rhusiopathiae	1	1	1	1	Off	Off
Erythroparvovirus	0	0	0	0	na	na
Escherichia_coli	38	38	263	263	Off	Off
Escherichia_coli_ER2796	3	3	3	3	Off	Off
Escherichia_coli_M8	1	1	8	8	Off	Off
Escherichia_coli_O111	0	0	0	0	na	na
Escherichia_coli_O157:H7	0	0	0	0	na	na
Escherichia_coli_O158	1	1	1	1	Off	Off
Escherichia_coli_O26	0	0	0	0	na	na
Escherichia_coli_O39:NM_str._F8704-2	2	2	2	2	Off	Off
Francisella_tularensis	1	1	5	5	Off	Off
Francisella_tularensis_subsp._holarctica	1	1	1	1	Off	Off
Francisella_tularensis_subsp._novicida	1	1	4	4	Off	Off
Fusobacterium	2	2	5	5	Off	Off
Fusobacterium_gastrosuis	3	3	5	5	Off	Off
Fusobacterium_necrophorum	1	1	4	4	Off	Off
Fusobacterium_necrophorum_subsp._funduliforme	2	2	2	2	Off	Off
Fusobacterium_necrophorum_subsp._necrophorum	1	1	1	1	Off	Off
Fusobacterium_nucleatum	0	0	0	0	na	na
Fusobacterium_nucleatum_subsp._nucleatum	1	1	2	2	Off	Off
Fusobacterium_nucleatum_subsp._vincentii	1	1	1	1	Off	Off
Fusobacterium_periodonticum	1	1	1	1	Off	Off
Goatpox_virus	0	0	0	0	na	na
Haemophilus_influenzae	7	7	19	19	Off	Off
Haemophilus_influenzae_F3047	1	1	2	2	Off	Off
Helicobacter_cinaedi	3	3	6	6	Off	Off
Helicobacter_pylori	12	12	69	69	Off	Off
Helicobacter_pylori_Puno120	1	1	1	1	Off	Off
Hepatitis_B_virus	0	0	0	0	na	na
Hepatitis_E_virus	0	0	0	0	na	na
Hepatitis_delta_virus	0	0	0	0	na	na
Human_adenovirus_1	0	0	0	0	na	na
Human_adenovirus_2	0	0	0	0	na	na
Human_adenovirus_35	0	0	0	0	na	na
Human_adenovirus_5	0	0	0	0	na	na
Human_adenovirus_54	0	0	0	0	na	na
Human_adenovirus_7	0	0	0	0	na	na
Human_alphaherpesvirus_1	0	0	0	0	na	na
Human_alphaherpesvirus_2	0	0	0	0	na	na
Human_alphaherpesvirus_3	0	0	0	0	na	na
Human_gammaherpesvirus_4	0	0	0	0	na	na
Human_herpesvirus_4_type_2	0	0	0	0	na	na
Human_mastadenovirus_C	0	0	0	0	na	na
JC_polyomavirus	0	0	0	0	na	na
Klebsiella_aerogenes	12	12	31	31	Off	Off
Klebsiella_aerogenes_EA1509E	3	3	32	32	Off	Off
Klebsiella_michiganensis	7	7	27	27	Off	Off
Klebsiella_michiganensis_HKOPL1	3	3	14	14	Off	Off
Klebsiella_oxytoca	14	14	34	34	Off	Off
Klebsiella_pneumoniae	12	12	120	120	Off	Off
Klebsiella_pneumoniae_subsp._pneumoniae	5	5	180	180	Off	Off
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0	0	0	0	na	na
Legionella_anisa	22	22	43	43	Off	Off
Legionella_lansingensis	7	7	7	7	Off	Off
Legionella_pneumophila	31	31	173	173	Off	Off
Legionella_pneumophila_str._Corby	4	4	4	4	Off	Off
Legionella_pneumophila_subsp._fraseri	10	10	31	31	Off	Off
Legionella_pneumophila_subsp._pascullei	3	3	3	3	Off	Off
Legionella_pneumophila_subsp._pneumophila	8	8	16	16	Off	Off
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	2	2	4	4	Off	Off
Leptospira_alexanderi	0	0	0	0	na	na
Leptospira_alstonii	0	0	0	0	na	na
Leptospira_biflexa	0	0	0	0	na	na
Leptospira_borgpetersenii	5	5	11	11	Off	Off
Leptospira_broomii	0	0	0	0	na	na
Leptospira_fainei	0	0	0	0	na	na
Leptospira_inadai	0	0	0	0	na	na
Leptospira_interrogans	0	0	0	0	na	na
Leptospira_kirschneri	0	0	0	0	na	na
Leptospira_kmetyi	5	5	5	5	Off	Off
Leptospira_licerasiae	0	0	0	0	na	na
Leptospira_noguchii	3	3	3	3	Off	Off
Leptospira_santarosai	9	9	15	15	Off	Off
Leptospira_weilii	4	4	6	6	Off	Off
Leptospira_wolffii	0	0	0	0	na	na
Listeria_monocytogenes	5	5	42	42	Off	Off
Listeria_monocytogenes_6179	1	1	14	14	Off	Off
Listeria_monocytogenes_FSL_J1-208	1	1	3	3	Off	Off
Listeria_monocytogenes_J1816	1	1	2	2	Off	Off
Lumpy_skin_disease_virus	0	0	0	0	na	na
Lymphocryptovirus	0	0	0	0	na	na
Mannheimia_haemolytica	0	0	0	0	na	na
Mannheimia_haemolytica_D153	2	2	12	12	Off	Off
Mannheimia_haemolytica_M42548	1	1	6	6	Off	Off
Mannheimia_haemolytica_USDA-ARS-USMARC-183	1	1	6	6	Off	Off
Measles_morbillivirus	0	0	0	0	na	na
Methanobrevibacter_oralis	0	0	0	0	na	na
Moraxella_catarrhalis	0	0	0	0	na	na
Moraxella_catarrhalis_BBH18	2	2	7	7	Off	Off
Morbillivirus	0	0	0	0	na	na
Mycobacterium_avium	116	116	682	682	Off	Off
Mycobacterium_avium_subsp._avium	12	12	23	23	Off	Off
