Node	NumberOfAssignedReads
Actinobacillus_equuli	26
Actinobacillus_pleuropneumoniae	48
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	7
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	9
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	9
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	7
Aspergillus_fumigatus	0
Bartonella_bacilliformis	2
Bartonella_henselae	4
Bartonella_quintana	0
Bartonella_quintana_RM-11	1
Blastomyces_dermatitidis	0
Bordetella_bronchialis	135
Bordetella_bronchiseptica	108
Bordetella_genomosp._13	178
Bordetella_pertussis	50
Bordetella_pertussis_137	8
Bordetella_pertussis_18323	8
Bordetella_petrii	115
Bordetella_trematum	88
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	1
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	5
Brucella_abortus_bv._6_str._870	3
Brucella_canis	1
Brucella_melitensis	1
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	9
Brucella_suis	2
Burkholderia_cepacia	349
Burkholderia_cepacia_ATCC_25416	102
Burkholderia_cepacia_JBK9	135
Burkholderia_gladioli	624
Burkholderia_gladioli_BSR3	132
Burkholderia_gladioli_pv._gladioli	500
Burkholderia_mallei	15
Burkholderia_mallei_NCTC_10229	2
Burkholderia_mallei_NCTC_10247	1
Burkholderia_multivorans	591
Burkholderia_multivorans_ATCC_17616	142
Burkholderia_multivorans_ATCC_BAA-247	174
Burkholderia_pseudomallei	238
Burkholderia_pseudomallei_1106b	3
Burkholderia_pseudomallei_1710b	5
Burkholderia_pseudomallei_7894	17
Burkholderia_pseudomallei_B03	17
Burkholderia_pseudomallei_MSHR1153	12
Burkholderia_pseudomallei_MSHR2543	4
Burkholderia_pseudomallei_MSHR346	8
Burkholderia_pseudomallei_MSHR435	3
Burkholderia_pseudomallei_NCTC_13179	4
Burkholderia_pseudomallei_Pasteur_52237	4
Campylobacter_coli	1
Campylobacter_fetus	0
Campylobacter_gracilis	4
Campylobacter_showae	0
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	2
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	4
Corynebacterium_amycolatum	9
Corynebacterium_bovis	234
Corynebacterium_crudilactis	1
Corynebacterium_diphtheriae	11
Corynebacterium_diphtheriae_NCTC_13129	3
Corynebacterium_jeikeium	38
Corynebacterium_jeikeium_K411	43
Corynebacterium_kroppenstedtii	91
Corynebacterium_kroppenstedtii_DSM_44385	122
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	166
Corynebacterium_matruchotii	60
Corynebacterium_minutissimum	42
Corynebacterium_pseudotuberculosis	1
Corynebacterium_pseudotuberculosis_Cp162	2
Corynebacterium_renale	12
Corynebacterium_segmentosum	40
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	323
Corynebacterium_stationis	36
Corynebacterium_striatum	33
Corynebacterium_urealyticum	44
Corynebacterium_ureicelerivorans	89
Corynebacterium_xerosis	148
Cowpox_virus	0
Coxiella_burnetii	12
Coxiella_burnetii_Dugway_5J108-111	2
Coxiella_burnetii_str._Schperling	15
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	1
Enterococcus_casseliflavus	3
Enterococcus_casseliflavus_EC20	2
Enterococcus_cecorum	21
Enterococcus_durans	0
Enterococcus_faecalis	2
Enterococcus_faecium	31
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	15
Enterococcus_faecium_Com15	3
Enterococcus_hirae	2
Enterococcus_hirae_ATCC_9790	1
Enterococcus_mundtii	3
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erythroparvovirus	0
Escherichia_coli	59
Escherichia_coli_DH1	1
Escherichia_coli_NCCP15648	9
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O169:H41	1
Escherichia_coli_O26	0
Escherichia_coli_O78	1
Escherichia_coli_UMN026	2
Escherichia_coli_UMNK88	1
Francisella_tularensis	0
Francisella_tularensis_subsp._novicida	2
Fusobacterium	7
Fusobacterium_canifelinum	1
Fusobacterium_gastrosuis	1
Fusobacterium_hwasookii_ChDC_F206	1
Fusobacterium_mortiferum_ATCC_9817	1
Fusobacterium_necrophorum	1
Fusobacterium_nucleatum	1
Fusobacterium_nucleatum_subsp._animalis	2
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_23726	1
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	4
Fusobacterium_nucleatum_subsp._vincentii	3
Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8	1
Fusobacterium_pseudoperiodonticum	2
Goatpox_virus	0
Haemophilus_influenzae	10
Haemophilus_influenzae_2019	1
Haemophilus_influenzae_KR494	1
Haemophilus_influenzae_R2866	1
Helicobacter_cinaedi	1
Helicobacter_pylori	9
Helicobacter_pylori_Shi112	13
Helicobacter_pylori_UM299	1
Helicobacter_pylori_oki128	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	1
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	16
Klebsiella_aerogenes_EA1509E	7
Klebsiella_michiganensis	15
Klebsiella_michiganensis_HKOPL1	3
Klebsiella_michiganensis_KCTC_1686	2
Klebsiella_oxytoca	20
Klebsiella_pneumoniae	42
Klebsiella_pneumoniae_subsp._pneumoniae	12
Klebsiella_pneumoniae_subsp._pneumoniae_KPNIH24	2
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0
Legionella_anisa	1
Legionella_lansingensis	1
Legionella_pneumophila	11
