Node	NumberOfAssignedReads
Actinobacillus_equuli	4
Actinobacillus_pleuropneumoniae	9
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	2
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	2
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	2
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	1
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	133
Bordetella_bronchiseptica	93
Bordetella_genomosp._13	179
Bordetella_pertussis	34
Bordetella_pertussis_137	11
Bordetella_pertussis_18323	8
Bordetella_petrii	137
Bordetella_trematum	96
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borrelia_recurrentis_A1	1
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	2
Brucella_abortus_bv._6_str._870	1
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	7
Brucella_suis	1
Brucella_suis_019	1
Brucella_suis_bv._2	1
Burkholderia_cepacia	261
Burkholderia_cepacia_ATCC_25416	97
Burkholderia_cepacia_JBK9	98
Burkholderia_gladioli	551
Burkholderia_gladioli_BSR3	88
Burkholderia_gladioli_pv._gladioli	461
Burkholderia_mallei	7
Burkholderia_mallei_NCTC_10247	4
Burkholderia_multivorans	449
Burkholderia_multivorans_ATCC_17616	137
Burkholderia_multivorans_ATCC_BAA-247	144
Burkholderia_pseudomallei	218
Burkholderia_pseudomallei_1106b	8
Burkholderia_pseudomallei_1710a	5
Burkholderia_pseudomallei_1710b	2
Burkholderia_pseudomallei_7894	11
Burkholderia_pseudomallei_B03	8
Burkholderia_pseudomallei_MSHR1153	6
Burkholderia_pseudomallei_MSHR2543	5
Burkholderia_pseudomallei_MSHR346	6
Burkholderia_pseudomallei_MSHR435	5
Burkholderia_pseudomallei_NCTC_13179	14
Burkholderia_pseudomallei_Pasteur_52237	8
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	6
Campylobacter_showae	4
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	4
Corynebacterium_amycolatum	9
Corynebacterium_bovis	115
Corynebacterium_crudilactis	1
Corynebacterium_diphtheriae	20
Corynebacterium_diphtheriae_HC03	1
Corynebacterium_jeikeium	29
Corynebacterium_jeikeium_K411	19
Corynebacterium_kroppenstedtii	38
Corynebacterium_kroppenstedtii_DSM_44385	37
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	70
Corynebacterium_matruchotii	21
Corynebacterium_minutissimum	15
Corynebacterium_pseudotuberculosis	0
Corynebacterium_pseudotuberculosis_Cp162	1
Corynebacterium_renale	28
Corynebacterium_segmentosum	20
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	177
Corynebacterium_stationis	16
Corynebacterium_striatum	29
Corynebacterium_urealyticum	31
Corynebacterium_ureicelerivorans	36
Corynebacterium_xerosis	87
Cowpox_virus	0
Coxiella_burnetii	7
