Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	4	4	4	4	Off	Off
Bordetella_bronchiseptica	5	5	5	5	Off	Off
Bordetella_genomosp._13	6	6	6	6	Off	Off
Bordetella_pertussis	3	3	80	80	Off	Off
Bordetella_pertussis_137	1	1	14	14	Off	Off
Bordetella_petrii	8	8	8	8	Off	Off
Bordetella_trematum	3	3	6	6	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	1174	1174	2080	2080	Off	Off
Burkholderia_cepacia_ATCC_25416	542	542	2755	2755	Off	Off
Burkholderia_cepacia_JBK9	568	568	668	668	Off	Off
Burkholderia_gladioli	431	431	1967	1967	Off	Off
Burkholderia_gladioli_BSR3	109	109	186	186	Off	Off
Burkholderia_gladioli_pv._gladioli	260	260	822	822	Off	Off
Burkholderia_mallei	12	12	75	75	Off	Off
Burkholderia_mallei_NCTC_10229	3	3	18	18	Off	Off
Burkholderia_mallei_NCTC_10247	3	3	18	18	Off	Off
Burkholderia_multivorans	2733	2733	9336	9336	Off	Off
Burkholderia_multivorans_ATCC_17616	857	857	3560	3560	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	852	852	2706	2706	Off	Off
Burkholderia_pseudomallei	759	759	3628	3628	Off	Off
Burkholderia_pseudomallei_1106b	9	9	13	13	Off	Off
Burkholderia_pseudomallei_1710a	3	3	10	10	Off	Off
Burkholderia_pseudomallei_1710b	1	1	1	1	Off	Off
Burkholderia_pseudomallei_7894	44	44	204	204	Off	Off
Burkholderia_pseudomallei_B03	8	8	17	17	Off	Off
Burkholderia_pseudomallei_MSHR1153	12	12	20	20	Off	Off
