Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	Actinobacillus_equuli	1	3	3	3	2451991
Actinobacillus_pleuropneumoniae	Actinobacillus_pleuropneumoniae	0	0	2	2	2361730
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	Bartonella_bacilliformis	0	0	2	2	1443410
Bartonella_henselae	Bartonella_henselae	1	1	1	1	1963796
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	0.701	17	26	27	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	0.724	7	9	11	5081368
Bordetella_genomosp._13	Bordetella_genomosp._13	0.453	22	50	63	5380929
Bordetella_pertussis	Bordetella_pertussis	1	4	4	7	4108318
Bordetella_pertussis_137	Bordetella_pertussis	1	1	1	1	4386396
Bordetella_pertussis_18323	Bordetella_pertussis	1	1	1	1	4096524
Bordetella_petrii	Bordetella_petrii	0.625	19	31	42	5287950
Bordetella_trematum	Bordetella_trematum	1	10	10	15	4518493
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	0.579	156	299	381	3728457
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	0.547	235	488	642	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.548	247	507	632	3790084
Burkholderia_gladioli	Burkholderia_gladioli_BSR3	0.366	481	1625	2106	4413616
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	0.381	147	459	577	4413616
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	0.399	288	885	1140	4209407
Burkholderia_mallei	Burkholderia_mallei	0.581	9	17	22	3501048
Burkholderia_mallei_NCTC_10229	Burkholderia_mallei_NCTC_10229	1	4	4	4	3458208
Burkholderia_mallei_NCTC_10247	Burkholderia_mallei_NCTC_10247	0.515	6	12	20	3495687
Burkholderia_multivorans	Burkholderia_multivorans	0.558	543	1122	1431	3350628
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	0.504	414	948	1212	3448421
