Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	41.0	40.999999999999986	41.0	0.0
Actinobacillus_pleuropneumoniae	52.333333333333336	51.07026071488408	60.0	13.279056191361391
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	90.0	90.0	90.0	0.0
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	60.0	59.999999999999986	60.0	0.0
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	60.0	59.999999999999986	60.0	0.0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	50.5	48.932283747115136	51.0	14.294521094927712
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	60.0	59.999999999999986	60.0	0.0
Bartonella_quintana	0	0	0	0
Bartonella_quintana_RM-11	60.0	59.999999999999986	60.0	0.0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	58.92028985507246	57.71668628643014	60.0	11.96287541674403
Bordetella_bronchiseptica	61.864197530864196	59.695824878676234	60.0	16.349123131241438
Bordetella_genomosp._13	60.89743589743589	59.569378675853926	60.0	12.982134575398458
Bordetella_pertussis	58.93478260869565	58.29381460427926	60.0	8.85538674458294
Bordetella_pertussis_137	56.888888888888886	56.238355583680175	60.0	8.283182426526118
Bordetella_pertussis_18323	70.28571428571429	67.37569190012117	60.0	23.400244198969986
Bordetella_petrii	59.14049586776859	57.73329655225985	60.0	12.812302541648515
Bordetella_trematum	58.77391304347826	57.572553800918335	60.0	12.12729332232488
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	60.0	59.999999999999986	60.0	0.0
Brucella_melitensis	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	60.0	59.999999999999986	60.0	0.0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_ovis_ATCC_25840	66.875	65.43455246963525	60.0	16.948978056002584
Brucella_suis	55.5	53.8330753347791	55.5	19.091883092036785
Brucella_suis_bv._2	47.0	46.99999999999999	47.0	0.0
Burkholderia_cepacia	60.303030303030305	59.21822057813813	60.0	11.597110785283952
Burkholderia_cepacia_ATCC_25416	57.6875	56.32651212000544	60.0	12.991908348648497
Burkholderia_cepacia_JBK9	55.26984126984127	53.99893074826224	60.0	11.6898168384425
Burkholderia_gladioli	60.8803680981595	59.670608796542574	60.0	12.56764274523187
Burkholderia_gladioli_BSR3	58.971830985915496	57.23430412742276	60.0	14.994257787553131
Burkholderia_gladioli_pv._gladioli	59.537254901960786	58.366982264460724	60.0	12.073820849883598
Burkholderia_mallei	57.0	55.73508364585755	58.5	11.85092588975412
Burkholderia_mallei_NCTC_10229	60.0	59.999999999999986	60.0	0.0
Burkholderia_mallei_NCTC_10247	58.0	57.999999999999986	58.0	0.0
Burkholderia_multivorans	60.04294478527608	58.46191426002499	60.0	14.045135897472862
Burkholderia_multivorans_ATCC_17616	60.31884057971015	57.8834630977471	60.0	17.331111733818286
Burkholderia_multivorans_ATCC_BAA-247	61.358695652173914	60.23325814863652	60.0	12.29721805557479
Burkholderia_pseudomallei	57.191616766467064	55.63906931069118	60.0	13.717429828698213
Burkholderia_pseudomallei_1106b	59.0	58.57334569289256	60.0	7.035623639735144
Burkholderia_pseudomallei_1710a	52.8	52.347889717261644	54.0	7.192588778272627
Burkholderia_pseudomallei_1710b	53.666666666666664	53.53824382895707	51.0	4.618802153517007
Burkholderia_pseudomallei_7894	58.8	58.77788493373152	60.0	1.7888543819998317
Burkholderia_pseudomallei_B03	57.4	56.45193435896202	58.0	10.895462868144293
Burkholderia_pseudomallei_MSHR1153	55.0	53.99692873412311	60.0	10.074720839804943
Burkholderia_pseudomallei_MSHR2543	50.54545454545455	49.747770738533696	54.0	9.037296458163098
Burkholderia_pseudomallei_MSHR346	56.714285714285715	56.21901996736297	60.0	7.739816658342877
Burkholderia_pseudomallei_MSHR435	52.888888888888886	51.881923065519146	59.0	10.325265667822359
Burkholderia_pseudomallei_NCTC_13179	56.0	55.7112349645892	60.0	5.879747322073336
Burkholderia_pseudomallei_Pasteur_52237	56.0	54.884807189458726	51.5	13.136644494368742
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	54.666666666666664	53.115211576036806	45.0	16.74315780649915
Campylobacter_showae	52.0	51.321111524573936	53.5	9.556847457887633
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
