Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	Actinobacillus_equuli	0.892	35	39	47	2451991
Actinobacillus_pleuropneumoniae	Actinobacillus_pleuropneumoniae	0.948	37	39	58	2409072
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	Actinobacillus_pleuropneumoniae_serovar_4_str._M62	0.864	16	18	20	2335268
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0.935	19	21	29	2409565
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1	17	17	24	2324821
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	Arcanobacterium_haemolyticum	0.567	3	5	7	1988850
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	Bartonella_henselae	1	1	1	1	1963796
Bartonella_quintana	Bartonella_quintana	1	3	3	4	1588683
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	0.521	47	95	120	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	0.678	32	47	63	5081368
Bordetella_genomosp._13	Bordetella_genomosp._13	0.81	46	60	72	5380929
Bordetella_pertussis	Bordetella_pertussis	0.807	8	10	13	4104202
Bordetella_pertussis_137	Bordetella_pertussis_137	0.584	2	4	4	4134593
Bordetella_pertussis_18323	Bordetella_pertussis_18323	1	5	5	8	4043846
Bordetella_petrii	Bordetella_petrii	0.893	153	175	223	5287950
Bordetella_trematum	Bordetella_trematum	0.75	26	35	43	4518493
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	Borreliella_afzelii_PKo	1	1	1	1	903609
Borreliella_afzelii_Tom3107	Borreliella_afzelii_Tom3107	0	0	2	2	26561
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	Brucella_abortus	1	1	1	1	2115221
Brucella_abortus_bv._6_str._870	Brucella_abortus_bv._6_str._870	1	1	1	1	1157058
Brucella_canis	Brucella_canis	1	1	1	1	2105958
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_ovis_ATCC_25840	Brucella_ovis_ATCC_25840	1	2	2	2	1164220
Brucella_suis	NA	0	0	0	0	0
Brucella_suis_bv._2	Brucella_suis_bv._2	1	3	3	5	1926480
Burkholderia_cepacia	Burkholderia_cepacia	0.496	9	19	21	3415325
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	0.872	24	28	33	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.923	21	23	27	3790084
Burkholderia_gladioli	Burkholderia_gladioli	0.825	60	72	101	4171651
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	0.876	28	32	40	4413616
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	0.777	58	76	104	4209407
Burkholderia_mallei	Burkholderia_mallei_NCTC_10229	0.631	3	5	8	3458208
Burkholderia_mallei_NCTC_10229	Burkholderia_mallei_NCTC_10229	1	1	1	1	3458208
Burkholderia_mallei_NCTC_10247	Burkholderia_mallei_NCTC_10247	1	2	2	2	3495687
