Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	41.75	41.52636559132114	41.5	4.9916597106239795
Bordetella_bronchiseptica	39.0	38.99999999999999	39.0	0.0
Bordetella_genomosp._13	62.4	59.676894335782784	56.0	20.5621010599598
Bordetella_pertussis	0	0	0	0
Bordetella_petrii	47.5	46.288795206429405	43.5	13.025615788386615
Bordetella_trematum	56.333333333333336	52.68605190004632	41.0	26.558112382722783
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	60.782097649186255	58.3763400359705	60.0	17.426834395375682
Burkholderia_cepacia_ATCC_25416	61.86200378071834	59.52224706332747	60.0	17.23461799231113
Burkholderia_cepacia_JBK9	60.04781704781705	57.80932968849747	59.0	16.546519032708726
Burkholderia_gladioli	57.230000000000004	54.90792331230375	55.0	17.018406664947623
Burkholderia_gladioli_BSR3	57.0	54.8458684816802	56.0	16.220021852972057
Burkholderia_gladioli_pv._gladioli	56.60992907801419	54.119929024962104	52.5	17.54091223768547
Burkholderia_mallei	54.6	52.980285306114794	48.5	14.683323874382122
Burkholderia_mallei_NCTC_10229	46.0	45.372112475527054	43.0	8.831760866327848
Burkholderia_mallei_NCTC_10247	67.0	66.99999999999997	67.0	0.0
Burkholderia_multivorans	61.358665058303174	59.01328134033031	60.0	17.149431627198567
Burkholderia_multivorans_ATCC_17616	62.51701570680628	60.27591436126406	60.0	16.784142597123964
Burkholderia_multivorans_ATCC_BAA-247	61.6546329723225	59.14002728105086	60.0	17.946234281744164
Burkholderia_pseudomallei	60.24364723467862	57.78292022667331	60.0	17.544864880749387
Burkholderia_pseudomallei_1106b	53.583333333333336	52.61947830961368	54.0	10.326121628122918
Burkholderia_pseudomallei_1710a	92.0	92.00000000000001	92.0	0.0
Burkholderia_pseudomallei_7894	57.411764705882355	55.619724619472265	60.0	14.077959664191235
Burkholderia_pseudomallei_B03	52.36363636363637	51.259355698743	49.0	12.225160344737628
Burkholderia_pseudomallei_MSHR1153	64.2	62.40289019666843	63.5	16.143798258843002
Burkholderia_pseudomallei_MSHR2543	59.375	57.738518224876366	55.0	15.34309989166838
Burkholderia_pseudomallei_MSHR346	58.727272727272734	56.13116729042672	58.0	17.32010432953607
Burkholderia_pseudomallei_MSHR435	58.625	56.60689366700532	53.5	17.361184126830587
Burkholderia_pseudomallei_NCTC_13179	69.81818181818181	68.18405207218638	72.0	15.670470202378622
Burkholderia_pseudomallei_Pasteur_52237	74.0	74.00000000000003	74.0	0.0
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	60.0	59.999999999999986	60.0	0.0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	39.0	38.99999999999999	39.0	0.0
Corynebacterium_crudilactis	35.0	34.99999999999999	35.0	0.0
Corynebacterium_diphtheriae	58.0	57.999999999999986	58.0	0.0
Corynebacterium_jeikeium	83.0	83.00000000000003	83.0	0.0
Corynebacterium_jeikeium_K411	68.0	67.12133652488384	60.0	13.856406460551018
Corynebacterium_kroppenstedtii	43.5	43.26661530556788	43.5	6.363961030678928
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	42.0	41.2310562561766	42.0	11.313708498984761
Corynebacterium_matruchotii	77.0	68.64276616071288	99.0	38.1051177665153
Corynebacterium_minutissimum	0	0	0	0
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	0	0	0	0
Corynebacterium_urealyticum	0	0	0	0
Corynebacterium_ureicelerivorans	69.5	67.4496961193758	61.0	20.872629605937693
Corynebacterium_xerosis	61.333333333333336	61.158238272561235	58.0	5.773502691896258
Cowpox_virus	0	0	0	0
Coxiella_burnetii	88.0	88.00000000000003	88.0	0.0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	59.27272727272727	56.264717852796394	62.0	19.82468617199732
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	60.0	59.999999999999986	60.0	0.0
Enterococcus_faecium	63.0	62.99999999999999	63.0	0.0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	47.714285714285715	46.26244156281561	42.0	13.250336922940056
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
