Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	Actinobacillus_equuli	1	1	1	1	2451991
Actinobacillus_pleuropneumoniae	NA	0	0	0	0	0
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	1	6	6	11	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	1	2	2	2	5211648
Bordetella_genomosp._13	Bordetella_genomosp._13	0.741	4	6	8	5380929
Bordetella_pertussis	Bordetella_pertussis	0	0	2	2	4115775
Bordetella_petrii	Bordetella_petrii	1	2	2	2	5287950
Bordetella_trematum	Bordetella_trematum	1	5	5	6	4480141
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	0.694	94	152	186	3683734
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	0.75	165	241	283	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.747	152	221	264	3790084
Burkholderia_gladioli	Burkholderia_gladioli_BSR3	0.775	114	157	178	4413616
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	0.824	35	45	48	4413616
