Taxon	Reference	0	1	2	3	4	5	6	7	8	9	10	higher
Actinobacillus_equuli	NA	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae	NA	0	0	0	0	0	0	0	0	0	0	0	0
African_swine_fever_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana_RM-11	NA	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchiseptica	Bordetella_bronchiseptica	5081319	49	0	0	0	0	0	0	0	0	0	0
Bordetella_genomosp._13	Bordetella_genomosp._13	5380893	36	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	5287838	112	0	0	0	0	0	0	0	0	0	0
Bordetella_trematum	Bordetella_trematum	4480089	52	0	0	0	0	0	0	0	0	0	0
Borrelia_crocidurae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	3779857	49	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia	1187939	45	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	3400635	101	0	0	0	0	0	0	0	0	0	0
Burkholderia_gladioli	Burkholderia_gladioli	4668412	161	0	0	0	0	0	0	0	0	0	0
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	4413513	103	0	0	0	0	0	0	0	0	0	0
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	4668352	181	0	0	0	0	0	0	0	0	0	0
Burkholderia_mallei	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_multivorans	Burkholderia_multivorans	2279038	85	0	0	0	0	0	0	0	0	0	0
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans	2541479	47	0	0	0	0	0	0	0	0	0	0
Burkholderia_multivorans_ATCC_BAA-247	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei	Burkholderia_pseudomallei	3915206	51	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_MSHR2543	Burkholderia_pseudomallei_MSHR2543	3205911	54	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_MSHR346	Burkholderia_pseudomallei	4099131	32	0	0	0	0	0	0	0	0	0	0
Campylobacter_coli	NA	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_fetus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_gracilis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_showae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Canine_morbillivirus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_suis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ammoniagenes	NA	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_amycolatum	NA	0	0	0	0	0	0	0	0	0	0	0	0
