Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	1	0	0	0	On	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	14	4	4	4	Off	Off
Bordetella_bronchiseptica	7	0	0	0	On	Off
Bordetella_genomosp._13	25	4	4	4	Off	Off
Bordetella_pertussis	6	0	0	0	On	Off
Bordetella_pertussis_18323	2	0	0	0	On	Off
Bordetella_petrii	10	3	3	3	Off	Off
Bordetella_trematum	14	3	4	4	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_microti_CCM_4915	1	1	1	1	Off	Off
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	2	0	0	0	On	Off
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	17	3	5	5	Off	Off
Burkholderia_cepacia_ATCC_25416	5	0	0	0	On	Off
Burkholderia_cepacia_JBK9	10	2	2	2	Off	Off
Burkholderia_gladioli	21	3	11	11	Off	Off
Burkholderia_gladioli_BSR3	8	1	2	2	Off	Off
Burkholderia_gladioli_pv._gladioli	27	3	8	8	Off	Off
Burkholderia_mallei	0	0	0	0	na	na
Burkholderia_multivorans	21	4	6	6	Off	Off
Burkholderia_multivorans_ATCC_17616	5	1	2	2	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	6	1	1	1	Off	Off
Burkholderia_pseudomallei	8	0	0	0	On	Off
Burkholderia_pseudomallei_1106b	1	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR1153	1	1	4	4	Off	Off
Burkholderia_pseudomallei_NCTC_13179	1	0	0	0	On	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	0	0	0	0	na	na
Campylobacter_showae	0	0	0	0	na	na
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
