Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	2	2	3	3	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	1	0	0	0	On	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	13	3	3	3	Off	Off
Bordetella_bronchiseptica	11	3	3	3	Off	Off
Bordetella_genomosp._13	14	1	1	1	Off	Off
Bordetella_pertussis	2	1	1	1	Off	Off
Bordetella_petrii	8	0	0	0	On	Off
Bordetella_trematum	7	5	8	8	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	19	5	11	11	Off	Off
Burkholderia_cepacia_ATCC_25416	3	0	0	0	On	Off
Burkholderia_cepacia_JBK9	2	1	1	1	Off	Off
Burkholderia_gladioli	22	2	9	9	Off	Off
Burkholderia_gladioli_BSR3	2	0	0	0	On	Off
Burkholderia_gladioli_pv._gladioli	26	8	17	17	Off	Off
Burkholderia_mallei	1	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	1	0	0	0	On	Off
Burkholderia_multivorans	19	2	3	3	Off	Off
Burkholderia_multivorans_ATCC_17616	3	0	0	0	On	Off
Burkholderia_multivorans_ATCC_BAA-247	4	0	0	0	On	Off
Burkholderia_pseudomallei	7	2	4	4	Off	Off
Burkholderia_pseudomallei_MSHR1153	1	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR346	1	0	0	0	On	Off
Burkholderia_pseudomallei_NCTC_13179	4	1	1	1	Off	Off
Campylobacter_coli	2	2	2	2	Off	Off
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	1	0	0	0	On	Off
Campylobacter_showae	1	0	0	0	On	Off
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
