Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	NaN	NaN	NaN	NaN
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	NaN	NaN	NaN	NaN
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	NaN	NaN	NaN	NaN
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	44.0	43.34374681464342	41.5	9.128709291752768
Bordetella_bronchiseptica	39.0	38.99999999999999	39.0	0.0
Bordetella_genomosp._13	46.5	45.89117562233506	46.5	10.606601717798213
Bordetella_pertussis	40.5	40.42276586281546	40.5	3.5355339059327378
Bordetella_pertussis_137	58.0	57.999999999999986	58.0	0.0
Bordetella_pertussis_18323	NaN	NaN	NaN	NaN
Bordetella_petrii	50.25	48.94721350743254	45.5	13.9134227756269
Bordetella_trematum	37.0	36.99999999999999	37.0	0.0
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	NaN	NaN	NaN	NaN
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	NaN	NaN	NaN	NaN
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Brucella_suis_bv._2	NaN	NaN	NaN	NaN
Burkholderia_cepacia	46.6	46.2308914800208	47.0	6.4265076052238514
Burkholderia_cepacia_ATCC_25416	55.0	54.918120870983934	55.0	4.242640687119285
Burkholderia_cepacia_JBK9	NaN	NaN	NaN	NaN
Burkholderia_gladioli	46.55555555555556	46.0764390101911	44.0	7.316268022549322
Burkholderia_gladioli_BSR3	44.0	43.99999999999999	44.0	0.0
Burkholderia_gladioli_pv._gladioli	42.25	41.951304265954114	42.5	5.737304826019502
Burkholderia_mallei	NaN	NaN	NaN	NaN
