Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	0
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	0
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	9
Bordetella_bronchiseptica	9
Bordetella_genomosp._13	23
Bordetella_pertussis	3
Bordetella_pertussis_18323	2
Bordetella_petrii	7
Bordetella_trematum	14
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	0
Burkholderia_cepacia	8
Burkholderia_cepacia_ATCC_25416	1
Burkholderia_cepacia_JBK9	7
Burkholderia_gladioli	24
Burkholderia_gladioli_BSR3	8
Burkholderia_gladioli_pv._gladioli	30
Burkholderia_mallei	2
Burkholderia_multivorans	21
Burkholderia_multivorans_ATCC_17616	7
Burkholderia_multivorans_ATCC_BAA-247	5
Burkholderia_pseudomallei	7
Burkholderia_pseudomallei_7894	1
Burkholderia_pseudomallei_B03	2
Burkholderia_pseudomallei_MSHR1153	2
Burkholderia_pseudomallei_MSHR2543	1
Burkholderia_pseudomallei_MSHR346	1
Burkholderia_pseudomallei_NCTC_13179	2
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	9
Campylobacter_showae	0
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	0
Corynebacterium_amycolatum	0
Corynebacterium_bovis	1
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	2
Corynebacterium_jeikeium	2
Corynebacterium_jeikeium_K411	1
Corynebacterium_kroppenstedtii	3
Corynebacterium_kroppenstedtii_DSM_44385	13
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	4
Corynebacterium_matruchotii	25
Corynebacterium_minutissimum	1
Corynebacterium_pseudotuberculosis	0
Corynebacterium_renale	1
Corynebacterium_segmentosum	0
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	9
Corynebacterium_stationis	0
Corynebacterium_striatum	5
Corynebacterium_urealyticum	0
Corynebacterium_ureicelerivorans	1
Corynebacterium_xerosis	3
Cowpox_virus	0
Coxiella_burnetii	1
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	0
Enterococcus_cecorum	0
Enterococcus_durans	0
Enterococcus_faecalis	0
Enterococcus_faecium	0
Enterococcus_hirae	0
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erythroparvovirus	0
Escherichia_coli	4
Escherichia_coli_O111	0
Escherichia_coli_O145	2
Escherichia_coli_O157:H7	0
Escherichia_coli_O19	1
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	9
Fusobacterium_canifelinum	3
Fusobacterium_hwasookii	1
Fusobacterium_nucleatum	8
Fusobacterium_nucleatum_subsp._animalis	9
Fusobacterium_nucleatum_subsp._animalis_21_1A	3
Fusobacterium_nucleatum_subsp._animalis_7_1	1
Fusobacterium_nucleatum_subsp._nucleatum	1
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	1
Fusobacterium_nucleatum_subsp._vincentii	2
Fusobacterium_nucleatum_subsp._vincentii_3_1_27	5
Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8	1
Fusobacterium_sp._oral_taxon_203	3
Goatpox_virus	0
Haemophilus_influenzae	0
Helicobacter_cinaedi	0
Helicobacter_pylori	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	0
