Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	1	1	1	1	Off	Off
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	1	1	4	4	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	20	20	22	22	Off	Off
Bordetella_bronchiseptica	5	5	8	8	Off	Off
Bordetella_genomosp._13	23	23	23	23	Off	Off
Bordetella_pertussis	4	4	62	62	Off	Off
Bordetella_pertussis_137	2	2	9	9	Off	Off
Bordetella_petrii	9	9	9	9	Off	Off
Bordetella_trematum	12	12	16	16	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	19	19	23	23	Off	Off
Burkholderia_cepacia_ATCC_25416	2	2	12	12	Off	Off
Burkholderia_cepacia_JBK9	7	7	7	7	Off	Off
Burkholderia_gladioli	33	33	85	85	Off	Off
Burkholderia_gladioli_BSR3	13	13	18	18	Off	Off
Burkholderia_gladioli_pv._gladioli	42	42	83	83	Off	Off
Burkholderia_mallei	1	1	1	1	Off	Off
Burkholderia_multivorans	16	16	34	34	Off	Off
Burkholderia_multivorans_ATCC_17616	4	4	11	11	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	9	9	20	20	Off	Off
