Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	1	1	1	1	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	1	1	1	1	Off	Off
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	15	15	15	15	Off	Off
Bordetella_bronchiseptica	4	4	8	8	Off	Off
Bordetella_genomosp._13	21	21	21	21	Off	Off
Bordetella_pertussis	5	5	57	57	Off	Off
Bordetella_petrii	13	13	13	13	Off	Off
Bordetella_trematum	10	10	16	16	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	16	16	23	23	Off	Off
Burkholderia_cepacia_ATCC_25416	7	7	20	20	Off	Off
Burkholderia_cepacia_JBK9	5	5	5	5	Off	Off
Burkholderia_gladioli	28	28	75	75	Off	Off
Burkholderia_gladioli_BSR3	10	10	18	18	Off	Off
Burkholderia_gladioli_pv._gladioli	17	17	49	49	Off	Off
Burkholderia_mallei	0	0	0	0	na	na
Burkholderia_multivorans	19	19	56	56	Off	Off
Burkholderia_multivorans_ATCC_17616	5	5	11	11	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	7	7	20	20	Off	Off
Burkholderia_pseudomallei	13	13	41	41	Off	Off
Burkholderia_pseudomallei_7894	1	1	8	8	Off	Off
