Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	6	6	6	6	Off	Off
Bordetella_bronchiseptica	4	4	4	4	Off	Off
Bordetella_genomosp._13	8	8	8	8	Off	Off
Bordetella_pertussis	1	1	9	9	Off	Off
Bordetella_pertussis_137	1	1	9	9	Off	Off
Bordetella_petrii	2	2	2	2	Off	Off
Bordetella_trematum	2	2	4	4	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	10	10	13	13	Off	Off
Burkholderia_cepacia_ATCC_25416	2	2	8	8	Off	Off
Burkholderia_cepacia_JBK9	2	2	2	2	Off	Off
Burkholderia_gladioli	8	8	26	26	Off	Off
Burkholderia_gladioli_BSR3	2	2	4	4	Off	Off
Burkholderia_gladioli_pv._gladioli	8	8	21	21	Off	Off
Burkholderia_mallei	1	1	1	1	Off	Off
Burkholderia_multivorans	9	9	24	24	Off	Off
Burkholderia_multivorans_ATCC_17616	1	1	2	2	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	2	2	6	6	Off	Off
Burkholderia_pseudomallei	9	9	35	35	Off	Off
Burkholderia_pseudomallei_B03	1	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR1153	1	1	3	3	Off	Off
Burkholderia_pseudomallei_MSHR346	1	1	2	2	Off	Off
Burkholderia_pseudomallei_NCTC_13179	6	6	8	8	Off	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	0	0	0	0	na	na
Campylobacter_showae	0	0	0	0	na	na
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
