Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	0	0	0	0	na	na
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	7	7	7	7	Off	Off
Bordetella_bronchiseptica	5	5	6	6	Off	Off
Bordetella_genomosp._13	16	16	17	17	Off	Off
Bordetella_pertussis	2	2	33	33	Off	Off
Bordetella_pertussis_18323	1	1	4	4	Off	Off
Bordetella_petrii	7	7	7	7	Off	Off
Bordetella_trematum	8	8	12	12	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	1	1	1	1	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	8	8	12	12	Off	Off
Burkholderia_cepacia_ATCC_25416	2	2	10	10	Off	Off
Burkholderia_cepacia_JBK9	4	4	4	4	Off	Off
Burkholderia_gladioli	20	20	64	64	Off	Off
Burkholderia_gladioli_BSR3	4	4	6	6	Off	Off
Burkholderia_gladioli_pv._gladioli	21	21	58	58	Off	Off
Burkholderia_mallei	3	3	3	3	Off	Off
Burkholderia_multivorans	12	12	22	22	Off	Off
Burkholderia_multivorans_ATCC_17616	1	1	7	7	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	10	10	26	26	Off	Off
Burkholderia_pseudomallei	7	7	47	47	Off	Off
Burkholderia_pseudomallei_1106b	2	2	2	2	Off	Off
Burkholderia_pseudomallei_7894	1	1	2	2	Off	Off
Burkholderia_pseudomallei_MSHR1153	1	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR2543	1	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR346	3	3	6	6	Off	Off
Burkholderia_pseudomallei_MSHR435	2	2	6	6	Off	Off
Burkholderia_pseudomallei_NCTC_13179	1	1	1	1	Off	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	0	0	0	0	na	na
