Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	NA	0	0	0	0	0
Actinobacillus_pleuropneumoniae	NA	0	0	0	0	0
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	Arcanobacterium_haemolyticum	1	1	1	1	1986154
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Bartonella_quintana_RM-11	Bartonella_quintana	1	1	1	1	1650124
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	1	3	3	3	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	1	2	2	2	5205646
Bordetella_genomosp._13	Bordetella_genomosp._13	1	4	4	4	5380929
Bordetella_pertussis	Bordetella_pertussis	1	2	2	2	4105067
Bordetella_pertussis_137	Bordetella_pertussis	1	1	1	1	4113052
Bordetella_petrii	Bordetella_petrii	1	6	6	7	5287950
Bordetella_trematum	Bordetella_trematum	1	3	3	3	4480141
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	1	2	2	2	1397783
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	1	1	1	1	3790084
Burkholderia_gladioli	Burkholderia_gladioli	1	3	3	3	4272194
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	1	4	4	4	4209407
Burkholderia_mallei	NA	0	0	0	0	0
Burkholderia_multivorans	Burkholderia_multivorans	1	3	3	3	2365865
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans	1	1	1	1	3603686
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	1	1	1	1	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei	1	2	2	2	3269674
Burkholderia_pseudomallei_NCTC_13179	Burkholderia_pseudomallei	1	1	1	1	4056147
