Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	47.0	46.99999999999999	47.0	0.0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Bartonella_quintana_RM-11	38.0	37.99999999999999	38.0	0.0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	39.0	38.885925700147695	40.0	3.605551275463989
Bordetella_bronchiseptica	45.714285714285715	44.96739611688726	45.0	8.90157824422699
Bordetella_genomosp._13	44.25	43.88839322756783	43.5	6.601767440112787
Bordetella_pertussis	42.0	40.613460233220835	35.0	13.892443989449804
Bordetella_pertussis_137	42.0	42.00000000000001	42.0	0.0
Bordetella_petrii	47.714285714285715	43.95505993815044	34.0	23.732637764018044
Bordetella_trematum	48.75	47.16668722498056	50.0	14.0089257261219
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	40.9	40.388644508550726	41.0	6.919376979018976
Burkholderia_cepacia_JBK9	32.5	32.46536616149586	32.5	2.1213203435596424
Burkholderia_gladioli	47.6	47.19799041631821	43.0	7.092249290598858
Burkholderia_gladioli_pv._gladioli	40.714285714285715	39.95174310688962	37.0	8.673989580239027
Burkholderia_mallei	0	0	0	0
Burkholderia_multivorans	46.0	44.23001164482014	44.0	15.481171359644161
Burkholderia_multivorans_ATCC_17616	71.0	71.0	71.0	0.0
Burkholderia_multivorans_ATCC_BAA-247	46.0	46.0	46.0	0.0
Burkholderia_pseudomallei	48.0	46.32101541231851	46.0	14.51895313030523
Burkholderia_pseudomallei_NCTC_13179	77.0	77.00000000000001	77.0	0.0
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	39.0	38.99999999999999	39.0	0.0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	45.0	44.99999999999999	45.0	0.0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	34.0	34.00000000000001	34.0	0.0
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	40.0	40.0	40.0	0.0
Corynebacterium_diphtheriae_HC03	36.0	36.0	36.0	0.0
Corynebacterium_jeikeium	0	0	0	0
Corynebacterium_kroppenstedtii	42.0	42.00000000000001	42.0	0.0
Corynebacterium_kroppenstedtii_DSM_44385	37.0	36.99999999999999	37.0	0.0
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	39.0	38.79432948254164	39.0	5.656854249492381
Corynebacterium_matruchotii	0	0	0	0
Corynebacterium_minutissimum	0	0	0	0
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	36.0	36.0	36.0	0.0
Corynebacterium_segmentosum	58.0	57.999999999999986	58.0	0.0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	40.0	39.29001168877294	37.5	8.390470785361213
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	48.0	48.00000000000001	48.0	0.0
Corynebacterium_urealyticum	55.0	55.000000000000014	55.0	0.0
Corynebacterium_ureicelerivorans	32.0	32.0	32.0	0.0
Corynebacterium_xerosis	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	47.0	46.99999999999999	47.0	0.0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	43.5	43.34934569699422	44.0	4.123105625617661
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Fusobacterium	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	0	0	0	0
Helicobacter_cinaedi	0	0	0	0
Helicobacter_pylori	0	0	0	0
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_5	0	0	0	0
Human_adenovirus_54	0	0	0	0
Human_adenovirus_7	0	0	0	0
Human_alphaherpesvirus_1	0	0	0	0
Human_alphaherpesvirus_2	0	0	0	0
Human_alphaherpesvirus_3	0	0	0	0
Human_gammaherpesvirus_4	0	0	0	0
Human_herpesvirus_4_type_2	0	0	0	0
Human_mastadenovirus_C	0	0	0	0
JC_polyomavirus	0	0	0	0
Klebsiella_aerogenes	43.0	43.0	43.0	0.0
