Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	57.583333333333336	55.37549357134869	53.5	19.180758982676238
Bordetella_bronchiseptica	45.0	43.99450378102458	44.0	10.639548862616309
Bordetella_genomosp._13	52.46153846153846	50.600824193481834	49.0	15.360204993290209
Bordetella_pertussis	64.0	62.86493458200683	64.0	16.97056274847714
Bordetella_pertussis_137	41.0	41.00000000000001	41.0	0.0
Bordetella_pertussis_18323	71.0	71.0	71.0	0.0
Bordetella_petrii	50.888888888888886	49.564441762528304	58.0	12.077297342994877
Bordetella_trematum	45.875	45.240892672096734	46.5	8.339878382121135
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	49.526315789473685	48.134392897570386	48.0	12.685811939383443
Burkholderia_cepacia_ATCC_25416	72.5	72.11102550927973	72.5	10.606601717798213
Burkholderia_cepacia_JBK9	56.333333333333336	56.2327683843602	55.0	4.163331998932266
Burkholderia_gladioli	56.458333333333336	53.92108716280714	54.0	19.368237482755262
Burkholderia_gladioli_BSR3	52.0	49.6892930958998	47.0	19.467922333931785
Burkholderia_gladioli_pv._gladioli	45.63157894736842	45.17383030111133	45.0	6.626634191032004
Burkholderia_mallei	0	0	0	0
Burkholderia_mallei_NCTC_10247	38.0	37.99999999999999	38.0	0.0
Burkholderia_multivorans	55.857142857142854	54.04415596507995	53.0	16.467058667655895
Burkholderia_multivorans_ATCC_17616	56.625	55.187390178330304	54.0	13.437022416762257
Burkholderia_multivorans_ATCC_BAA-247	65.33333333333333	63.46957436324843	64.0	19.03505538035898
Burkholderia_pseudomallei	51.5	50.66441471787533	51.5	9.834745661287954
Burkholderia_pseudomallei_1106b	97.0	97.0	97.0	0.0
Burkholderia_pseudomallei_MSHR1153	37.0	36.99999999999999	37.0	0.0
Burkholderia_pseudomallei_MSHR2543	64.0	63.99999999999998	64.0	0.0
Burkholderia_pseudomallei_MSHR435	48.666666666666664	48.55094374276268	51.0	4.041451884327381
Burkholderia_pseudomallei_NCTC_13179	60.0	59.999999999999986	60.0	0.0
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	44.333333333333336	44.28601555713982	44.0	2.516611478423583
Corynebacterium_crudilactis	35.0	34.99999999999999	35.0	0.0
Corynebacterium_diphtheriae	0	0	0	0
Corynebacterium_diphtheriae_HC04	58.0	57.999999999999986	58.0	0.0
Corynebacterium_jeikeium	46.0	46.0	46.0	0.0
Corynebacterium_kroppenstedtii	43.5	43.428101501216936	43.5	3.5355339059327378
Corynebacterium_kroppenstedtii_DSM_44385	61.0	61.00000000000001	61.0	0.0
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	39.0	38.99999999999999	39.0	0.0
Corynebacterium_matruchotii	54.0	54.00000000000001	54.0	0.0
Corynebacterium_minutissimum	41.0	41.00000000000001	41.0	0.0
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	41.0	41.00000000000001	41.0	0.0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	47.375	45.09321828083747	39.0	17.638735782362634
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	0	0	0	0
Corynebacterium_urealyticum	43.333333333333336	43.26036371641832	44.0	3.055050463303893
Corynebacterium_ureicelerivorans	44.0	43.99999999999999	44.0	0.0
Corynebacterium_xerosis	37.5	37.41657386773941	37.5	3.5355339059327378
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Coxiella_burnetii_str._Schperling	48.0	47.48684028233507	48.0	9.899494936611665
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	55.0	55.000000000000014	55.0	0.0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	57.0	57.00000000000001	57.0	0.0
Enterococcus_faecalis_R712	45.0	44.99999999999999	45.0	0.0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	44.0	43.99999999999999	44.0	0.0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	57.46153846153846	54.83511768394615	56.0	17.510070362581757
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	59.0	59.000000000000014	59.0	0.0
Fusobacterium	0	0	0	0
