Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	50.0	49.99999999999999	50.0	0.0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	41.0	41.00000000000001	41.0	0.0
Bartonella_henselae	33.0	33.0	33.0	0.0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	45.904761904761905	45.00280440604587	43.0	9.390978446917881
Bordetella_bronchiseptica	45.80952380952381	45.314321064013114	47.0	6.8528756563872335
Bordetella_genomosp._13	45.911764705882355	44.93346187420065	43.0	9.949471272868005
Bordetella_pertussis	48.5	48.051674307780495	48.5	7.593857166596345
Bordetella_pertussis_137	37.0	36.99999999999999	37.0	0.0
Bordetella_pertussis_18323	36.0	36.0	36.0	0.0
Bordetella_petrii	49.625	48.268563159218424	48.0	12.888625476235497
Bordetella_trematum	42.23076923076923	41.60773370834307	42.0	7.584565974770147
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	78.0	78.0	78.0	0.0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	47.0	46.018384872759015	46.0	9.848857801796104
Burkholderia_cepacia_ATCC_25416	43.5	42.787119046356494	41.5	9.327379053088816
Burkholderia_cepacia_JBK9	48.7	46.81881701802512	45.5	16.06272427426653
Burkholderia_gladioli	45.23809523809524	43.958659492229124	43.0	11.308985255225316
Burkholderia_gladioli_BSR3	48.7	47.4916168368199	44.5	12.302212989720363
Burkholderia_gladioli_pv._gladioli	48.4375	46.68064602114303	44.5	14.17805653938658
Burkholderia_mallei	0	0	0	0
Burkholderia_multivorans	42.03225806451613	41.64015554696939	41.0	5.850833963164238
Burkholderia_multivorans_ATCC_17616	46.666666666666664	45.578862852510646	44.0	10.88577052853862
Burkholderia_multivorans_ATCC_BAA-247	44.4	43.30382647353997	41.0	11.371015785759864
Burkholderia_pseudomallei	46.92857142857143	46.156312966454664	45.0	9.351793622404418
Burkholderia_pseudomallei_1710a	46.0	46.0	46.0	0.0
Burkholderia_pseudomallei_1710b	70.0	70.00000000000003	70.0	0.0
Burkholderia_pseudomallei_MSHR2543	35.0	34.99999999999999	35.0	0.0
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	40.0	40.0	40.0	0.0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	30.0	30.000000000000004	30.0	0.0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	43.25	42.95701168450933	45.5	5.560275772537426
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	39.5	39.34463114581201	39.5	4.949747468305833
Corynebacterium_diphtheriae_HC03	48.0	48.00000000000001	48.0	0.0
Corynebacterium_diphtheriae_HC04	43.5	43.26661530556788	43.5	6.363961030678928
Corynebacterium_jeikeium	0	0	0	0
Corynebacterium_kroppenstedtii	0	0	0	0
Corynebacterium_kroppenstedtii_DSM_44385	60.0	59.999999999999986	60.0	0.0
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	44.333333333333336	42.470891255638676	38.0	16.441816606851365
Corynebacterium_matruchotii	39.0	38.99999999999999	39.0	0.0
Corynebacterium_minutissimum	0	0	0	0
Corynebacterium_pseudotuberculosis	33.0	33.0	33.0	0.0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	30.0	30.000000000000004	30.0	0.0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	40.0	39.508515588223176	40.5	7.164728420068226
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	42.0	42.00000000000001	42.0	0.0
Corynebacterium_urealyticum	63.0	62.99999999999999	63.0	0.0
Corynebacterium_ureicelerivorans	45.0	44.2594859806217	50.0	9.539392014169456
Corynebacterium_xerosis	44.0	43.99999999999999	44.0	0.0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	45.0	44.99999999999999	45.0	0.0
Enterococcus_cecorum	43.0	43.0	43.0	0.0
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	49.0	48.99999999999999	49.0	0.0
Enterococcus_faecalis_R712	37.0	36.99999999999999	37.0	0.0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	42.0	42.00000000000001	42.0	0.0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	57.5	54.4426303552648	57.5	26.16295090390226
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Fusobacterium	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	0	0	0	0
Helicobacter_cinaedi	0	0	0	0
