Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	NA	0	0	0	0	0
Actinobacillus_pleuropneumoniae	NA	0	0	0	0	0
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	1	9	9	9	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	1	2	2	2	5081368
Bordetella_genomosp._13	Bordetella_genomosp._13	1	4	4	5	5380929
Bordetella_pertussis	Bordetella_pertussis	1	4	4	4	4314502
Bordetella_pertussis_18323	Bordetella_pertussis	1	1	1	1	4110562
Bordetella_petrii	Bordetella_petrii	1	8	8	8	5287950
Bordetella_trematum	Bordetella_trematum	1	1	1	1	4480141
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	1	3	3	3	3539936
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	1	3	3	3	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	1	2	2	2	3790084
Burkholderia_gladioli	Burkholderia_gladioli	1	4	4	4	4450890
Burkholderia_gladioli_BSR3	Burkholderia	1	1	1	1	4194401
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	1	3	3	3	4668533
Burkholderia_mallei	Burkholderia_mallei	1	2	2	2	3531732
Burkholderia_multivorans	Burkholderia_multivorans	1	5	5	5	3330593
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	1	3	3	3	3448421
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	1	2	2	2	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei_1710b	1	1	1	1	3181762
