Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	51.833333333333336	50.61884139965035	51.0	12.22156563892968
Bordetella_bronchiseptica	52.75	51.47699978422195	53.0	13.250786140200638
Bordetella_genomosp._13	48.0	47.537683003244624	48.0	6.718843437888484
Bordetella_pertussis	57.0	57.00000000000001	57.0	0.0
Bordetella_pertussis_137	50.0	49.99999999999999	50.0	0.0
Bordetella_petrii	41.5	41.47288270665544	41.5	2.1213203435596424
Bordetella_trematum	46.0	45.902069670114	46.0	4.242640687119285
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	47.3	46.90182155781107	48.0	6.412661087428699
Burkholderia_cepacia_ATCC_25416	43.5	43.47413023856831	43.5	2.1213203435596424
Burkholderia_cepacia_JBK9	45.5	45.4972526643093	45.5	0.7071067811865476
Burkholderia_gladioli	46.75	46.11572059297525	48.0	8.172252705693474
Burkholderia_gladioli_BSR3	46.5	46.36809247747851	46.5	4.949747468305833
Burkholderia_gladioli_pv._gladioli	46.375	45.99323967062894	44.5	6.696214282285605
Burkholderia_mallei	36.0	36.0	36.0	0.0
Burkholderia_multivorans	43.55555555555556	42.52552220402171	42.0	10.666666666666666
Burkholderia_multivorans_ATCC_17616	45.0	44.99999999999999	45.0	0.0
Burkholderia_multivorans_ATCC_BAA-247	53.5	53.21653878260031	53.5	7.7781745930520225
Burkholderia_pseudomallei	43.44444444444444	42.93104845635586	42.0	7.090682462060882
Burkholderia_pseudomallei_B03	47.0	46.99999999999999	47.0	0.0
Burkholderia_pseudomallei_MSHR1153	39.0	38.99999999999999	39.0	0.0
Burkholderia_pseudomallei_MSHR346	44.0	43.99999999999999	44.0	0.0
Burkholderia_pseudomallei_NCTC_13179	40.333333333333336	40.09497465877012	39.5	4.844240566555987
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	42.0	42.00000000000001	42.0	0.0
Corynebacterium_amycolatum	33.0	33.0	33.0	0.0
Corynebacterium_bovis	37.5	37.496666518505336	37.5	0.7071067811865476
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	44.0	43.99999999999999	44.0	0.0
Corynebacterium_jeikeium	39.5	39.42080668885405	39.5	3.5355339059327378
Corynebacterium_jeikeium_K411	31.0	31.0	31.0	0.0
Corynebacterium_kroppenstedtii	0	0	0	0
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	50.666666666666664	50.06125825121636	51.0	9.504384952922168
Corynebacterium_matruchotii	41.5	40.14971979976948	41.5	14.849242404917497
Corynebacterium_minutissimum	38.333333333333336	38.00923136757722	39.0	6.027713773341708
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	43.0	43.0	43.0	0.0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	42.76190476190476	42.14834019931358	40.0	7.402058915631258
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	43.75	42.95436222499172	41.0	10.04572877727976
Corynebacterium_urealyticum	47.0	46.99999999999999	47.0	0.0
Corynebacterium_ureicelerivorans	45.666666666666664	45.62694493491573	47.0	2.309401076758503
Corynebacterium_xerosis	35.75	35.63438556396861	36.0	3.304037933599835
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	30.0	30.000000000000004	30.0	0.0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	47.333333333333336	46.59539646171542	48.0	8.602325267042627
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Fusobacterium	0	0	0	0
Fusobacterium_necrophorum_subsp._funduliforme	35.0	34.99999999999999	35.0	0.0
Fusobacterium_nucleatum	0	0	0	0
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	0	0	0	0
Helicobacter_cinaedi	0	0	0	0
Helicobacter_pylori	45.0	44.98888751680798	45.0	1.4142135623730951
Helicobacter_pylori_SS1	41.0	41.00000000000001	41.0	0.0
Helicobacter_pylori_Shi112	30.0	30.000000000000004	30.0	0.0
Hepatitis_B_virus	0	0	0	0
