Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	74.0	74.00000000000003	74.0	0.0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	41.5	41.424630354415946	41.5	3.5355339059327378
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	41.0	41.00000000000001	41.0	0.0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	43.733333333333334	42.827007158034576	40.0	9.300281613759774
Bordetella_bronchiseptica	45.81818181818182	45.13896123747783	44.0	8.20753534038303
Bordetella_genomosp._13	45.1764705882353	43.83553712880413	44.0	11.865050011049506
Bordetella_pertussis	46.5	45.76238398907599	43.5	10.016652800877813
Bordetella_pertussis_137	58.0	57.999999999999986	58.0	0.0
Bordetella_pertussis_18323	40.0	40.0	40.0	0.0
Bordetella_petrii	49.84615384615385	48.893297068336814	48.0	10.478916561729667
Bordetella_trematum	39.4	39.04661544914673	37.0	6.18869937870632
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	47.0	46.99999999999999	47.0	0.0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	46.0	46.0	46.0	0.0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Brucella_suis_bv._2	38.0	37.99999999999999	38.0	0.0
Burkholderia_cepacia	41.3125	40.58413017733	42.0	8.014310117949433
Burkholderia_cepacia_ATCC_25416	45.5	44.47509879700263	46.0	10.464224768228174
Burkholderia_cepacia_JBK9	41.5	41.47288270665544	41.5	2.1213203435596424
Burkholderia_gladioli	45.06666666666667	44.03304134491555	42.0	10.856218092151973
Burkholderia_gladioli_BSR3	41.36363636363637	40.739459042326615	43.0	7.311261550139309
Burkholderia_gladioli_pv._gladioli	42.5	41.694576422609344	40.0	9.157510578754469
Burkholderia_mallei	40.333333333333336	40.12129846193192	39.0	5.131601439446884
Burkholderia_mallei_NCTC_10247	38.0	37.99999999999999	38.0	0.0
Burkholderia_multivorans	40.473684210526315	40.11372060868352	40.0	5.8344610438766855
Burkholderia_multivorans_ATCC_17616	39.166666666666664	38.86393323079021	38.5	5.344779384283945
Burkholderia_multivorans_ATCC_BAA-247	40.4	40.205311513260746	42.0	4.33589667773576
Burkholderia_pseudomallei	43.28	42.716136703166015	42.0	7.357082755186777
Burkholderia_pseudomallei_7894	40.0	40.0	40.0	0.0
Burkholderia_pseudomallei_MSHR1153	42.0	42.00000000000001	42.0	0.0
Burkholderia_pseudomallei_NCTC_13179	61.0	59.808026217222725	61.0	16.97056274847714
Campylobacter_coli	37.0	36.99999999999999	37.0	0.0
Campylobacter_fetus	0	0	0	0
Campylobacter_fetus_subsp._venerealis_NCTC_10354	44.0	43.99999999999999	44.0	0.0
Campylobacter_gracilis	40.5	40.42276586281546	40.5	3.5355339059327378
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	43.57142857142857	43.33515291286678	41.0	4.961758520831865
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	34.111111111111114	33.92069755909633	32.0	3.8873012632302
Corynebacterium_diphtheriae_HC03	44.666666666666664	44.51327298382971	42.0	4.618802153517007
Corynebacterium_jeikeium	46.0	45.74369108859654	43.0	6.082762530298219
Corynebacterium_jeikeium_K411	39.4	38.704366633546684	35.0	8.44393273303382
Corynebacterium_kroppenstedtii	42.5	41.93494579485395	42.0	7.556454194925025
Corynebacterium_kroppenstedtii_DSM_44385	34.0	34.00000000000001	34.0	0.0
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	42.888888888888886	42.3460669187271	42.0	7.6394444242438935
Corynebacterium_matruchotii	41.0	41.00000000000001	41.0	0.0
Corynebacterium_minutissimum	31.0	31.0	31.0	0.0
Corynebacterium_pseudotuberculosis	36.5	36.22154055254966	36.5	6.363961030678928
Corynebacterium_pseudotuberculosis_Cp162	43.0	43.0	43.0	0.0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	41.54347826086956	40.96470364775037	40.0	7.470554112243706
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	44.285714285714285	43.795986441453245	47.0	6.8729975438737965
Corynebacterium_urealyticum	42.75	42.44525049425772	43.0	5.852349955359813
Corynebacterium_ureicelerivorans	42.125	41.57115904194833	43.0	7.395703385846986
Corynebacterium_xerosis	43.666666666666664	42.27933542431145	39.0	13.518505834595773
Cowpox_virus	0	0	0	0
Coxiella_burnetii	38.0	37.99999999999999	38.0	0.0
Coxiella_burnetii_str._Schperling	57.0	57.00000000000001	57.0	0.0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	42.0	42.00000000000001	42.0	0.0
Erythroparvovirus	0	0	0	0
Escherichia_coli	54.05263157894737	51.99106764490856	49.0	15.565180814920513
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O145_str._RM9872	39.0	38.99999999999999	39.0	0.0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Fusobacterium	43.0	43.0	43.0	0.0
Fusobacterium_necrophorum	31.0	31.0	31.0	0.0
Fusobacterium_nucleatum	0	0	0	0
Fusobacterium_nucleatum_subsp._animalis_21_1A	47.0	46.99999999999999	47.0	0.0
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	51.0	51.0	51.0	0.0
Helicobacter_cinaedi	43.0	43.0	43.0	0.0
Helicobacter_pylori	39.0	38.87143554016413	39.0	3.5355339059327378
Helicobacter_pylori_OK113	53.0	53.00000000000001	53.0	0.0
Helicobacter_pylori_oki422	51.0	51.0	51.0	0.0
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_5	0	0	0	0
Human_adenovirus_54	0	0	0	0
Human_adenovirus_7	0	0	0	0
Human_alphaherpesvirus_1	0	0	0	0
Human_alphaherpesvirus_2	0	0	0	0
Human_alphaherpesvirus_3	0	0	0	0
Human_gammaherpesvirus_4	0	0	0	0
Human_herpesvirus_4_type_2	0	0	0	0
Human_mastadenovirus_C	0	0	0	0
JC_polyomavirus	0	0	0	0
Klebsiella_aerogenes	39.0	38.45583057566106	40.5	7.3484692283495345
Klebsiella_aerogenes_EA1509E	38.25	38.10251486901273	38.5	3.8622100754188224
Klebsiella_michiganensis	41.2	40.75809888603202	40.0	6.723094525588644
Klebsiella_oxytoca	44.0	43.877589289128174	44.5	3.7416573867739413
Klebsiella_pneumoniae	37.0	36.8702306132455	38.0	3.286335345030997
Klebsiella_pneumoniae_subsp._pneumoniae	35.5	35.4964786985977	35.5	0.7071067811865476
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0	0	0	0
Legionella_anisa	52.0	51.380930314660496	52.0	11.313708498984761
Legionella_lansingensis	0	0	0	0
Legionella_pneumophila	41.0	40.70430402894429	40.5	5.715476066494082
Legionella_pneumophila_subsp._fraseri	41.0	41.00000000000001	41.0	0.0
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	46.0	46.0	46.0	0.0
Leptospira_alexanderi	0	0	0	0
Leptospira_alstonii	0	0	0	0
Leptospira_biflexa	0	0	0	0
Leptospira_biflexa_serovar_Patoc	44.0	43.99999999999999	44.0	0.0
Leptospira_borgpetersenii	39.0	38.99999999999999	39.0	0.0
Leptospira_broomii	0	0	0	0
Leptospira_fainei	0	0	0	0
Leptospira_inadai	0	0	0	0
Leptospira_interrogans	62.0	62.00000000000001	62.0	0.0
Leptospira_kirschneri	0	0	0	0
Leptospira_kmetyi	42.666666666666664	42.2576751575838	44.0	7.094598884597588
Leptospira_licerasiae	0	0	0	0
Leptospira_noguchii	0	0	0	0
Leptospira_santarosai	0	0	0	0
Leptospira_santarosai_serovar_Shermani_str._LT_821	42.0	42.00000000000001	42.0	0.0
Leptospira_weilii	42.5	41.64132562731402	42.5	12.020815280171307
Leptospira_wolffii	0	0	0	0
Listeria_monocytogenes	0	0	0	0
Lumpy_skin_disease_virus	0	0	0	0
