Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	3	1	1	1	Off	Off
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1	0	0	0	On	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	7	0	0	0	On	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	1	0	0	0	On	Off
Bartonella_quintana_RM-11	1	0	0	0	On	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	271	27	27	27	Off	Off
Bordetella_bronchiseptica	161	16	24	24	Off	Off
Bordetella_genomosp._13	301	49	49	49	Off	Off
Bordetella_pertussis	75	9	60	60	Off	Off
Bordetella_pertussis_137	17	1	10	10	Off	Off
Bordetella_pertussis_18323	8	1	5	5	Off	Off
Bordetella_petrii	214	42	42	42	Off	Off
Bordetella_trematum	184	24	39	39	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_crocidurae_DOU	1	0	0	0	On	Off
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	2	0	0	0	On	Off
Brucella_abortus_bv._6_str._870	5	0	0	0	On	Off
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	2	0	0	0	On	Off
Brucella_melitensis_bv._2_str._63/9	4	2	6	6	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_microti_CCM_4915	2	0	0	0	On	Off
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	7	3	6	6	Off	Off
Brucella_suis	2	2	2	2	Off	Off
Brucella_suis_bv._2	2	0	0	0	On	Off
Burkholderia_cepacia	294	41	66	66	Off	Off
Burkholderia_cepacia_ATCC_25416	112	17	96	96	Off	Off
Burkholderia_cepacia_JBK9	111	10	10	10	Off	Off
Burkholderia_gladioli	505	65	201	201	Off	Off
Burkholderia_gladioli_BSR3	124	13	22	22	Off	Off
Burkholderia_gladioli_pv._gladioli	429	61	167	167	Off	Off
Burkholderia_mallei	16	4	10	10	Off	Off
Burkholderia_mallei_NCTC_10229	2	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	3	1	3	3	Off	Off
Burkholderia_multivorans	557	74	204	204	Off	Off
Burkholderia_multivorans_ATCC_17616	155	15	42	42	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	150	11	17	17	Off	Off
Burkholderia_pseudomallei	216	25	87	87	Off	Off
Burkholderia_pseudomallei_1106b	8	0	0	0	On	Off
Burkholderia_pseudomallei_1710a	1	1	4	4	Off	Off
Burkholderia_pseudomallei_1710b	2	0	0	0	On	Off
Burkholderia_pseudomallei_7894	2	0	0	0	On	Off
Burkholderia_pseudomallei_B03	16	1	7	7	Off	Off
Burkholderia_pseudomallei_MSHR1153	14	3	6	6	Off	Off
Burkholderia_pseudomallei_MSHR2543	7	2	14	14	Off	Off
