Node	NumberOfAssignedReads
Actinobacillus_equuli	27
Actinobacillus_pleuropneumoniae	63
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	14
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	13
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	9
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	14
Aspergillus_fumigatus	0
Bartonella_bacilliformis	2
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	49
Bordetella_bronchiseptica	32
Bordetella_genomosp._13	38
Bordetella_pertussis	12
Bordetella_pertussis_137	4
Bordetella_pertussis_18323	2
Bordetella_petrii	32
Bordetella_trematum	25
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	1
Brucella_suis	0
Burkholderia_cepacia	59
Burkholderia_cepacia_ATCC_25416	28
Burkholderia_cepacia_JBK9	26
Burkholderia_gladioli	79
Burkholderia_gladioli_BSR3	24
Burkholderia_gladioli_pv._gladioli	53
Burkholderia_mallei	4
Burkholderia_mallei_NCTC_10229	2
Burkholderia_mallei_NCTC_10247	1
Burkholderia_multivorans	112
Burkholderia_multivorans_ATCC_17616	33
Burkholderia_multivorans_ATCC_BAA-247	29
Burkholderia_pseudomallei	51
Burkholderia_pseudomallei_1106b	2
Burkholderia_pseudomallei_1710a	3
Burkholderia_pseudomallei_1710b	2
Burkholderia_pseudomallei_7894	6
Burkholderia_pseudomallei_B03	2
Burkholderia_pseudomallei_MSHR1153	1
Burkholderia_pseudomallei_MSHR2543	1
Burkholderia_pseudomallei_MSHR346	2
Burkholderia_pseudomallei_MSHR435	2
Burkholderia_pseudomallei_Pasteur_52237	2
Campylobacter_coli	0
Campylobacter_coli_RM1875	1
Campylobacter_fetus	0
Campylobacter_fetus_subsp._venerealis_str._84-112	1
Campylobacter_gracilis	5
Campylobacter_showae	14
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_caviae_GPIC	1
Chlamydia_felis	0
Chlamydia_muridarum	1
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	0
Corynebacterium_bovis	22
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	2
Corynebacterium_diphtheriae_HC03	2
Corynebacterium_diphtheriae_HC04	2
Corynebacterium_jeikeium	6
Corynebacterium_jeikeium_K411	6
Corynebacterium_kroppenstedtii	1
Corynebacterium_kroppenstedtii_DSM_44385	2
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	21
Corynebacterium_matruchotii	5
Corynebacterium_minutissimum	4
Corynebacterium_pseudotuberculosis	0
Corynebacterium_renale	4
Corynebacterium_segmentosum	0
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	48
Corynebacterium_stationis	2
Corynebacterium_striatum	3
Corynebacterium_urealyticum	11
Corynebacterium_ureicelerivorans	6
Corynebacterium_xerosis	24
Cowpox_virus	0
Coxiella_burnetii	0
Coxiella_burnetii_Dugway_5J108-111	1
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	2
Enterococcus_cecorum	5
Enterococcus_durans	0
Enterococcus_faecalis	1
Enterococcus_faecium	1
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	1
Enterococcus_hirae	0
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erythroparvovirus	0
Escherichia_coli	3
Escherichia_coli_ETEC_H10407	1
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	1004
Fusobacterium_canifelinum	242
Fusobacterium_gastrosuis	33
Fusobacterium_gonidiaformans_ATCC_25563	12
Fusobacterium_hwasookii	92
Fusobacterium_hwasookii_ChDC_F174	63
Fusobacterium_hwasookii_ChDC_F206	36
Fusobacterium_mortiferum_ATCC_9817	2
Fusobacterium_necrophorum	85
Fusobacterium_necrophorum_subsp._funduliforme	143
Fusobacterium_necrophorum_subsp._necrophorum	95
Fusobacterium_nucleatum	347
Fusobacterium_nucleatum_subsp._animalis	341
Fusobacterium_nucleatum_subsp._animalis_21_1A	38
Fusobacterium_nucleatum_subsp._animalis_4_8	44
Fusobacterium_nucleatum_subsp._animalis_7_1	57
Fusobacterium_nucleatum_subsp._nucleatum	58
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_23726	68
Fusobacterium_nucleatum_subsp._nucleatum_ChDC_F316	65
Fusobacterium_nucleatum_subsp._polymorphum	202
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	70
Fusobacterium_nucleatum_subsp._vincentii	106
Fusobacterium_nucleatum_subsp._vincentii_3_1_27	54
Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8	45
Fusobacterium_periodonticum	33
Fusobacterium_pseudoperiodonticum	107
Fusobacterium_sp._oral_taxon_203	70
Fusobacterium_ulcerans_ATCC_49185	7
Fusobacterium_varium_ATCC_27725	3
Goatpox_virus	0
Haemophilus_influenzae	21
Haemophilus_influenzae_10810	3
Haemophilus_influenzae_2019	1
Haemophilus_influenzae_F3031	1
Haemophilus_influenzae_F3047	1
Haemophilus_influenzae_KR494	2
Haemophilus_influenzae_R2866	1
Helicobacter_cinaedi	1
Helicobacter_pylori	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	4
Klebsiella_aerogenes_EA1509E	3
Klebsiella_michiganensis	5
Klebsiella_oxytoca	3
Klebsiella_pneumoniae	4
Klebsiella_pneumoniae_subsp._pneumoniae	2
Klebsiella_pneumoniae_subsp._pneumoniae_KPNIH27	1
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0
Legionella_anisa	0
Legionella_lansingensis	0
Legionella_pneumophila	1
Legionella_pneumophila_subsp._pneumophila	3
Leptospira_alexanderi	0
Leptospira_alstonii	0
Leptospira_biflexa	0
Leptospira_borgpetersenii	1
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	0
Leptospira_interrogans_serovar_Bataviae	1
Leptospira_kirschneri	0
Leptospira_kmetyi	0
Leptospira_licerasiae	0
Leptospira_noguchii	1
Leptospira_santarosai	0
Leptospira_santarosai_serovar_Shermani_str._LT_821	1
Leptospira_weilii	3
Leptospira_wolffii	0
Listeria_monocytogenes	1
Listeria_monocytogenes_HCC23	1
Listeria_monocytogenes_serotype_1/2a_str._08-7363	2
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	97
Mannheimia_haemolytica_D153	1
Mannheimia_haemolytica_USDA-ARS-USMARC-183	4
Mannheimia_haemolytica_USMARC_2286	4
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	0
Morbillivirus	0
Mycobacterium_avium	97
Mycobacterium_avium_subsp._avium	14
Mycobacterium_avium_subsp._hominissuis	32
Mycobacterium_avium_subsp._paratuberculosis	11
Mycobacterium_canettii	9
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	46
Mycobacterium_intracellulare	22
Mycobacterium_intracellulare_subsp._yongonense	19
Mycobacterium_kansasii	54
Mycobacterium_leprae	0
Mycobacterium_leprae_Kyoto-2	3
Mycobacterium_marseillense	16
Mycobacterium_sp._JS623	54
Mycobacterium_sp._YC-RL4	38
Mycobacterium_tuberculosis	28
Mycobacterium_tuberculosis_KZN_1435	10
Mycobacterium_tuberculosis_complex	16
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	38
Mycobacteroides_abscessus_subsp._abscessus	13
Mycobacteroides_abscessus_subsp._bolletii	2
Mycobacteroides_abscessus_subsp._bolletii_50594	2
Mycobacteroides_abscessus_subsp._massiliense	6
Mycobacteroides_abscessus_subsp._massiliense_CCUG_48898_=_JCM_15300	1
Mycoplasma_haemocanis	0
Mycoplasma_haemofelis	0
Mycoplasma_mycoides	0
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	1
Neisseria_elongata	0
Neisseria_gonorrhoeae	2
Neisseria_gonorrhoeae_NG-k51.05	1
Neisseria_meningitidis	2
Neisseria_meningitidis_LNP21362	1
Neisseria_meningitidis_M01-240355	1
Neisseria_meningitidis_MC58	2
Neisseria_mucosa	2
Neisseria_sicca	3
Neisseria_subflava	3
Neisseria_weaveri	3
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	322
Pasteurella_multocida	6
Pasteurella_multocida_subsp._multocida	8
Pasteurella_multocida_subsp._multocida_P1062	2
Pasteurella_multocida_subsp._multocida_str._3480	1
Pasteurella_multocida_subsp._septica	1
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	610
Porphyromonas_gingivalis_A7A1-28	11
Porphyromonas_gingivalis_AJW4	37
Porphyromonas_gingivalis_ATCC_33277	27
Porphyromonas_gingivalis_TDC60	34
Porphyromonas_gingivalis_W83	86
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_conorii	0
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	0
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	6
Salmonella_enterica_subsp._enterica	9
Salmonella_enterica_subsp._enterica_serovar_Agona	1
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Salmonella_enterica_subsp._enterica_serovar_Worthington	1
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	4
Staphylococcus_cohnii	0
Staphylococcus_epidermidis	12
