Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
African_swine_fever_virus	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
BK_virus_strain_AS	0	0	0	0	na	na
BK_virus_strain_GS	0	0	0	0	na	na
BK_virus_variant_RF	0	0	0	0	na	na
Bacillus_anthracis	1	0	0	0	On	Off
Bacillus_cereus	2	0	0	0	On	Off
Bacillus_cereus_AH1273	2	0	0	0	On	Off
Bacillus_cereus_Rock3-28	4	4	4	4	Off	Off
Bacillus_cereus_Rock3-44	2	0	0	0	On	Off
Bacillus_cereus_group	16	2	2	2	Off	Off
Bacillus_cytotoxicus	3	1	1	1	Off	Off
Bacillus_luti	1	0	0	0	On	Off
Bacillus_mycoides	10	2	2	2	Off	Off
Bacillus_nitratireducens	1	0	0	0	On	Off
Bacillus_pseudomycoides	14	1	1	1	Off	Off
Bacillus_pseudomycoides_DSM_12442	12	1	4	4	Off	Off
Bacillus_sp._HBCD-sjtu	2	1	1	1	Off	Off
Bacillus_thuringiensis	2	1	1	1	Off	Off
Bacillus_thuringiensis_HD-771	2	0	0	0	On	Off
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	2	0	0	0	On	Off
Bacillus_wiedmannii	10	2	2	2	Off	Off
Bartonella_bacilliformis	2	0	0	0	On	Off
Bartonella_henselae	4	0	0	0	On	Off
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	1	0	0	0	On	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella	486	72	474	474	Off	Off
Bordetella_avium_197N	29	6	6	6	Off	Off
Bordetella_bronchialis	134	18	18	18	Off	Off
Bordetella_bronchiseptica	108	12	20	20	Off	Off
Bordetella_flabilis	125	16	16	16	Off	Off
Bordetella_genomosp._13	177	14	14	14	Off	Off
Bordetella_genomosp._6	92	10	10	10	Off	Off
Bordetella_genomosp._8	107	8	8	8	Off	Off
Bordetella_genomosp._9	93	20	20	20	Off	Off
Bordetella_hinzii	180	17	23	23	Off	Off
Bordetella_holmesii	24	3	7	7	Off	Off
Bordetella_parapertussis	25	4	7	7	Off	Off
Bordetella_pertussis	50	5	43	43	Off	Off
Bordetella_pertussis_137	8	0	0	0	On	Off
Bordetella_pertussis_18323	8	3	12	12	Off	Off
Bordetella_petrii	115	16	16	16	Off	Off
Bordetella_pseudohinzii	97	7	8	8	Off	Off
Bordetella_sp._H567	132	10	10	10	Off	Off
Bordetella_sp._HZ20	0	0	0	0	na	na
Bordetella_sp._N	116	5	5	5	Off	Off
Bordetella_trematum	88	7	11	11	Off	Off
Borrelia	2	0	0	0	On	Off
Borrelia_anserina_BA2	1	1	1	1	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_hermsii	1	0	0	0	On	Off
Borrelia_miyamotoi	2	0	0	0	On	Off
Borrelia_recurrentis	0	0	0	0	na	na
Borrelia_sp._HM	1	0	0	0	On	Off
Borrelia_venezuelensis	1	0	0	0	On	Off
Borreliaceae	12	0	0	0	On	Off
Borreliella	4	0	0	0	On	Off
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	1	0	0	0	On	Off
Borreliella_garinii	0	0	0	0	na	na
Borreliella_valaisiana	1	0	0	0	On	Off
Borreliella_valaisiana_VS116	3	0	0	0	On	Off
Brucella	361	41	108	108	Off	Off
Brucella_abortus	5	2	2	2	Off	Off
Brucella_abortus_bv._6_str._870	3	0	0	0	On	Off
Brucella_canis	1	0	0	0	On	Off
Brucella_inopinata	8	2	2	2	Off	Off
Brucella_melitensis	1	0	0	0	On	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	9	0	0	0	On	Off
Brucella_pinnipedialis	0	0	0	0	na	na
Brucella_sp._09RB8471	7	0	0	0	On	Off
Brucella_sp._09RB8910	14	0	0	0	On	Off
Brucella_sp._10RB9215	8	0	0	0	On	Off
Brucella_sp._141012304	0	0	0	0	na	na
Brucella_sp._2280	3	0	0	0	On	Off
Brucella_sp._BO2	11	2	2	2	Off	Off
Brucella_suis	2	0	0	0	On	Off
Brucella_vulpis	0	0	0	0	na	na
Brucellaceae	1	0	0	0	On	Off
Burkholderia_cepacia	349	47	94	94	Off	Off
Burkholderia_cepacia_ATCC_25416	102	16	66	66	Off	Off
Burkholderia_cepacia_JBK9	135	12	13	13	Off	Off
Burkholderia_gladioli	624	55	172	172	Off	Off
Burkholderia_gladioli_BSR3	132	15	29	29	Off	Off
Burkholderia_gladioli_pv._gladioli	500	64	175	175	Off	Off
Burkholderia_mallei	13	2	4	4	Off	Off
Burkholderia_mallei_NCTC_10229	2	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	1	0	0	0	On	Off
Burkholderia_multivorans	591	84	307	307	Off	Off
Burkholderia_multivorans_ATCC_17616	144	13	41	41	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	174	21	58	58	Off	Off
Burkholderia_pseudomallei	239	25	103	103	Off	Off
Burkholderia_pseudomallei_1106b	3	0	0	0	On	Off
Burkholderia_pseudomallei_1710b	7	2	8	8	Off	Off
Burkholderia_pseudomallei_7894	17	4	28	28	Off	Off
Burkholderia_pseudomallei_B03	17	3	3	3	Off	Off
Burkholderia_pseudomallei_MSHR1153	12	2	3	3	Off	Off
Burkholderia_pseudomallei_MSHR2543	4	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR346	7	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR435	4	1	1	1	Off	Off
Burkholderia_pseudomallei_NCTC_13179	4	0	0	0	On	Off
Burkholderia_pseudomallei_Pasteur_52237	4	1	3	3	Off	Off
Burkholderia_sp._OLGA172	0	0	0	0	na	na
Campylobacter_coli	1	1	1	1	Off	Off
Campylobacter_gracilis	4	1	2	2	Off	Off
Campylobacter_showae	0	0	0	0	na	na
Candidatus_Borrelia_tachyglossi	1	0	0	0	On	Off
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	2	0	0	0	On	Off
Chlamydia_trachomatis	0	0	0	0	na	na
Clostridium	147	24	91	91	Off	Off
Clostridium_aceticum	4	0	0	0	On	Off
Clostridium_argentinense	7	1	1	1	Off	Off
Clostridium_baratii	7	0	0	0	On	Off
Clostridium_baratii_str._Sullivan	4	0	0	0	On	Off
Clostridium_beijerinckii	2	0	0	0	On	Off
Clostridium_beijerinckii_NRRL_B-598	2	2	3	3	Off	Off
Clostridium_bornimense	6	1	1	1	Off	Off
Clostridium_botulinum	10	0	0	0	On	Off
Clostridium_botulinum_202F	8	0	0	0	On	Off
Clostridium_botulinum_A	1	0	0	0	On	Off
Clostridium_botulinum_BKT015925	1	0	0	0	On	Off
Clostridium_botulinum_B_str._Eklund_17B_(NRP)	1	0	0	0	On	Off
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0	na	na
Clostridium_butyricum	17	2	7	7	Off	Off
Clostridium_cadaveris	6	1	1	1	Off	Off
Clostridium_cellulovorans_743B	1	0	0	0	On	Off
Clostridium_chauvoei	20	1	2	2	Off	Off
Clostridium_cochlearium	8	1	1	1	Off	Off
Clostridium_drakei	2	0	0	0	On	Off
Clostridium_estertheticum	0	0	0	0	na	na
Clostridium_estertheticum_subsp._estertheticum	8	1	1	1	Off	Off
Clostridium_formicaceticum	2	1	1	1	Off	Off
Clostridium_gasigenes	12	3	3	3	Off	Off
Clostridium_intestinale	5	1	1	1	Off	Off
Clostridium_isatidis	8	0	0	0	On	Off
Clostridium_novyi	0	0	0	0	na	na
Clostridium_novyi_NT	1	0	0	0	On	Off
Clostridium_pasteurianum_BC1	4	1	1	1	Off	Off
Clostridium_perfringens	35	1	1	1	Off	Off
Clostridium_perfringens_ATCC_13124	2	1	10	10	Off	Off
Clostridium_perfringens_str._13	1	0	0	0	On	Off
Clostridium_saccharobutylicum	7	3	6	6	Off	Off
Clostridium_saccharoperbutylacetonicum	11	0	0	0	On	Off
Clostridium_scatologenes	2	0	0	0	On	Off
Clostridium_septicum	27	2	2	2	Off	Off
Clostridium_sp._AWRP	2	0	0	0	On	Off
Clostridium_sp._BNL1100	0	0	0	0	na	na
Clostridium_sp._C1	5	1	1	1	Off	Off
Clostridium_sp._C5S11	8	0	0	0	On	Off
Clostridium_sp._DL-VIII	3	0	0	0	On	Off
Clostridium_sp._JN-1	2	0	0	0	On	Off
Clostridium_sp._JN-9	7	2	2	2	Off	Off
Clostridium_sp._M62/1	5	0	0	0	On	Off
Clostridium_sp._SY8519	7	0	0	0	On	Off
Clostridium_sporogenes	1	0	0	0	On	Off
Clostridium_taeniosporum	6	0	0	0	On	Off
Clostridium_tetani	5	0	0	0	On	Off
Clostridium_tetani_12124569	1	0	0	0	On	Off
Clostridium_tetani_E88	2	0	0	0	On	Off
Clostridium_tyrobutyricum	3	0	0	0	On	Off
Coccidioides_immitis	0	0	0	0	na	na
Coccidioides_posadasii	0	0	0	0	na	na
Corynebacterium_ammoniagenes	4	0	0	0	On	Off
Corynebacterium_crudilactis	1	1	1	1	Off	Off
Corynebacterium_diphtheriae	11	0	0	0	On	Off
Corynebacterium_diphtheriae_NCTC_13129	3	0	0	0	On	Off
Corynebacterium_glutamicum	20	2	3	3	Off	Off
Corynebacterium_glutamicum_MB001	1	0	0	0	On	Off
Corynebacterium_glutamicum_R	1	0	0	0	On	Off
Corynebacterium_glutamicum_SCgG2	1	0	0	0	On	Off
Corynebacterium_glutamicum_ZL-6	1	0	0	0	On	Off
Corynebacterium_glyciniphilum	0	0	0	0	na	na
Corynebacterium_glyciniphilum_AJ_3170	67	3	3	3	Off	Off
Corynebacterium_jeikeium	38	8	8	8	Off	Off
Corynebacterium_jeikeium_K411	43	5	10	10	Off	Off
Corynebacterium_kroppenstedtii	91	9	9	9	Off	Off
Corynebacterium_kroppenstedtii_DSM_44385	122	14	27	27	Off	Off
Corynebacterium_maris	0	0	0	0	na	na
Corynebacterium_maris_DSM_45190	166	29	29	29	Off	Off
Corynebacterium_matruchotii	60	2	2	2	Off	Off
Corynebacterium_segmentosum	40	9	9	9	Off	Off
