Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	1	0	0	0	On	Off
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1	1	1	1	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	6	0	0	0	On	Off
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	1	0	0	0	On	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	23	3	3	3	Off	Off
Bordetella_bronchiseptica	10	3	3	3	Off	Off
Bordetella_genomosp._13	49	3	3	3	Off	Off
Bordetella_pertussis	3	0	0	0	On	Off
Bordetella_pertussis_137	3	0	0	0	On	Off
Bordetella_pertussis_18323	1	1	8	8	Off	Off
Bordetella_petrii	25	3	3	3	Off	Off
Bordetella_trematum	10	3	6	6	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	1146	122	195	195	Off	Off
Burkholderia_cepacia_ATCC_25416	507	59	259	259	Off	Off
Burkholderia_cepacia_JBK9	515	65	74	74	Off	Off
Burkholderia_gladioli	2007	237	968	968	Off	Off
Burkholderia_gladioli_BSR3	392	63	96	96	Off	Off
Burkholderia_gladioli_pv._gladioli	1393	160	475	475	Off	Off
Burkholderia_mallei	20	4	16	16	Off	Off
Burkholderia_mallei_NCTC_10229	2	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	8	1	3	3	Off	Off
Burkholderia_multivorans	2576	326	1001	1001	Off	Off
Burkholderia_multivorans_ATCC_17616	829	96	338	338	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	824	97	259	259	Off	Off
Burkholderia_pseudomallei	814	97	375	375	Off	Off
Burkholderia_pseudomallei_1106b	18	3	9	9	Off	Off
Burkholderia_pseudomallei_1710a	5	1	1	1	Off	Off
Burkholderia_pseudomallei_1710b	5	1	5	5	Off	Off
Burkholderia_pseudomallei_7894	35	5	38	38	Off	Off
Burkholderia_pseudomallei_B03	28	5	17	17	Off	Off
Burkholderia_pseudomallei_MSHR1153	35	3	4	4	Off	Off
Burkholderia_pseudomallei_MSHR2543	18	7	13	13	Off	Off
Burkholderia_pseudomallei_MSHR346	32	5	11	11	Off	Off
Burkholderia_pseudomallei_MSHR435	21	5	21	21	Off	Off
Burkholderia_pseudomallei_NCTC_13179	26	6	8	8	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	4	1	1	1	Off	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	0	0	0	0	na	na
Campylobacter_showae	0	0	0	0	na	na
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	0	0	0	0	na	na
Chlamydia_suis	0	0	0	0	na	na
Chlamydia_trachomatis	0	0	0	0	na	na
Corynebacterium_ammoniagenes	1	1	1	1	Off	Off
Corynebacterium_amycolatum	3	0	0	0	On	Off
Corynebacterium_bovis	0	0	0	0	na	na
Corynebacterium_crudilactis	1	0	0	0	On	Off
Corynebacterium_diphtheriae	4	1	1	1	Off	Off
Corynebacterium_diphtheriae_NCTC_13129	1	0	0	0	On	Off
Corynebacterium_jeikeium	10	2	2	2	Off	Off
Corynebacterium_jeikeium_K411	6	1	1	1	Off	Off
Corynebacterium_kroppenstedtii	2	0	0	0	On	Off
Corynebacterium_kroppenstedtii_DSM_44385	7	3	7	7	Off	Off
Corynebacterium_maris	0	0	0	0	na	na
Corynebacterium_maris_DSM_45190	8	0	0	0	On	Off
Corynebacterium_matruchotii	0	0	0	0	na	na
Corynebacterium_minutissimum	5	0	0	0	On	Off
Corynebacterium_pseudotuberculosis	0	0	0	0	na	na
Corynebacterium_renale	0	0	0	0	na	na
Corynebacterium_segmentosum	11	0	0	0	On	Off
Corynebacterium_sphenisci	0	0	0	0	na	na
Corynebacterium_stationis	0	0	0	0	na	na
Corynebacterium_striatum	12	0	0	0	On	Off
Corynebacterium_urealyticum	4	2	2	2	Off	Off
Corynebacterium_ureicelerivorans	30	4	4	4	Off	Off
Corynebacterium_xerosis	0	0	0	0	na	na
Cowpox_virus	0	0	0	0	na	na
Coxiella_burnetii	4	0	0	0	On	Off
Cryptosporidium	0	0	0	0	na	na
Cryptosporidium_parvum	0	0	0	0	na	na
Deltaretrovirus	0	0	0	0	na	na
Ehrlichia_canis	0	0	0	0	na	na
Enterococcus_avium	1	0	0	0	On	Off
Enterococcus_casseliflavus	0	0	0	0	na	na
Enterococcus_cecorum	6	0	0	0	On	Off
Enterococcus_durans	0	0	0	0	na	na
Enterococcus_faecalis	4	1	10	10	Off	Off
Enterococcus_faecium	3	0	0	0	On	Off
Enterococcus_hirae	0	0	0	0	na	na
Enterococcus_hirae_ATCC_9790	1	0	0	0	On	Off
Enterococcus_mundtii	0	0	0	0	na	na
Enterovirus_B	0	0	0	0	na	na
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0	na	na
Equine_rhinitis_A_virus	0	0	0	0	na	na
Erysipelothrix_rhusiopathiae	0	0	0	0	na	na
Erysipelothrix_rhusiopathiae_str._Fujisawa	1	0	0	0	On	Off
Erythroparvovirus	0	0	0	0	na	na
Escherichia_coli	13	0	0	0	On	Off
Escherichia_coli_042	1	1	1	1	Off	Off
Escherichia_coli_O111	0	0	0	0	na	na
Escherichia_coli_O157:H7	0	0	0	0	na	na
Escherichia_coli_O26	0	0	0	0	na	na
Francisella_tularensis	0	0	0	0	na	na
Fusobacterium	0	0	0	0	na	na
Fusobacterium_hwasookii_ChDC_F206	1	0	0	0	On	Off
Fusobacterium_necrophorum_subsp._funduliforme	2	0	0	0	On	Off
Fusobacterium_nucleatum	0	0	0	0	na	na
Fusobacterium_nucleatum_subsp._animalis	1	0	0	0	On	Off
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_23726	1	1	1	1	Off	Off
Fusobacterium_pseudoperiodonticum	2	1	1	1	Off	Off
Goatpox_virus	0	0	0	0	na	na
Haemophilus_influenzae	2	0	0	0	On	Off
Helicobacter_cinaedi	1	0	0	0	On	Off
Helicobacter_pylori	1	0	0	0	On	Off
Helicobacter_pylori_J166	2	0	0	0	On	Off
Hepatitis_B_virus	0	0	0	0	na	na
Hepatitis_E_virus	0	0	0	0	na	na
Hepatitis_delta_virus	0	0	0	0	na	na
Human_adenovirus_1	0	0	0	0	na	na
Human_adenovirus_2	0	0	0	0	na	na
Human_adenovirus_35	0	0	0	0	na	na
Human_adenovirus_5	0	0	0	0	na	na
Human_adenovirus_54	0	0	0	0	na	na
Human_adenovirus_7	0	0	0	0	na	na
Human_alphaherpesvirus_1	0	0	0	0	na	na
Human_alphaherpesvirus_2	0	0	0	0	na	na
Human_alphaherpesvirus_3	0	0	0	0	na	na
Human_gammaherpesvirus_4	0	0	0	0	na	na
Human_herpesvirus_4_type_2	0	0	0	0	na	na
Human_mastadenovirus_C	0	0	0	0	na	na
JC_polyomavirus	0	0	0	0	na	na
Klebsiella_aerogenes	0	0	0	0	na	na
Klebsiella_michiganensis	2	0	0	0	On	Off
Klebsiella_michiganensis_KCTC_1686	1	1	1	1	Off	Off
Klebsiella_oxytoca	2	0	0	0	On	Off
Klebsiella_pneumoniae	9	1	2	2	Off	Off
Klebsiella_pneumoniae_subsp._pneumoniae	2	0	0	0	On	Off
Klebsiella_pneumoniae_subsp._pneumoniae_PittNDM01	5	0	0	0	On	Off
Klebsiella_pneumoniae_subsp._rhinoscleromatis	1	0	0	0	On	Off
Legionella_anisa	11	2	4	4	Off	Off
Legionella_lansingensis	1	1	1	1	Off	Off
Legionella_pneumophila	8	2	11	11	Off	Off
Legionella_pneumophila_str._Corby	2	0	0	0	On	Off
Legionella_pneumophila_subsp._fraseri	9	0	0	0	On	Off
Legionella_pneumophila_subsp._pascullei	5	0	0	0	On	Off
Legionella_pneumophila_subsp._pneumophila	8	1	1	1	Off	Off
Leptospira_alexanderi	0	0	0	0	na	na
Leptospira_alstonii	0	0	0	0	na	na
Leptospira_biflexa	0	0	0	0	na	na
Leptospira_biflexa_serovar_Patoc	2	0	0	0	On	Off
Leptospira_borgpetersenii	0	0	0	0	na	na
Leptospira_broomii	0	0	0	0	na	na
Leptospira_fainei	0	0	0	0	na	na
Leptospira_inadai	0	0	0	0	na	na
Leptospira_interrogans	1	1	9	9	Off	Off
