Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	56.8	56.45516165550983	60.0	6.6105975524153635
Actinobacillus_pleuropneumoniae	63.666666666666664	62.86951264987231	60.0	11.843422928641308
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	NaN	NaN	NaN	NaN
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	NaN	NaN	NaN	NaN
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	NaN	NaN	NaN	NaN
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	NaN	NaN	NaN	NaN
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	NaN	NaN	NaN	NaN
Bartonella_henselae	NaN	NaN	NaN	NaN
Bartonella_quintana	0	0	0	0
Bartonella_quintana_RM-11	NaN	NaN	NaN	NaN
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	59.05555555555556	58.1910819730659	60.0	10.870749864401217
Bordetella_bronchiseptica	61.583333333333336	61.4491184814521	60.0	4.481443219916251
Bordetella_genomosp._13	59.142857142857146	58.5932746661871	60.0	8.282113654943801
Bordetella_pertussis	61.4	61.33889680816607	60.0	3.1304951684997055
Bordetella_pertussis_137	NaN	NaN	NaN	NaN
Bordetella_pertussis_18323	66.33333333333333	65.76222984251524	60.0	10.96965511460289
Bordetella_petrii	57.5	56.91850984983837	60.0	8.2138095100061
Bordetella_trematum	64.85714285714286	63.71795033361746	60.0	14.542220960918952
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	NaN	NaN	NaN	NaN
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	62.0	62.00000000000001	62.0	0.0
Brucella_abortus_bv._6_str._870	NaN	NaN	NaN	NaN
Brucella_canis	NaN	NaN	NaN	NaN
Brucella_melitensis	NaN	NaN	NaN	NaN
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_ovis_ATCC_25840	NaN	NaN	NaN	NaN
Brucella_suis	NaN	NaN	NaN	NaN
Burkholderia_cepacia	60.212765957446805	58.176018119829585	60.0	15.907253158629524
Burkholderia_cepacia_ATCC_25416	72.0	69.75117008171199	67.0	18.355743878506622
Burkholderia_cepacia_JBK9	66.41666666666667	64.86501989146119	60.0	15.582381270544179
Burkholderia_gladioli	62.81818181818182	61.62389646157991	60.0	12.530098443482675
Burkholderia_gladioli_BSR3	60.333333333333336	58.28262945608161	58.0	17.228160778490658
Burkholderia_gladioli_pv._gladioli	60.25	59.47082670601836	60.0	9.338433980403202
Burkholderia_mallei	59.666666666666664	57.205170119664615	60.0	20.502032419575706
Burkholderia_mallei_NCTC_10229	NaN	NaN	NaN	NaN
Burkholderia_mallei_NCTC_10247	NaN	NaN	NaN	NaN
Burkholderia_multivorans	60.035714285714285	58.12034308178315	60.0	15.876364510997421
Burkholderia_multivorans_ATCC_17616	63.69230769230769	61.26123694493198	60.0	18.463408024994624
Burkholderia_multivorans_ATCC_BAA-247	64.57142857142857	62.16247532167172	60.0	18.19497575863026
Burkholderia_pseudomallei	53.56521739130435	52.224645473032886	58.0	12.067334144693426
Burkholderia_pseudomallei_1106b	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_1710b	60.0	59.999999999999986	60.0	0.0
