Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
African_swine_fever_virus	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0
Bacillus_albus	NA	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0
Bacillus_bombysepticus_str._Wang	NA	0	0	0	0	0
Bacillus_cereus	NA	0	0	0	0	0
Bacillus_cereus_AH1272	NA	0	0	0	0	0
Bacillus_cereus_BDRD-Cer4	NA	0	0	0	0	0
Bacillus_cereus_Rock3-44	NA	0	0	0	0	0
Bacillus_cereus_group	Bacillus_albus	0	0	2	2	5298275
Bacillus_cytotoxicus	Bacillus_cytotoxicus	1	1	1	1	4246825
Bacillus_luti	NA	0	0	0	0	0
Bacillus_mycoides	NA	0	0	0	0	0
Bacillus_nitratireducens	Bacillus_nitratireducens	1	1	1	1	5056959
Bacillus_pseudomycoides	Bacillus_pseudomycoides	1	2	2	3	5713954
Bacillus_pseudomycoides_DSM_12442	Bacillus_pseudomycoides_DSM_12442	1	1	1	1	5782514
Bacillus_sp._ABP14	NA	0	0	0	0	0
Bacillus_sp._FDAARGOS_235	NA	0	0	0	0	0
Bacillus_sp._HBCD-sjtu	NA	0	0	0	0	0
Bacillus_thuringiensis	NA	1	1	1	1	4277585
Bacillus_thuringiensis_serovar_andalousiensis	NA	0	0	0	0	0
Bacillus_thuringiensis_serovar_indiana	NA	0	0	0	0	0
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	NA	0	0	0	0	0
Bacillus_wiedmannii	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Bartonella_quintana_RM-11	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella	Bordetella_bronchiseptica	1	10	10	10	5205646
Bordetella_avium_197N	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	1	3	3	4	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	1	2	2	2	5081368
Bordetella_flabilis	Bordetella_flabilis	1	3	3	4	5835727
Bordetella_genomosp._13	Bordetella_genomosp._13	1	6	6	8	5380929
Bordetella_genomosp._6	NA	0	0	0	0	0
Bordetella_genomosp._8	Bordetella_genomosp._8	1	4	4	4	6167536
Bordetella_genomosp._9	Bordetella_genomosp._9	1	2	2	2	4587366
Bordetella_hinzii	Bordetella_hinzii	1	2	2	2	4912977
Bordetella_holmesii	Bordetella_holmesii	1	2	2	2	3698889
Bordetella_parapertussis	Bordetella_parapertussis	1	1	1	1	4775440
Bordetella_pertussis	NA	0	0	0	0	0
Bordetella_pertussis_137	NA	0	0	0	0	0
Bordetella_pertussis_18323	NA	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	1	3	3	3	5287950
Bordetella_pseudohinzii	Bordetella_pseudohinzii	1	1	1	1	4490371
Bordetella_sp._H567	Bordetella_sp._H567	1	6	6	7	5532470
Bordetella_sp._HZ20	NA	0	0	0	0	0
Bordetella_sp._N	Bordetella_sp._N	1	1	1	1	6989698
Bordetella_trematum	Bordetella_trematum	1	2	2	2	4480141
Borrelia	NA	0	0	0	0	0
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_miyamotoi	NA	0	0	0	0	0
Borrelia_miyamotoi_FR64b	Borrelia_miyamotoi	1	1	1	1	906429
Borrelia_recurrentis	NA	0	0	0	0	0
Borrelia_turcica_IST7	NA	0	0	0	0	0
Borreliaceae	Borrelia	1	1	1	1	942663
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_bissettii_DN127	Borreliella_bissettii_DN127	1	1	1	1	900755
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Brucella	Brucella	1	3	3	3	3950556
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_inopinata	Brucella_inopinata	1	1	1	1	2145953
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_pinnipedialis	NA	0	0	0	0	0
Brucella_sp._09RB8471	NA	0	0	0	0	0
Brucella_sp._09RB8910	NA	0	0	0	0	0
Brucella_sp._10RB9215	NA	0	0	0	0	0
Brucella_sp._141012304	NA	0	0	0	0	0
Brucella_sp._2280	NA	0	0	0	0	0
Brucella_sp._BO2	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Brucella_vulpis	NA	0	0	0	0	0
Brucellaceae	NA	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	0	0	2	2	3779906
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia	1	1	1	1	3397791
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	1	1	1	1	3400736
Burkholderia_gladioli	Burkholderia_gladioli	1	5	5	5	4272194
Burkholderia_gladioli_BSR3	NA	1	1	1	1	3462334
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	1	3	3	3	3922845
Burkholderia_mallei	NA	0	0	0	0	0
Burkholderia_multivorans	Burkholderia_multivorans	1	2	2	3	2541526
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	0	0	2	2	3448421
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	1	2	2	2	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei	1	2	2	3	3915257
Burkholderia_pseudomallei_1106b	Burkholderia_pseudomallei_1106b	1	1	1	1	3976928
Burkholderia_pseudomallei_1710a	NA	0	0	0	0	0
Burkholderia_pseudomallei_1710b	NA	0	0	0	0	0
Burkholderia_pseudomallei_B03	Burkholderia_pseudomallei_B03	1	1	1	1	4008750
Burkholderia_pseudomallei_MSHR1153	NA	0	0	0	0	0
Burkholderia_pseudomallei_MSHR2543	NA	0	0	0	0	0
Burkholderia_pseudomallei_MSHR346	Burkholderia_pseudomallei_MSHR346	1	1	1	1	3250369
Burkholderia_pseudomallei_MSHR435	NA	0	0	0	0	0
Burkholderia_pseudomallei_NCTC_13179	NA	0	0	0	0	0
Burkholderia_pseudomallei_Pasteur_52237	NA	0	0	0	0	0
Burkholderia_sp._OLGA172	NA	0	0	0	0	0
Campylobacter_coli	NA	0	0	0	0	0
Campylobacter_coli_76339	NA	0	0	0	0	0
Campylobacter_coli_RM4661	Campylobacter_coli_RM4661	1	1	1	1	1824273
Campylobacter_gracilis	Campylobacter_gracilis	1	2	2	2	2281652
Campylobacter_showae	Campylobacter_showae	1	8	8	9	2160580
Candidatus_Borrelia_tachyglossi	NA	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0
Chlamydia_pecorum_P787	Chlamydia_pecorum_P787	1	1	1	1	1106409
Chlamydia_pneumoniae	NA	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0
Clostridium	Clostridium	1	17	17	17	3315593
Clostridium_aceticum	NA	0	0	0	0	0
Clostridium_acetobutylicum	NA	0	0	0	0	0
Clostridium_acetobutylicum_EA_2018	Clostridium_acetobutylicum_EA_2018	1	3	3	3	3940230
Clostridium_argentinense	NA	0	0	0	0	0
Clostridium_baratii	NA	0	0	0	0	0
Clostridium_baratii_str._Sullivan	Clostridium_baratii	1	1	1	1	3091050
Clostridium_beijerinckii	Clostridium_beijerinckii	1	1	1	1	6383364
Clostridium_bornimense	Clostridium_bornimense	1	1	1	1	2917864
Clostridium_botulinum	Clostridium_botulinum_A3_str._Loch_Maree	1	1	1	1	3992906
Clostridium_botulinum_A2_str._Kyoto	NA	0	0	0	0	0
Clostridium_botulinum_A_str._ATCC_3502	Clostridium_botulinum	1	1	1	1	3886767
Clostridium_botulinum_B1_str._Okra	NA	0	0	0	0	0
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0
Clostridium_botulinum_B_str._Eklund_17B_(NRP)	NA	0	0	0	0	0
Clostridium_botulinum_CDC_1436	NA	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0
Clostridium_botulinum_Prevot_594	NA	0	0	0	0	0
Clostridium_butyricum	Clostridium_butyricum	1	1	1	1	3782283
Clostridium_cadaveris	NA	0	0	0	0	0
Clostridium_carboxidivorans_P7	NA	0	0	0	0	0
Clostridium_cellulovorans_743B	Clostridium_cellulovorans_743B	1	1	1	1	5262222
Clostridium_chauvoei	Clostridium_chauvoei	1	1	1	1	2883701
Clostridium_cochlearium	NA	0	0	0	0	0
Clostridium_diolis	NA	0	0	0	0	0
Clostridium_drakei	NA	0	0	0	0	0
Clostridium_estertheticum	NA	0	0	0	0	0
Clostridium_estertheticum_subsp._estertheticum	NA	0	0	0	0	0
Clostridium_formicaceticum	Clostridium_formicaceticum	1	2	2	2	4586755
Clostridium_gasigenes	Clostridium_gasigenes	1	1	1	1	4110498
Clostridium_intestinale	NA	0	0	0	0	0
Clostridium_isatidis	Clostridium_isatidis	1	1	1	1	2869927
Clostridium_kluyveri	Clostridium_kluyveri	1	1	1	1	4454353
Clostridium_ljungdahlii_DSM_13528	Clostridium_ljungdahlii_DSM_13528	1	2	2	3	4630065
Clostridium_novyi	NA	0	0	0	0	0
Clostridium_novyi_NT	NA	0	0	0	0	0
