Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	99.0	98.99999999999999	99.0	0.0
Actinobacillus_pleuropneumoniae	85.0	85.00000000000001	85.0	0.0
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	52.0	52.00000000000001	52.0	0.0
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	66.0	65.99999999999997	66.0	0.0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	NaN	NaN	NaN	NaN
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	NaN	NaN	NaN	NaN
Bartonella_quintana	36.0	36.0	36.0	0.0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	58.0	57.70787598066069	60.0	5.744562646538029
Bordetella_bronchiseptica	53.2	51.662390898172674	54.0	13.464356237447408
Bordetella_genomosp._13	63.15384615384615	62.125150628998945	60.0	13.483608282195545
Bordetella_pertussis	52.5	51.961524227066306	52.5	10.606601717798213
Bordetella_pertussis_137	NaN	NaN	NaN	NaN
Bordetella_pertussis_18323	NaN	NaN	NaN	NaN
Bordetella_petrii	56.916666666666664	56.09761438864018	60.0	9.019759453891252
Bordetella_trematum	65.44444444444444	64.35774531557877	60.0	13.115936023699481
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	NaN	NaN	NaN	NaN
Brucella_canis	0	0	0	0
Brucella_melitensis	NaN	NaN	NaN	NaN
Brucella_melitensis_bv._2_str._63/9	NaN	NaN	NaN	NaN
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_ovis_ATCC_25840	94.0	94.0	94.0	0.0
Brucella_suis	NaN	NaN	NaN	NaN
Burkholderia_cepacia	55.421052631578945	54.42303172165933	60.0	10.473860529239678
Burkholderia_cepacia_ATCC_25416	64.61538461538461	62.94644100296152	60.0	16.641005886756872
Burkholderia_cepacia_JBK9	65.125	63.378849562826176	60.0	16.53945499188445
Burkholderia_gladioli	59.02564102564103	57.612309208495034	60.0	13.314984000004575
Burkholderia_gladioli_BSR3	54.0625	53.21000287455295	56.5	9.341439931830639
Burkholderia_gladioli_pv._gladioli	62.88235294117647	61.953877430528344	60.0	11.946255165436504
Burkholderia_mallei	107.0	106.99999999999996	107.0	0.0
Burkholderia_mallei_NCTC_10247	NaN	NaN	NaN	NaN
Burkholderia_multivorans	62.0	60.63097428041821	60.0	13.413094762623244
Burkholderia_multivorans_ATCC_17616	59.666666666666664	58.586567032511034	60.0	11.49176253063933
Burkholderia_multivorans_ATCC_BAA-247	60.0	57.87319135372838	60.0	17.45470328211473
Burkholderia_pseudomallei	59.72727272727273	58.431567054864736	60.0	13.392186130376526
Burkholderia_pseudomallei_1106b	68.4	68.01620855211796	65.0	8.264381404557755
Burkholderia_pseudomallei_1710a	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_1710b	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_7894	60.0	59.999999999999986	60.0	0.0
Burkholderia_pseudomallei_B03	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_MSHR1153	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_MSHR2543	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_MSHR346	50.8	49.98091343368093	57.0	9.934787365615835
Burkholderia_pseudomallei_MSHR435	44.0	43.99999999999999	44.0	0.0
Burkholderia_pseudomallei_NCTC_13179	NaN	NaN	NaN	NaN
Burkholderia_pseudomallei_Pasteur_52237	NaN	NaN	NaN	NaN
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	NaN	NaN	NaN	NaN
Campylobacter_showae	NaN	NaN	NaN	NaN
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_abortus_LLG	NaN	NaN	NaN	NaN
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	34.0	34.00000000000001	34.0	0.0
Corynebacterium_amycolatum	63.5	63.40346993658942	63.5	4.949747468305833
Corynebacterium_bovis	60.18181818181818	58.997620400184	60.0	13.31028310606639
Corynebacterium_crudilactis	NaN	NaN	NaN	NaN
Corynebacterium_diphtheriae	60.0	59.999999999999986	60.0	0.0
Corynebacterium_diphtheriae_HC03	NaN	NaN	NaN	NaN
Corynebacterium_jeikeium	60.0	59.999999999999986	60.0	0.0
Corynebacterium_jeikeium_K411	76.0	74.29670248402687	76.0	22.627416997969522
Corynebacterium_kroppenstedtii	60.0	59.999999999999986	60.0	0.0
Corynebacterium_kroppenstedtii_DSM_44385	55.0	54.51361778496418	60.0	8.660254037844387
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	57.16901408450704	54.89255587083868	60.0	16.189049134252063
Corynebacterium_matruchotii	60.0	59.999999999999986	60.0	0.0
Corynebacterium_minutissimum	60.0	59.999999999999986	60.0	0.0
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_pseudotuberculosis_Cp162	NaN	NaN	NaN	NaN
Corynebacterium_renale	45.0	44.99999999999999	45.0	0.0
Corynebacterium_segmentosum	47.0	46.99999999999999	47.0	0.0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	62.148148148148145	60.42797071406523	60.0	15.12182249828094
Corynebacterium_stationis	60.72727272727273	58.394384956311825	60.0	18.363501349638685
Corynebacterium_striatum	NaN	NaN	NaN	NaN
Corynebacterium_urealyticum	58.5	58.48076606885378	58.5	2.1213203435596424
Corynebacterium_ureicelerivorans	60.8	58.67962700605345	60.0	17.21046193453273
Corynebacterium_xerosis	59.785714285714285	58.24365766379964	60.0	12.980331697957915
Cowpox_virus	0	0	0	0
Coxiella_burnetii	72.16666666666667	71.00904645510609	66.5	14.702607478493965
Coxiella_burnetii_Dugway_5J108-111	60.0	59.999999999999986	60.0	0.0
Coxiella_burnetii_str._Schperling	74.0	74.00000000000003	74.0	0.0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	NaN	NaN	NaN	NaN
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	NaN	NaN	NaN	NaN
Enterococcus_durans	48.0	48.00000000000001	48.0	0.0
Enterococcus_faecalis	53.166666666666664	49.15061759616598	43.0	23.710054126185934
Enterococcus_faecalis_62	NaN	NaN	NaN	NaN
Enterococcus_faecalis_ATCC_29212	45.0	44.99999999999999	45.0	0.0
Enterococcus_faecalis_D32	NaN	NaN	NaN	NaN
Enterococcus_faecium	50.5	49.598387070548974	50.5	13.435028842544403
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	51.833333333333336	50.973875481414225	46.0	10.925505327748766
Enterococcus_faecium_Com15	NaN	NaN	NaN	NaN
Enterococcus_hirae	NaN	NaN	NaN	NaN
Enterococcus_hirae_ATCC_9790	50.5	48.662100242385755	50.5	19.091883092036785
Enterococcus_mundtii	43.5	43.47413023856831	43.5	2.1213203435596424
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	55.240524781341115	53.09176179741409	52.0	16.12294522238138
Escherichia_coli_042	43.857142857142854	43.0843209837434	41.0	9.191092996819828
Escherichia_coli_APEC_O2-211	47.0	45.18726506055035	47.0	14.352700094407323
Escherichia_coli_BL21(DE3)	NaN	NaN	NaN	NaN
Escherichia_coli_B_str._REL606	NaN	NaN	NaN	NaN
Escherichia_coli_CFT073	NaN	NaN	NaN	NaN
Escherichia_coli_DH1	NaN	NaN	NaN	NaN
Escherichia_coli_E110019	NaN	NaN	NaN	NaN
Escherichia_coli_ECC-1470	61.0	60.72500058050445	65.0	6.928203230275509
Escherichia_coli_ED1a	53.0	52.173482197758915	52.0	9.733961166965893
Escherichia_coli_ETEC_H10407	61.0	58.17072172377601	70.0	21.0
Escherichia_coli_FAP1	62.0	60.53879276409896	61.0	15.534906930308058
Escherichia_coli_HS	NaN	NaN	NaN	NaN
Escherichia_coli_K-12	48.5	48.37354648979129	48.5	4.949747468305833
Escherichia_coli_M8	48.0	48.00000000000001	48.0	0.0
Escherichia_coli_NCCP15648	50.0	49.83974317750845	50.0	5.656854249492381
Escherichia_coli_Nissle_1917	71.75	71.7416685629106	72.0	1.2583057392117916
Escherichia_coli_O103_str._RM8385	63.0	62.99999999999999	63.0	0.0
Escherichia_coli_O10:H32	43.0	43.0	43.0	0.0
Escherichia_coli_O111	NaN	NaN	NaN	NaN
Escherichia_coli_O111:NM	44.0	43.99999999999999	44.0	0.0
Escherichia_coli_O121_str._RM8352	45.333333333333336	43.79519139887888	50.0	13.613718571108091
Escherichia_coli_O126	NaN	NaN	NaN	NaN
