TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_luti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_mycoides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana_RM-11	Bartonella_quintana;_NZ_CP091504.1;_TOPREFPERCREADS100	Bartonella_quintana_RM-11;_NC_018533.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	Bordetella_flabilis;_NZ_CP016172.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_avium_197N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_bronchialis	Bordetella_bronchialis;_NZ_CP016170.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_bronchiseptica	Bordetella_bronchiseptica;_NZ_CP025069.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_flabilis	Bordetella_flabilis;_NZ_CP016172.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_genomosp._13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_genomosp._6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_genomosp._8	NA;_NZ_CP053069.1;_TOPREFPERCREADS100	Bordetella_genomosp._8;_NZ_CP021108.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_genomosp._9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_hinzii	Bordetella_hinzii;_NZ_CP012076.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_holmesii	Bordetella_holmesii;_NZ_CP071603.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_parapertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis_137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pseudohinzii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_sp._H567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_sp._HZ20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_sp._N	Bordetella_sp._N;_NZ_CP013111.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_trematum	Bordetella_trematum;_NZ_CP036357.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia_crocidurae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia_recurrentis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_valaisiana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	Brucella;_NZ_CP061089.1;_TOPREFPERCREADS100	Brucella_melitensis_bv._2_str._63/9;_NZ_CP007788.1;_TOPREFPERCREADS100	Brucella_sp._2002734562;_NZ_CP016980.1;_TOPREFPERCREADS100	Brucella_abortus;_NZ_CP007683.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_canis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_pinnipedialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_sp._09RB8471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_sp._09RB8910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_sp._10RB9215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_sp._141012304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_sp._2280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_vulpis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucellaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	Burkholderia_cepacia;_NZ_CP013375.1;_TOPREFPERCREADS100	Burkholderia;_NZ_CP091646.1;_TOPREFPERCREADS012	Burkholderia_cepacia_ATCC_25416;_NZ_CP034554.1;_TOPREFPERCREADS009	Burkholderia_cepacia_JBK9;_NZ_CP013731.1;_TOPREFPERCREADS009	Burkholderia;_NZ_CP041778.1;_TOPREFPERCREADS009	Burkholderia_cepacia_ATCC_25416;_NZ_CP034553.1;_TOPREFPERCREADS006	Burkholderia;_NZ_CP041779.1;_TOPREFPERCREADS006	Burkholderia;_NZ_CP091647.1;_TOPREFPERCREADS003	Burkholderia;_NZ_CP013387.1;_TOPREFPERCREADS003	Burkholderia;_NZ_CP045994.1;_TOPREFPERCREADS003
