Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	NaN	NaN	NaN	NaN
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	71.0	71.0	71.0	0.0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	NaN	NaN	NaN	NaN
Bartonella_henselae	0	0	0	0
Bartonella_quintana	NaN	NaN	NaN	NaN
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	63.666666666666664	63.46295398410752	60.0	6.3508529610858835
Bordetella_bronchiseptica	64.0	63.99999999999998	64.0	0.0
Bordetella_genomosp._13	100.33333333333333	100.15123782256875	96.0	7.505553499465136
Bordetella_pertussis	NaN	NaN	NaN	NaN
Bordetella_pertussis_137	NaN	NaN	NaN	NaN
Bordetella_pertussis_18323	44.0	43.99999999999999	44.0	0.0
Bordetella_petrii	60.666666666666664	60.569394225526864	62.0	4.163331998932266
Bordetella_trematum	62.666666666666664	61.793101522583	55.0	13.279056191361391
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	65.89344262295081	64.5173350741602	60.0	13.780335358613536
Burkholderia_cepacia_ATCC_25416	64.38983050847457	62.62599924223358	60.0	15.61168544342892
Burkholderia_cepacia_JBK9	67.38461538461539	64.6674834207383	60.0	19.34044685666245
Burkholderia_gladioli	65.86497890295358	64.1903813258788	60.0	15.349554087943588
Burkholderia_gladioli_BSR3	65.22222222222223	63.41176904684904	60.0	16.14095616590978
